	f3bc810a-edc7-4412-9e09-006c0bcf2550
	tumor
AC002553.1	0.589440411
AC002553.2	0.158687885
AC002558.1	0.098117727
AC002558.2	0.039023544
AC002558.3	0.065493379
AC002563.1	0
AC002984.1	0.117244844
AC002985.1	0
AC002996.1	0
AC003001.1	0.02313907
AC003001.2	0
AC003002.1	0
AC003002.2	0.050408532
AC003002.3	0.065114492
AC003005.1	0
AC003005.2	0
AC003006.1	0
AC003009.1	0
AC003035.1	0.048277289
AC003035.2	0
AC003043.1	0
AC003045.1	0
AC003070.1	0.057467932
AC003070.2	0
AC003071.1	0.033286242
AC003071.2	0
AC003072.1	2.918093885
AC003080.1	0.034240997
AC003084.1	0
AC003087.1	0
AC003092.1	0.024683125
AC003092.2	0
AC003098.1	0
AC003101.1	0
AC003101.2	0.118836403
AC003101.3	0
AC003102.1	0.365486908
AC003659.1	0
AC003666.1	0
AC003669.1	0
AC003681.1	0.040497012
AC003682.1	0
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0
AC003687.1	0
AC003688.1	0
AC003688.2	0
AC003956.1	0.295088146
AC003957.1	0
AC003958.1	0
AC003958.2	0
AC003965.1	0.03937458
AC003965.2	0
AC003973.1	0
AC003973.2	0.037679835
AC003973.3	0.260581027
AC003975.1	0
AC003976.1	0
AC003982.1	0
AC003984.1	0
AC003985.1	0.072549295
AC003985.2	0.031471354
AC003986.1	0
AC003986.2	0.092096476
AC003986.3	0.113856264
AC003988.1	0
AC003989.1	0
AC003989.2	0
AC003991.1	0
AC003991.2	0
AC004000.1	0.121306443
AC004004.1	0
AC004006.1	0
AC004009.1	0
AC004009.2	0
AC004009.3	0
AC004012.1	0
AC004014.1	0
AC004014.2	0
AC004022.1	0
AC004022.2	0
AC004023.1	0
AC004024.1	0.42530923
AC004034.1	0.102991549
AC004039.1	0.014680182
AC004052.1	0
AC004053.1	0
AC004054.1	0
AC004057.1	0.263683182
AC004062.1	0
AC004063.1	0
AC004066.1	0
AC004066.2	0
AC004067.1	0.712848649
AC004069.1	0.574051256
AC004069.2	0
AC004074.1	0
AC004076.1	0
AC004076.2	0.039516769
AC004080.1	0
AC004080.2	0
AC004080.3	0
AC004080.4	0
AC004080.5	0
AC004080.6	0
AC004112.1	0.111440643
AC004129.1	0.032993524
AC004129.2	0
AC004130.1	1.201759647
AC004134.1	0
AC004147.1	0
AC004147.2	0
AC004147.3	0
AC004147.4	0.04908943
AC004147.5	0
AC004148.1	0
AC004148.2	0.203272794
AC004149.1	0.047837605
AC004156.1	0.027909506
AC004158.1	0.00499959
AC004160.1	0.232003931
AC004160.2	0.093296074
AC004217.1	0
AC004217.2	0
AC004221.1	0
AC004223.1	0.096910867
AC004223.2	0
AC004223.3	0
AC004223.4	0.158209909
AC004224.1	0.092474806
AC004224.2	0
AC004231.1	0
AC004231.3	0
AC004232.1	0
AC004232.2	0
AC004232.3	0.550269133
AC004233.1	0
AC004233.2	0
AC004233.3	0.082782805
AC004233.4	0.062980444
AC004241.1	0.190526193
AC004241.2	0.591505517
AC004241.3	0.507985396
AC004241.4	0
AC004241.5	0.193109154
AC004253.1	0.215269221
AC004253.2	0
AC004257.1	0
AC004263.1	0
AC004264.1	0.066153262
AC004264.2	0
AC004381.1	0
AC004383.1	0
AC004386.1	0.034510966
AC004386.2	0
AC004408.1	0
AC004408.2	0
AC004415.1	0
AC004448.1	0
AC004448.2	0.006263497
AC004448.3	0
AC004449.1	0.060653222
AC004453.1	2.703528158
AC004453.2	0
AC004461.1	0
AC004466.1	0.218857041
AC004466.2	0
AC004466.3	0
AC004467.1	0
AC004470.1	0
AC004471.1	0.180500653
AC004471.2	0
AC004477.1	0.062679821
AC004477.2	0
AC004477.3	1.557965379
AC004485.1	0
AC004486.1	0.225432146
AC004490.1	0.594702844
AC004491.1	0
AC004492.1	0.318552028
AC004494.1	0.044437978
AC004494.2	0
AC004520.1	0.037173171
AC004522.1	0
AC004522.2	0
AC004528.1	0
AC004528.2	0
AC004540.1	0.648084306
AC004540.2	0.238211746
AC004542.1	0
AC004542.2	0
AC004543.1	0
AC004551.1	0.091349026
AC004552.1	0.452807672
AC004554.1	0
AC004584.1	0.095675209
AC004584.2	0
AC004584.3	0.022294435
AC004585.1	1.863390502
AC004585.2	0
AC004590.1	0
AC004593.1	0
AC004594.1	0.007594808
AC004596.1	0.099480473
AC004597.1	0.093628681
AC004623.1	0.012347365
AC004637.1	0
AC004656.1	3.920065123
AC004672.1	0.025155982
AC004672.2	0.091508171
AC004674.1	0
AC004674.2	0
AC004678.1	0.028270016
AC004678.2	0
AC004687.1	0.387882018
AC004690.1	0
AC004690.2	0
AC004691.1	0.048012514
AC004691.2	0
AC004692.1	0
AC004692.2	0
AC004696.1	0.043266631
AC004696.2	0
AC004702.1	0.134681256
AC004704.1	0
AC004706.1	0
AC004706.2	0
AC004706.3	0.053379766
AC004707.1	0.036731252
AC004754.1	0.093712203
AC004771.1	0.090095523
AC004771.2	0.059824248
AC004771.3	0
AC004771.4	0
AC004771.5	0
AC004775.1	0
AC004777.1	0
AC004790.1	0
AC004790.2	0
AC004792.1	0
AC004797.1	0
AC004801.1	0.072952347
AC004801.2	0.033713537
AC004801.3	0
AC004801.4	0
AC004801.5	0
AC004801.6	0.590779743
AC004801.7	0
AC004803.1	0.615591351
AC004805.1	0
AC004805.2	0
