	88d2f686-ae1a-4375-93d9-febc927f0082
	tumor
AC027808.2	0
AC032011.1	0.106404945
AC032019.1	0.31757468
AC032019.2	0
AC032044.1	0.039754283
AC032044.2	0.738446502
AC034102.1	0.545765759
AC034102.2	0
AC034102.3	0.091567366
AC034102.4	0
AC034102.5	0.254353795
AC034102.6	0.297204743
AC034102.7	0
AC034102.8	0
AC034105.1	0.688908084
AC034105.2	0
AC034105.3	0
AC034105.4	0
AC034105.5	0.17496949
AC034111.1	0.06557875
AC034114.1	0
AC034114.2	0
AC034154.1	0
AC034159.1	0
AC034187.1	0.146899518
AC034195.1	0
AC034198.1	0
AC034198.2	0.32317894
AC034199.1	0.088126246
AC034205.1	0
AC034205.2	0
AC034205.3	0
AC034206.1	0.464546954
AC034207.1	0
AC034213.1	0.068164292
AC034222.1	0
AC034223.1	0.091720233
AC034223.2	0.064635788
AC034226.1	0
AC034228.1	0
AC034228.2	0
AC034228.3	0
AC034229.1	0
AC034229.2	0
AC034229.3	0
AC034229.4	0.373744352
AC034229.5	0
AC034229.6	0
AC034231.1	4.092396255
AC034232.1	0
AC034232.2	0
AC034234.1	0
AC034236.1	21.72576919
AC034236.2	1.143170224
AC034236.3	0.059588308
AC034238.1	0.026541266
AC034238.2	0.048448342
AC034238.3	0
AC034243.1	2.527072117
AC034244.1	0
AC034244.2	0
AC034245.1	0
AC034268.1	0
AC035139.1	0
AC035140.1	0.055720507
AC036101.1	0
AC036103.1	0.111215425
AC036108.1	0.23359022
AC036108.2	0.064333044
AC036108.3	0.297585389
AC036108.4	0.611419615
AC036111.1	0
AC036111.2	0
AC036111.3	0
AC036164.1	0
AC036176.1	2.169621671
AC036176.2	0
AC036176.3	0.328591027
AC036214.1	0.134273938
AC036214.2	1.018524684
AC036214.3	0.206931901
AC036222.1	0
AC036222.2	0
AC037198.1	0.112429235
AC037198.2	0.052224734
AC037441.1	0
AC037441.2	0
AC037450.1	0
AC037459.1	0.068790175
AC037459.2	0.485244139
AC037459.3	1.348537575
AC037459.4	0.046957624
AC037471.1	0
AC037471.2	0
AC037479.1	0
AC037486.1	0.13908967
AC037487.1	0.34421039
AC037487.2	0
AC037487.3	1.962157847
AC037487.4	0.395571022
AC039056.1	0
AC039056.2	0.537577492
AC040160.1	0.923540862
AC040160.2	0.082000626
AC040162.1	0.367235875
AC040162.2	0.349938979
AC040162.3	0.337489141
AC040168.1	0
AC040169.1	2.952652116
AC040169.2	0.081192739
AC040169.3	0.718175421
AC040170.1	0.535766504
AC040173.1	0.047362431
AC040174.1	1.256806987
AC040174.2	1.122438683
AC040896.1	0
AC040904.1	0.123184798
AC040914.1	0
AC040918.1	0.043465522
AC040926.1	0
AC040934.1	0.053548167
AC040936.1	0
AC040958.1	0
AC040963.1	0
AC040970.1	1.497756176
AC040975.1	0.086931044
AC040977.1	2.08228996
AC040977.2	0
AC040978.1	0
AC041039.1	0
AC041040.1	0
AC044781.1	0
AC044784.1	0
AC044784.2	0
AC044787.1	0.242792259
AC044792.1	0
AC044797.1	0.28319804
AC044798.1	0
AC044798.2	0
AC044802.1	0.1139055
AC044802.2	0.063295414
AC044810.1	0.038636019
AC044810.2	0.613261241
AC044810.3	0
AC044836.1	0
AC044839.1	0.761885636
AC044839.2	0.019372503
AC044839.3	0
AC044839.4	0.031942104
AC044839.5	0
AC044840.1	0
AC044849.1	0.386904364
AC044860.1	0.166890704
AC044860.2	0
AC044860.3	0.074647309
AC044873.1	0
AC044913.1	0
AC046130.1	0
AC046130.2	0.034597242
AC046134.1	0.329972491
AC046136.1	0.154616566
AC046143.1	2.54353795
AC046143.2	2.918709798
AC046144.1	0
AC046158.1	0.038206133
AC046158.2	0.155418443
AC046158.3	0.010738941
AC046158.4	0.040787246
AC046168.1	0
AC046168.2	0.022442982
AC046176.1	0.164351683
AC046185.1	0
AC046185.2	1.197248856
AC046185.3	2.439788376
AC046195.1	0.006586001
AC046195.2	0
AC048334.1	0
AC048337.1	0.149294619
AC048338.1	0
AC048341.1	0.278083339
AC048341.2	1.622476754
AC048344.1	0.202483119
AC048344.2	0
AC048344.3	0
AC048344.4	0.417005083
AC048346.1	0
AC048347.1	0
AC048351.1	0.089188993
AC048380.1	0
AC048380.2	0.023227348
AC048380.3	0
AC048382.1	0.188891423
AC048382.2	0.837506398
AC048382.3	0.832430602
AC048382.4	0.05031174
AC048382.5	0.643115281
AC048382.6	0
AC048383.1	0
AC048387.1	0
AC051618.1	0
AC051619.1	0
AC051619.2	0
AC051619.3	0
AC051619.4	0.188152122
AC051619.5	0.075519477
AC051619.6	0.04616842
AC051619.7	0.176373739
AC051619.8	0.178377986
AC051619.9	0
AC051649.1	0
AC053481.1	0
AC053481.2	0
AC053481.3	0
AC053481.4	0
AC053503.1	0.052929113
AC053503.2	0.171903691
AC053503.3	0
AC053503.4	0.122634865
AC053503.5	0.259152923
AC053503.6	0.02981032
AC053513.1	0.483892586
AC053527.1	1.523894854
AC055713.1	0.570706136
AC055716.1	0
AC055716.2	0.011253671
AC055716.3	0
AC055717.1	0
AC055717.2	0
AC055717.3	0
AC055720.1	0
AC055720.2	0.319421045
AC055731.1	0
AC055733.1	0.048024842
AC055733.2	0
AC055733.3	0
AC055736.1	0.174691319
AC055748.1	0.05728928
AC055753.1	0
AC055758.1	0
AC055758.2	0
AC055764.1	0
AC055764.2	0.164001253
AC055811.1	0.066946084
AC055811.2	0.016225759
AC055811.3	0.040044038
AC055811.4	1.174609886
AC055813.1	0.452876752
AC055822.1	0.432115661
AC055854.1	0.01253775
AC055855.1	0.329642518
AC055855.2	0.047526315
AC055860.1	0
AC055872.1	0
AC055874.1	0
AC055876.1	0
AC055876.2	0.05031174
AC055876.3	0
AC055876.4	0
AC055876.5	0
AC055878.1	0
AC058791.1	0.017179618
AC058823.1	0
AC060234.1	0
AC060234.2	0.028247002
AC060234.3	0
AC060764.1	0.12101414
AC060765.1	0
AC060766.1	3.899280188
AC060766.2	0
AC060766.3	0.208898934
AC060766.4	1.790423362
AC060766.5	1.198470694
AC060766.6	0.418328069
AC060766.7	2.107862638
AC060771.1	0
AC060773.1	0
AC060780.1	2.836973814
AC060780.2	0.554953735
AC060780.3	3.433776233
AC060788.1	0
AC060809.1	0
AC060814.1	0
AC060814.2	0
AC060814.3	0
AC060814.4	0
AC060814.5	0
AC060834.1	0.013518804
AC060834.2	0
AC061709.1	0
AC061709.2	0
AC061961.1	0
AC061965.1	0
AC061975.1	0.030120844
AC061975.2	0
AC061975.3	0
AC061975.4	0
AC061975.5	0.038126592
AC061975.6	1.061308816
AC061975.7	0.228600914
AC061979.1	0
AC061992.1	2.242938011
AC061999.1	0.465596777
AC062004.1	0
AC062015.1	0.411810906
AC062016.1	0
AC062016.2	0
AC062017.1	2.061386058
AC062020.1	0
AC062021.1	0
AC062022.1	0
AC062028.1	0.233572949
AC062028.2	0
AC062029.1	2.05882264
AC062031.1	0
AC062032.1	0
AC062037.1	0
AC062037.2	0.752608489
AC062039.1	0
AC063919.1	0
AC063923.1	0
AC063923.2	0
AC063924.1	0
AC063926.1	0
AC063926.2	0
AC063926.3	0
AC063943.1	0.308654043
AC063944.1	0.074692414
AC063944.2	0.140563939
AC063944.3	0.051538855
AC063947.1	0
AC063947.2	0.021871186
AC063948.1	1.739538355
AC063949.1	0.031757468
AC063949.2	0
AC063950.1	0.171153956
AC063952.1	0.304098264
AC063952.2	0.022388109
AC063952.3	0
AC063955.1	0
AC063961.1	0
AC063962.1	0
AC063965.1	0.055050521
AC063976.1	0
AC063976.2	0.08497534
AC063976.3	0
AC063976.4	0
AC063977.1	0
AC063977.2	0.065249905
AC063977.3	0
AC063977.4	0
AC063977.5	0
AC063977.6	0.062326058
AC063977.7	0
AC063979.1	0
AC063979.2	0.0508237
AC063980.1	0
AC064799.1	0.593950484
AC064799.2	0
AC064801.1	0.809932478
AC064801.2	0.063246838
AC064802.1	0.023045478
AC064805.1	0
AC064805.2	0
AC064807.1	2.125432296
AC064807.2	0.040878288
AC064807.3	0
AC064807.4	0.134988746
AC064834.1	0.054612743
AC064836.1	0.117060553
AC064836.2	0.118918657
AC064836.3	4.653200482
AC064847.1	0.054288952
AC064850.1	0.235795793
AC064852.1	0
AC064853.1	0
AC064859.1	0
AC064862.1	0
AC064862.2	0
AC064862.3	0
AC064862.4	0
AC064862.5	0
AC064862.6	0
AC064862.7	0
AC064871.1	0
AC064872.1	0
AC064874.1	0.045783683
AC064875.1	0.06756552
AC066595.1	0
AC066612.1	0
AC066612.2	0
AC066613.1	0.152249778
AC066613.2	0
AC066616.1	0
AC066616.2	0
AC066692.1	0.060109868
AC067735.1	0.574472069
AC067747.1	0.109880839
AC067750.1	0.419712909
AC067773.1	0
AC067805.1	0
AC067817.1	0
AC067817.2	0.709824544
AC067819.1	0
AC067838.1	0.666521556
AC067852.1	0
AC067852.2	2.51780566
AC067852.3	0.443067901
AC067852.4	0.205384747
AC067863.1	0.055495373
AC067863.2	0
AC067904.1	0
AC067904.2	0.042821839
AC067904.3	0
AC067930.1	0.28319804
AC067930.2	0
AC067930.3	0.391871753
AC067930.4	0.882577024
AC067930.5	0.117093819
AC067930.6	0.16103418
AC067931.1	0.532209729
AC067931.2	0
AC067940.1	0
AC067942.1	0.018399337
AC067942.2	0.043328407
AC067942.3	0
AC067945.1	0
AC067945.2	0
AC067945.3	0.422618613
AC067956.1	0.039966358
AC067959.1	0
AC067960.1	0
AC067968.1	0
AC067968.2	0.04853394
AC067969.1	0.049764873
AC067969.2	0
AC068014.1	0.066513825
AC068020.1	0
AC068025.1	0.86520346
AC068025.2	0.19668408
AC068042.1	0
AC068044.1	0
AC068050.1	0.072290026
AC068051.1	0
AC068057.1	0
AC068057.2	0
AC068058.1	0
AC068075.1	0
AC068112.1	0
AC068134.1	0
AC068134.2	0.047691337
AC068134.3	1.359566224
AC068134.4	0
AC068135.1	0
AC068135.2	0.026721994
AC068137.1	0.047038031
AC068137.2	0
AC068138.1	0.126590829
AC068152.1	2.412258572
AC068189.1	0.138388967
AC068196.1	0.032977443
AC068213.1	0
AC068228.1	0
AC068228.2	0
AC068234.1	0
AC068234.2	0.462331723
AC068234.3	0.052624923
AC068254.1	0
AC068254.2	0.023039035
AC068276.1	0
AC068279.1	0
AC068282.1	0.786321992
AC068286.1	0.117645438
AC068287.1	0
AC068295.1	0
AC068298.1	0
AC068299.1	0.015706238
AC068305.1	0
AC068305.2	0.395966989
AC068313.1	0.218017539
AC068338.1	0
AC068338.2	2.458871932
AC068338.3	0.657182054
AC068385.1	0
AC068389.1	0.007255734
AC068389.2	0.191652627
AC068389.3	0.051928563
AC068389.4	0
AC068397.1	0.051732975
AC068397.2	0.074043692
AC068408.1	0
AC068413.1	0
AC068418.1	0
AC068418.2	0
AC068446.1	0.159607417
AC068446.2	0
AC068446.3	0
AC068448.1	0
AC068472.1	0
AC068473.1	0
AC068473.2	0
AC068473.3	1.530088013
AC068473.4	0
AC068473.5	5.369418434
AC068481.1	0.258804131
AC068483.1	0
AC068489.1	0.105249846
AC068490.1	0
AC068491.1	0.022135544
AC068491.2	0.04452222
AC068491.3	0
AC068491.4	0.040636405
AC068492.1	0
AC068506.1	0
AC068512.1	0.015168531
AC068522.1	0
AC068531.1	0
AC068533.1	0
AC068533.2	4.039736744
AC068533.3	0.135991138
AC068533.4	0.029794154
AC068535.1	0
AC068538.1	0
AC068580.1	0.436035077
AC068580.2	0.731455292
AC068580.3	0.654377208
AC068580.4	0.385740159
AC068587.1	0
AC068587.2	1.329203703
AC068587.3	0
AC068594.1	0.20378494
AC068594.2	0
AC068599.1	0.145345026
AC068620.1	1.453999766
AC068620.2	0.588647354
AC068631.1	0.06682545
AC068633.1	0.205576875
AC068643.1	0.033297224
AC068643.2	0
AC068647.1	0.072768768
AC068647.2	0.211309307
AC068657.1	0.179543855
AC068658.1	0
AC068669.1	0.443863355
AC068672.1	0
AC068672.2	0
AC068672.3	0
AC068675.1	0.146899518
AC068700.1	0.029270335
AC068707.1	0
AC068714.1	0
AC068721.1	0
AC068722.1	0
AC068722.2	0.050496709
AC068724.1	0.051635733
AC068724.2	0
AC068726.1	0.0805578
AC068733.1	0.022252094
AC068733.2	0
AC068756.1	0
AC068759.1	0
AC068760.1	0
AC068768.1	1.642580886
AC068768.2	0.160176151
AC068769.1	0.181172035
AC068775.1	0
AC068781.1	0
AC068787.1	0
AC068789.1	0
AC068790.1	0.309523491
AC068790.2	0.246590753
AC068790.3	0.347724175
AC068790.4	0.522247336
AC068790.5	0.851189601
AC068790.6	0.425894727
AC068790.7	0.156080738
AC068790.8	0
AC068790.9	0.08711483
AC068792.1	0.329379015
AC068802.1	0.037527609
AC068831.1	0.251342071
AC068831.2	0
AC068831.3	0
AC068831.4	0
AC068831.5	0.151351019
AC068831.6	1.199848247
AC068858.1	0.022171275
AC068860.1	0.088234079
AC068867.1	0
AC068870.1	0.02237899
AC068870.2	4.519520389
AC068870.3	0.021664203
AC068875.1	0
AC068880.1	0
AC068880.2	0
AC068880.3	0
AC068880.4	0.055495373
AC068880.5	0
AC068888.1	4.979036615
AC068888.2	0.153751175
AC068896.1	0.361238879
AC068898.1	0
AC068898.2	0
AC068944.1	0
AC068944.2	0
AC068946.1	0.053168148
AC068985.1	0.03907569
AC068987.1	0.064333044
AC068987.2	0
AC068987.3	0.106992054
AC068987.4	0.892060301
AC068992.1	0
AC068993.1	0
AC068993.2	0
AC069023.1	0
AC069029.1	0
AC069061.1	0
AC069061.2	0.038153069
AC069079.1	0
AC069113.1	0
AC069113.2	0
AC069113.3	0
AC069114.1	0
AC069114.2	0
AC069120.1	2.101942179
AC069133.1	0.04853394
AC069148.1	2.646869179
AC069152.1	0
AC069154.1	0.304098264
AC069155.1	0
AC069157.1	0
AC069185.1	0.856083534
AC069200.1	0.255141268
AC069209.1	0.042196943
AC069213.1	0.606930669
AC069213.2	0
AC069213.3	0.115908058
AC069218.1	0.108150433
AC069218.2	0
AC069222.1	0.089932235
AC069224.1	1.281409206
AC069228.1	0
AC069234.1	0
AC069234.2	0
AC069234.3	0
AC069234.4	0.2000258
AC069234.5	0.264136633
AC069235.1	0
AC069236.1	0.13378349
AC069240.1	0
AC069257.1	0.256132493
AC069257.2	1.595044444
AC069257.3	0
AC069262.1	0
AC069271.1	0
AC069272.1	0
AC069277.1	0.581572422
AC069277.2	0.063588449
AC069280.1	0
AC069281.1	0.048193351
AC069281.2	0.967480693
AC069282.1	3.081259281
AC069285.1	0
AC069285.2	0
AC069287.1	0.037994758
AC069287.2	0
AC069287.3	0
AC069294.1	0
AC069304.1	0
AC069304.2	0
AC069304.3	0
AC069306.1	0
AC069307.1	0.491636866
AC069335.1	0
AC069360.1	0.319083747
AC069366.1	0.45892952
AC069366.2	0
AC069368.1	0.064534557
AC069421.1	0
AC069431.1	2.20991033
AC069431.2	0.449921545
AC069437.1	0
AC069439.1	0
AC069439.2	0.069632978
AC069444.1	0
AC069454.1	0
AC069499.1	0.269844891
AC069499.2	0.071911544
AC069503.1	0.072100288
AC069503.2	0.045008536
AC069503.3	0.378899446
AC069528.1	0.090164803
AC069528.2	0.096580346
AC069540.1	0
AC069540.2	0
AC069542.1	0.098636301
AC069542.2	0.381530693
AC069544.1	1.8148487
AC069545.1	0
AC069547.1	0.433010874
AC069549.1	0
AC072022.1	0.191563528
AC072026.1	0
AC072039.1	0
AC072039.2	0.06257451
AC072046.1	0
AC072046.2	0
AC072052.1	2.064754336
AC072061.1	1.315717303
AC072062.1	0.007204356
AC073023.1	0
AC073046.1	3.94444039
AC073046.2	0
AC073050.1	0
AC073052.1	0.192368416
AC073052.2	0.135188041
AC073055.1	0
AC073062.1	0.120748175
AC073063.1	0.588324099
AC073065.1	0
AC073071.1	0
AC073072.1	0.1208367
AC073072.2	0
AC073073.1	0.889963602
AC073073.2	0.468847647
AC073082.1	0
AC073089.1	0
AC073091.1	0
AC073091.2	0
AC073094.1	0
AC073107.1	0
AC073107.2	1.846736797
AC073109.1	0
AC073111.1	0.784863139
AC073111.2	0
AC073114.1	0
AC073115.1	0.103271466
AC073115.2	0.098991747
AC073127.1	0
AC073130.1	0.042922203
AC073130.2	0.239652867
AC073130.3	0.19294265
AC073133.1	0.317942244
AC073133.2	0.142543713
AC073135.1	0
AC073136.1	0
AC073136.2	0
AC073137.1	0
AC073143.1	0
AC073150.1	0.12670761
AC073167.1	0
AC073172.1	0
AC073172.2	0.288653694
AC073174.1	0
AC073176.1	0
AC073176.2	0
AC073188.1	0
AC073188.2	0
AC073188.3	0
AC073188.4	0
AC073188.5	0
AC073188.6	0
AC073195.1	2.662449074
AC073210.1	0.947248616
AC073210.2	0
AC073218.1	0
AC073218.2	0
AC073254.1	0.081120083
AC073255.1	0
AC073257.1	0
AC073257.2	0.052026913
AC073261.1	0
AC073263.1	0.369456936
AC073263.2	0.294902951
AC073263.3	0
AC073264.1	0
AC073264.2	0
AC073283.1	0.191652627
AC073283.2	0
AC073283.3	0
AC073284.1	0
AC073288.1	0
AC073288.2	0.124112394
AC073308.1	0
AC073310.1	0
AC073311.1	0
AC073314.1	0.06198152
AC073316.1	0.031849519
AC073316.2	0.72290026
AC073316.3	1.958161599
AC073320.1	0.035838499
AC073321.1	0.168013516
AC073323.1	0.243638225
AC073324.1	0
AC073325.1	0
AC073325.2	0
AC073326.1	0.049318151
AC073332.1	0.051282284
AC073333.1	0.254353795
AC073333.2	0
AC073335.1	0.075675509
AC073335.2	5.157150704
AC073336.1	0
AC073342.1	0.08861358
AC073342.2	0.030522455
AC073342.3	0
AC073343.1	1.687877718
AC073343.2	0.299893121
AC073346.1	0
AC073346.2	0
AC073347.1	0.031180715
AC073348.1	0
AC073349.1	0.54319624
AC073349.2	0.428418744
AC073349.3	0
AC073352.1	0.381530693
AC073352.2	0
AC073358.1	0.040161126
AC073359.1	0
AC073359.2	0
AC073365.1	4.356029314
AC073367.1	0.078824132
AC073370.1	0
AC073387.1	0
AC073387.2	0
AC073389.1	1.624024986
AC073389.2	0.375369327
AC073389.3	0.969536819
AC073409.1	0
AC073410.1	0.139916179
AC073410.2	0.082741596
AC073413.1	0.637969355
AC073413.2	0.152612277
AC073415.1	0.359087711
AC073429.1	0
AC073429.2	0
AC073439.1	0.046454695
AC073464.1	0.102884681
AC073464.2	0.240264226
AC073464.3	0
AC073465.1	0.059203038
AC073465.2	0
AC073476.1	0.472460612
AC073476.2	0
AC073476.3	0.010957403
AC073476.4	0
AC073486.1	0
AC073487.1	0.415428505
AC073488.1	0.023256189
AC073508.1	0
AC073508.2	0
AC073508.3	5.76893766
AC073517.1	0.101553456
AC073521.1	0
AC073522.1	0
AC073525.1	0
AC073529.1	0.374593771
AC073530.1	0.025132854
AC073530.2	0
AC073534.1	0
AC073539.1	0
AC073539.2	0
AC073539.3	0
AC073544.1	0
AC073548.1	0.583851432
AC073551.1	0.065875803
AC073569.1	0.205923612
AC073569.2	1.241591406
AC073569.3	0.281952301
AC073571.1	0.057832021
AC073573.1	0.114221247
AC073575.1	0.046090956
AC073575.2	1.401988382
AC073578.1	0.055720507
AC073578.2	0
AC073578.3	0
AC073578.4	0
AC073581.1	0
AC073583.1	0.068675525
AC073585.1	0.806730561
AC073587.1	0
AC073591.1	0
AC073592.1	0.085710483
AC073592.10	0.046013752
AC073592.2	0.035218218
AC073592.3	0.044934913
AC073592.4	0
AC073592.5	0
AC073592.6	0.066193277
AC073592.7	0
AC073592.8	0
AC073592.9	0.148087385
AC073593.1	0
AC073594.1	0
AC073610.1	0.138738434
AC073610.2	0
AC073610.3	0.058509499
AC073611.1	1.74077064
AC073612.1	0
AC073614.1	0
AC073621.1	0.026826377
AC073626.1	0
AC073626.2	0
AC073636.1	0
AC073641.1	0.064033123
AC073648.1	0
AC073648.2	0.078040369
AC073648.3	0
AC073648.4	0
AC073648.5	0
AC073651.1	0.354454321
AC073651.2	0
AC073655.1	0
AC073655.2	0.689216735
AC073657.1	0
AC073657.2	0.090660759
AC073834.1	0
AC073842.1	0.160644502
AC073842.2	1.296670745
AC073848.1	0
AC073850.1	0
AC073857.1	1.433454974
AC073861.1	7.181754212
AC073862.1	0
AC073862.2	0
AC073862.3	0.016668817
AC073862.4	0
AC073862.5	0.040656453
AC073863.1	0
AC073864.1	0
AC073869.1	7.376390027
AC073869.2	0.026774084
AC073869.3	0.094724862
AC073869.4	0
AC073873.1	0
AC073878.1	0.174137622
AC073878.2	0.071351194
AC073896.1	0.156525412
AC073896.2	1.192283414
AC073896.3	0.314304461
AC073896.4	7.498072171
AC073896.5	0.050683044
AC073900.1	0
AC073901.1	0
AC073909.1	0.027497708
AC073910.1	0.062717374
AC073911.1	0
AC073911.2	0
AC073911.3	0.087068811
AC073912.1	0.187190527
AC073912.2	0.25997044
AC073912.3	0
AC073913.1	0
AC073913.2	0
AC073916.1	0
AC073934.1	0.277476867
AC073941.1	0
AC073941.2	0
AC073957.1	0.359423307
AC073957.2	0
AC073957.3	0.780449881
AC073964.1	0
AC073968.1	0
AC073987.1	0.043056755
AC074011.1	1.040180064
AC074019.1	0.02506406
AC074029.1	0.026312462
AC074029.2	0
AC074029.3	1.144592078
AC074029.4	0
AC074031.1	0
AC074032.1	0.368892702
AC074033.1	1.180962293
AC074035.1	0.046402382
AC074043.1	0
AC074044.1	0.155418443
AC074050.1	0
AC074050.2	0
AC074050.3	0
AC074050.4	0.103077711
AC074051.1	0
AC074051.2	0
AC074051.3	0
AC074051.4	0.030796199
AC074052.1	0
AC074052.2	0
AC074085.1	0
AC074085.2	0
AC074087.1	0
AC074091.1	0.015778409
AC074117.1	3.800099371
AC074117.2	0.4151669
AC074121.1	0
AC074124.1	0
AC074131.1	0
AC074133.1	0
AC074134.1	0.024792608
AC074135.1	0.738599231
AC074135.2	0
AC074138.1	0.379481026
AC074140.1	0
AC074143.1	0
AC074183.1	0
AC074183.2	0.059588308
AC074194.1	1.899065955
AC074198.1	0
AC074198.2	0
AC074212.1	0.31696396
AC074237.1	0.291615816
AC074250.1	0
AC074254.1	0
AC074255.1	0
AC074257.1	0
AC074276.1	0
AC074276.2	0
AC074281.1	0
AC074286.1	0.029038277
AC074290.1	0.203483036
AC074327.1	0.380356752
AC074338.1	0
AC074344.1	0
AC074344.2	0
AC074348.1	0
AC074351.1	0.114221247
AC074366.1	0.025294853
AC074367.1	0
AC074375.1	0
AC074389.1	0.019304434
AC074389.2	0.251443569
AC074389.3	0.06050707
AC074397.1	0
AC076966.1	0
AC076968.1	0
AC078776.1	0
AC078777.1	0.106062586
AC078778.1	0.784863139
AC078778.2	0.436035077
AC078785.1	0.178377986
AC078785.2	0.043847103
AC078785.3	0.064635788
AC078788.1	0.12998522
AC078788.2	0
AC078789.1	0.115179077
AC078795.1	2.665737833
AC078795.2	0
AC078795.3	0
AC078802.1	14.59864059
AC078809.1	0
AC078814.1	0
AC078814.2	0
AC078817.1	0.252599631
AC078819.1	0.107726313
AC078820.1	0.111065539
AC078828.1	0
AC078841.1	0
AC078842.1	0
AC078842.2	0.014534503
AC078845.1	0.064132786
AC078846.1	1.163498935
AC078850.1	0.25388364
AC078850.2	0.092027504
AC078851.1	0
AC078852.1	0
AC078852.2	0.208502542
AC078857.1	0
AC078860.1	0.729758896
AC078864.1	0.053652754
AC078865.1	0
AC078867.1	0
AC078878.1	0
AC078878.2	0
AC078880.1	0.049674882
AC078880.2	0
AC078880.3	0
AC078880.4	0
AC078880.5	0
AC078881.1	0.19067707
AC078882.1	0
AC078883.1	0.830729681
AC078883.2	0.246148834
AC078883.3	0.178543611
AC078883.4	0.149701416
AC078886.1	0
AC078889.1	0
AC078899.1	0.115908058
AC078899.2	0
AC078899.3	0
AC078899.4	0.049362462
AC078899.5	0
AC078905.1	0
AC078906.1	0.103271466
AC078909.1	0
AC078909.2	0.345103139
AC078918.1	0
AC078922.1	0
AC078923.1	0.198340865
AC078925.1	0.048363046
AC078925.2	0
AC078925.3	0.010988084
AC078925.4	0.927939529
AC078927.1	0
AC078929.1	0
AC078942.1	0
AC078950.1	0
AC078955.1	0
AC078960.1	0
AC078962.1	0.097758754
AC078962.2	0.038581755
AC078962.3	0
AC078962.4	0
AC078974.1	0
AC078980.1	0
AC078991.1	0.045033131
AC078993.1	3.470395668
AC079015.1	0
AC079031.1	0
AC079031.2	0.044667008
AC079035.1	0
AC079054.1	0
AC079061.1	0.008933402
AC079062.1	0
AC079064.1	0
AC079070.1	0.098991747
AC079075.1	0
AC079080.1	0
AC079089.1	0.041896609
AC079089.2	0
AC079089.3	0
AC079097.1	0
AC079098.1	0
AC079112.1	0
AC079117.1	0
AC079140.1	0.225628007
AC079140.2	1.160713093
AC079140.3	0.199783344
AC079140.4	0.051928563
AC079140.5	0
AC079145.1	0.050776728
AC079148.1	0.402493917
AC079150.1	0
AC079150.2	0
AC079154.1	0
AC079160.1	1.646068874
AC079163.1	0
AC079168.1	0
AC079168.2	0
AC079171.1	0
AC079174.1	0.088045544
AC079174.2	1.422274179
AC079178.1	0
AC079178.2	0
AC079193.1	0
AC079193.2	0.059926287
AC079203.1	0.475968983
AC079203.2	0
AC079209.1	0.072544568
AC079209.2	0
AC079210.1	0.071537005
AC079226.1	0
AC079226.2	0
AC079228.1	0.130935223
AC079238.1	0
AC079248.1	0
AC079248.2	0
AC079250.1	0.465596777
AC079296.1	0.073944037
AC079298.1	0
AC079298.2	0
AC079298.3	0
AC079305.1	6.881315096
AC079305.2	0
AC079305.3	1.386111507
AC079310.1	0
AC079313.1	0.201246959
AC079313.2	0.059459329
AC079315.1	0.661401522
AC079316.1	0
AC079316.2	0
AC079322.1	0.314636765
AC079325.1	0
AC079328.1	0.086565787
AC079328.2	0
AC079329.1	0
AC079331.1	0.022891842
AC079331.2	0.010789556
AC079336.1	0
AC079336.2	0.148167259
AC079336.3	0.057832021
AC079336.4	0.134657891
AC079336.5	0.254764043
AC079336.6	0.224063702
AC079336.7	0.127412847
AC079340.1	0
AC079340.2	0.069809936
AC079341.1	0
AC079341.2	0
AC079349.1	0
AC079354.1	0.008881413
AC079354.2	0
AC079354.3	0.176657298
AC079355.1	0
AC079355.2	0
AC079360.1	0.253181658
AC079362.1	0
AC079363.1	0
AC079380.1	0
AC079382.1	0
AC079384.1	0
AC079385.1	0.030865404
AC079385.2	0.031831066
AC079385.3	0.1697788
AC079395.1	0
AC079395.2	0
AC079395.3	0
AC079411.1	0
AC079411.2	0
AC079414.1	0
AC079414.2	0
AC079414.3	1.864950027
AC079416.1	0.035016201
AC079416.2	0.046052322
AC079416.3	0
AC079447.1	0.372150359
AC079448.1	0.073646675
AC079456.1	0
AC079465.1	0.058948948
AC079466.1	0.006168922
AC079466.2	0
AC079467.1	0.032819845
AC079584.1	0
AC079584.2	0.053340213
AC079587.1	0
AC079594.1	0
AC079594.2	0.024526973
AC079597.1	0
AC079598.1	0
AC079598.2	0
AC079598.3	0
AC079598.4	0
AC079600.1	0
AC079600.2	0
AC079600.3	0.184363825
AC079601.1	0.019684851
AC079601.2	0.248118025
AC079602.1	0
AC079602.2	0
AC079602.3	0
AC079610.1	0.015906317
AC079610.2	3.543258953
AC079610.3	0
AC079612.1	0
AC079612.2	0
AC079630.1	0.951818675
AC079684.1	0.628608921
AC079741.1	0
AC079742.1	0
AC079753.1	0.014203831
AC079760.1	0.135991138
AC079760.2	0.11820228
AC079763.1	0
AC079766.1	0.192999133
AC079768.1	0.038636019
AC079776.1	0
AC079776.2	0
AC079777.1	0.070328238
AC079779.1	0
AC079779.2	0.297941539
AC079779.3	0
AC079779.4	0
AC079780.1	0.265412656
AC079781.1	0
AC079781.2	0
AC079781.3	0
AC079790.1	0
AC079791.1	0
AC079793.1	0.038527644
AC079799.1	0
AC079801.1	0
AC079804.1	0
AC079804.2	0
AC079807.1	2.631492066
AC079809.1	0.099529746
