	88d2f686-ae1a-4375-93d9-febc927f0082
	tumor
AC002540.1	0.142543713
AC002542.1	0
AC002543.1	0.014058449
AC002545.1	0
AC002546.1	0.047038031
AC002550.1	0
AC002550.2	0.627492103
AC002551.1	0.092804763
AC002553.1	0.753546904
AC002553.2	0.829915706
AC002558.1	0
AC002558.2	0.040817548
AC002558.3	0
AC002563.1	0.060909556
AC002984.1	0.122634865
AC002985.1	0.040102496
AC002996.1	0.035038533
AC003001.1	0.024202828
AC003001.2	0.033056811
AC003002.1	0
AC003002.2	0.158177792
AC003002.3	0.158918569
AC003005.1	0
AC003005.2	0
AC003006.1	0
AC003009.1	0
AC003035.1	0.100993419
AC003035.2	0.236812154
AC003043.1	0
AC003045.1	0
AC003070.1	3.486372368
AC003070.2	0.142332694
AC003071.1	0
AC003071.2	0
AC003072.1	3.05224554
AC003080.1	0
AC003084.1	0
AC003087.1	0
AC003092.1	0
AC003092.2	0
AC003098.1	0
AC003101.1	0.059847952
AC003101.2	0.062149796
AC003101.3	0
AC003102.1	4.887840522
AC003659.1	0
AC003666.1	0
AC003669.1	0.044959427
AC003681.1	0.108126295
AC003682.1	0.118918657
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0.053133868
AC003687.1	0
AC003688.1	0
AC003688.2	0
AC003956.1	0.154327022
AC003957.1	0
AC003958.1	0
AC003958.2	0.013508832
AC003965.1	0.906063894
AC003965.2	1.554917539
AC003973.1	0
AC003973.2	0
AC003973.3	0.12654597
AC003975.1	0
AC003976.1	0
AC003982.1	0
AC003984.1	0
AC003985.1	0
AC003985.2	0.016459083
AC003986.1	0
AC003986.2	0.016055061
AC003986.3	0
AC003988.1	0
AC003989.1	0.04861984
AC003989.2	0
AC003991.1	0.017034028
AC003991.2	0.095382673
AC004000.1	0
AC004004.1	0
AC004006.1	0.072865278
AC004009.1	0
AC004009.2	0
AC004009.3	0
AC004012.1	0.565865746
AC004014.1	0
AC004014.2	0
AC004022.1	0
AC004022.2	0
AC004023.1	0
AC004024.1	5.004694104
AC004034.1	0.269315783
AC004039.1	0.199615835
AC004052.1	0
AC004053.1	0.143322834
AC004054.1	0.101741518
AC004057.1	0
AC004062.1	0
AC004063.1	0
AC004066.1	0.034252132
AC004066.2	0.048024842
AC004067.1	1.451996807
AC004069.1	2.001472485
AC004069.2	0.024659075
AC004074.1	0.025842154
AC004076.1	0.026721994
AC004076.2	0.181867173
AC004080.1	0
AC004080.2	0.197627409
AC004080.3	0
AC004080.4	0.130190568
AC004080.5	0
AC004080.6	0
AC004112.1	0.271982276
AC004129.1	0
AC004129.2	0
AC004130.1	2.973895487
AC004134.1	0.610449108
AC004147.1	0
AC004147.2	0
AC004147.3	0
AC004147.4	0.051346187
AC004147.5	0
AC004148.1	0
AC004148.2	1.871035966
AC004149.1	0.050036812
AC004156.1	0.043788857
AC004158.1	0.041835461
AC004160.1	0.014560182
AC004160.2	0
AC004217.1	0
AC004217.2	0
AC004221.1	0.292928778
AC004223.1	0
AC004223.2	0.050496709
AC004223.3	0
AC004223.4	0.41370798
AC004224.1	0.096726091
AC004224.2	0
AC004231.1	0
AC004231.3	0
AC004232.1	0
AC004232.2	0
AC004232.3	1.098808394
AC004233.1	0
AC004233.2	0.111894949
AC004233.3	0.173177052
AC004233.4	0.461130621
AC004241.1	0.17437449
AC004241.2	0.30934921
AC004241.3	1.753417651
AC004241.4	0.049053946
AC004241.5	0.11221491
AC004253.1	0.450331309
AC004253.2	0
AC004257.1	0
AC004263.1	0.243099202
AC004264.1	0.311375175
AC004264.2	0.079073719
AC004381.1	0.078262706
AC004383.1	1.235684181
AC004386.1	0
AC004386.2	0
AC004408.1	0
AC004408.2	0
AC004415.1	0
AC004448.1	0
AC004448.2	0.006551445
AC004448.3	0
AC004449.1	0.126883186
AC004453.1	3.433776233
AC004453.2	0.025518077
AC004461.1	0.477150047
AC004466.1	0.203483036
AC004466.2	0.212947363
AC004466.3	0.402493917
AC004467.1	0
AC004470.1	0
AC004471.1	1.085592486
AC004471.2	0.254017793
AC004477.1	1.479813555
AC004477.2	0
AC004477.3	1.350230654
AC004485.1	0.052125635
AC004486.1	0.235795793
AC004490.1	0.040131789
AC004491.1	0.014596286
AC004492.1	0.555327693
AC004494.1	0.13944269
AC004494.2	0
AC004520.1	0.388821088
AC004522.1	0
AC004522.2	0
AC004528.1	0.042855242
AC004528.2	0
AC004540.1	2.53397353
AC004540.2	0.280308264
AC004542.1	0
AC004542.2	0
AC004543.1	0.074445013
AC004551.1	0.095548556
AC004552.1	0.157874769
AC004554.1	0
AC004584.1	0.350257685
AC004584.2	0.067000512
AC004584.3	0.186554906
AC004585.1	0.252230641
AC004585.2	0
AC004590.1	0
AC004593.1	0
AC004594.1	0.079439589
AC004596.1	1.040538252
AC004597.1	0
AC004623.1	0.103320018
AC004637.1	0.056992137
AC004656.1	3.678600109
AC004672.1	0
AC004672.2	0
AC004674.1	0
AC004674.2	0
AC004678.1	0.295696554
AC004678.2	0.109661516
AC004687.1	0.760713504
AC004690.1	0
AC004690.2	0
AC004691.1	0.150659286
AC004691.2	0.053827975
AC004692.1	0.064788231
AC004692.2	0.091187419
AC004696.1	0.0905114
AC004696.2	0
AC004702.1	0
AC004704.1	0.094237427
AC004706.1	0.437523252
AC004706.2	0
AC004706.3	0.251251919
AC004707.1	0.076839748
AC004754.1	0.171535655
AC004771.1	0.14135614
AC004771.2	0.06257451
AC004771.3	1.695076471
AC004771.4	0
AC004771.5	1.165710013
AC004775.1	0.109443067
AC004777.1	0.382860068
AC004790.1	0
AC004790.2	0
AC004792.1	0
AC004797.1	0.010701289
AC004801.1	0.076306139
AC004801.2	0.176317136
AC004801.3	0.028555312
AC004801.4	0
AC004801.5	0.052624923
