	779250be-012c-4e5b-9b4e-258192607c4b
	normal
AC103739.2	0.194173457
AC103740.1	0.042226755
AC103740.2	0
AC103746.1	0.096812521
AC103760.1	0.131128017
AC103764.1	0.007476049
AC103769.1	0.055370311
AC103770.1	0.037622564
AC103778.1	0
AC103792.1	0.017050923
AC103794.1	0
AC103796.1	0.131311156
AC103798.1	0
AC103798.2	0
AC103808.1	0
AC103808.2	0
AC103808.3	0.131018378
AC103808.4	0
AC103808.5	0.033917312
AC103808.6	0
AC103809.1	0.0481407
AC103810.1	0.210441502
AC103810.10	0
AC103810.2	0.057736912
AC103810.3	1.305816499
AC103810.4	0.060971977
AC103810.5	0.055963564
AC103810.6	0
AC103810.7	0
AC103810.8	0
AC103810.9	0
AC103831.1	0
AC103833.1	0
AC103834.1	0
AC103843.1	0
AC103843.2	0
AC103851.1	0
AC103853.1	0.048289054
AC103853.2	0
AC103855.1	0
AC103855.2	0
AC103855.3	0
AC103855.4	0.059131313
AC103858.1	0.164598718
AC103858.2	0
AC103876.1	0.049850895
AC103879.1	0
AC103881.1	0.087378056
AC103923.1	0.012760422
AC103925.1	0
AC103949.1	0.617191168
AC103952.1	0
AC103957.1	0
AC103957.2	0.245800753
AC103968.1	0
AC103974.1	0.251003629
AC103974.2	0
AC103982.1	0
AC103987.1	0.045028155
AC103987.2	0
AC103987.3	0
AC103988.1	0
AC103993.1	0
AC103996.1	0
AC103996.2	0.034250925
AC103996.3	0
AC104002.1	0
AC104002.2	0
AC104002.3	0
AC104009.1	0
AC104010.1	0
AC104012.1	0
AC104024.1	0.092552192
AC104024.2	0
AC104027.1	0
AC104031.1	2.064032531
AC104035.1	0.090090828
AC104036.1	0
AC104041.1	0.122579906
AC104042.1	0.017746091
AC104046.1	0.424551177
AC104051.1	0
AC104051.2	0.03820349
AC104057.1	0
AC104058.1	0.052760263
AC104063.1	0
AC104066.1	0.22951768
AC104066.2	0
AC104071.1	0
AC104072.1	0
AC104073.1	0
AC104073.2	0
AC104073.3	0
AC104076.1	0.118262626
AC104076.2	0
AC104078.1	0.070228787
AC104078.2	0.057929013
AC104083.1	8.44910714
AC104088.1	0
AC104090.1	0.013381553
AC104108.1	0
AC104109.1	0
AC104109.2	0.353620265
AC104109.3	0.032442646
AC104109.4	0.251435154
AC104113.1	0.686984881
AC104115.1	0
AC104115.2	0.022809022
AC104116.1	0
AC104117.1	0
AC104117.2	0
AC104117.3	0.185991668
AC104117.4	0.037000704
AC104117.5	0.057293594
AC104118.1	0.493071051
AC104119.1	0
AC104123.1	0.105307782
AC104126.1	0.044078194
AC104129.1	0.00328921
AC104131.1	0
AC104134.1	0.008969547
AC104135.1	0.041074176
AC104136.1	0
AC104137.1	0
AC104151.1	0
AC104162.1	0.117510712
AC104164.1	0
AC104164.2	0
AC104170.1	0.230438206
AC104170.2	0.138670779
AC104184.1	1.304005381
AC104187.1	0.05120849
AC104211.1	0.089308724
AC104211.2	0.262967982
AC104211.3	0
AC104211.4	0
AC104212.1	0
AC104212.2	0.124759538
AC104229.1	0
AC104232.1	0.107205003
AC104232.2	0
AC104233.1	0
AC104233.2	0
AC104237.1	0.058143963
AC104237.2	1.025788131
AC104237.3	0.844040641
AC104241.1	0
AC104241.2	0.317765232
AC104248.1	0.158458631
AC104257.1	0.366265604
AC104260.1	0.145359907
AC104260.2	0.107542222
AC104297.1	0.036022524
AC104306.1	0.126709957
AC104306.2	0
AC104308.1	0
AC104316.1	0.050143354
AC104316.2	0.144200595
AC104332.1	0.078643905
AC104332.2	0
AC104333.1	0
AC104333.2	0.081613531
AC104333.3	0.065427131
AC104339.1	0.135084465
AC104350.1	0
AC104365.1	0.070163275
AC104365.2	0.084701611
AC104365.3	0
AC104383.1	0
AC104389.1	0
AC104389.2	0
AC104389.3	0
AC104389.4	0.029289342
AC104390.1	0.030134227
AC104393.1	0
AC104394.1	0
AC104407.1	0.038359359
AC104408.1	0
AC104411.1	0.146904356
AC104417.1	0
AC104417.2	0
AC104423.1	0
AC104435.1	0
AC104435.2	0
AC104440.1	0
AC104445.1	0
AC104446.1	0.094896581
AC104447.1	0.973829254
AC104451.1	0
AC104454.1	0
AC104455.1	0
AC104457.1	0.019250366
AC104457.2	0
AC104458.1	0.135376225
AC104461.1	0.216348296
AC104462.1	0.175277382
AC104462.2	0
AC104463.1	0
AC104463.2	0.898268675
AC104465.1	0
AC104472.1	0.019772616
AC104472.2	0.05214575
AC104506.1	0
AC104521.1	0.168492452
AC104532.1	0.054033786
AC104532.2	0.319248856
AC104534.1	0.581388265
AC104561.1	0
AC104561.2	0.150961445
AC104561.3	0
AC104563.1	0.208374973
AC104564.1	0.464290311
AC104564.2	0.024560812
AC104564.3	0.640271316
AC104564.4	0
AC104564.5	0.193638188
AC104574.1	0
AC104574.2	0
AC104576.1	0
AC104581.1	0.145765563
AC104581.2	0
AC104581.3	0.143759615
AC104581.4	0.419119369
AC104590.1	0.040553307
AC104596.1	0.462690886
AC104596.2	0
AC104619.1	0.124166387
AC104619.2	0
AC104619.3	0.282440483
AC104619.4	0.062930916
AC104623.1	0
AC104623.2	0.015661967
AC104629.1	0
AC104634.1	0.101751935
AC104640.1	0
AC104640.2	0
AC104651.1	0
AC104651.2	0
AC104653.1	0.233529031
AC104653.2	0.037667784
AC104655.1	0.102921497
AC104662.1	0.061329933
AC104662.2	0
AC104663.1	0
AC104667.1	0.060942335
AC104667.2	0.577208743
AC104685.1	0
AC104687.1	0
AC104687.2	0
AC104688.1	0
AC104689.1	0
AC104692.1	0
AC104692.2	0
AC104695.1	0
AC104695.2	0.078322882
AC104695.3	1.415336593
AC104695.4	0.211754027
AC104698.1	0
AC104699.1	0.643445811
AC104758.1	0.053663692
AC104758.2	0.583967627
AC104758.3	0.014806108
AC104758.4	0
AC104758.5	0.054885457
AC104759.1	0
AC104763.1	0.304690517
AC104763.2	0
AC104763.3	0
AC104770.1	0
AC104771.1	0
AC104772.1	0.01817842
AC104772.2	0
AC104777.1	0.011572967
AC104777.2	0
AC104777.3	0
AC104779.1	0.355324218
AC104781.1	0
AC104784.1	0
AC104785.1	0.106597265
AC104791.1	0.019735262
AC104791.2	0.006205861
AC104793.1	0
AC104794.1	0
AC104794.2	4.266331769
AC104794.3	0
AC104794.4	0.210804457
AC104803.1	0
AC104806.1	0.101751935
AC104806.2	0.123384236
AC104809.1	0.167055416
AC104809.2	0.619476201
AC104819.1	0.064484765
AC104819.2	0
AC104819.3	0.319199589
AC104820.1	0
AC104823.1	0.015844083
AC104825.1	1.176802312
AC104827.1	0
AC104831.1	0.070584676
AC104836.1	0.206022093
AC104837.1	0.128360034
AC104837.2	0.147828283
AC104843.1	0.049121624
AC104843.2	0
AC104849.1	0
AC104850.1	0
AC104852.1	0
AC104938.1	0.209863366
AC104958.1	0.079421176
AC104958.2	0.39826831
AC104961.1	0
AC104964.1	0.604107082
AC104964.2	0.032044577
AC104964.3	0.037140224
AC104964.4	0.547895035
AC104966.1	0.010703414
AC104971.1	0.142570536
AC104971.2	0
AC104971.3	0.755170988
AC104978.1	0
AC104982.1	0
AC104982.2	0
AC104984.1	0.359708419
AC104984.2	0.122102322
AC104984.3	0.028699264
AC104984.4	6.225946524
AC104984.5	0
AC104984.6	0.043527217
AC104985.1	0
AC104985.2	0
AC104985.3	0
AC104986.1	0.143759615
AC104986.2	2.309233389
AC104989.1	0
AC104996.1	0
AC104996.2	0.109688586
AC104996.3	0
AC104997.1	0
AC105001.1	1.337853214
AC105001.2	0
AC105020.1	1.300486636
AC105020.2	0.082184255
AC105020.3	0
AC105020.4	0
AC105020.5	0.296355518
AC105020.6	0.463527303
AC105021.1	0.041823304
AC105029.1	0
AC105031.1	0
AC105031.2	0
AC105031.3	0
AC105036.1	0.057822133
AC105036.2	0
AC105036.3	0.214654767
AC105046.1	0.134841167
AC105052.1	0
AC105052.2	0.217087882
AC105052.3	0.106597265
AC105052.4	0.097327938
AC105053.1	0.274748065
AC105074.1	0.101258792
AC105081.1	0
AC105094.1	0
AC105094.2	0.013555189
AC105101.1	0.054541587
AC105105.1	0.012275596
AC105105.2	0
AC105105.3	0
AC105105.4	0
AC105105.5	0
AC105109.1	0
AC105114.1	0
AC105118.1	0.028804776
AC105129.1	0.052760263
AC105129.2	0
AC105129.3	0.226162033
AC105133.1	0
AC105133.2	0
AC105137.1	0.033626176
AC105137.2	0
AC105148.1	0
AC105150.1	0.028438835
AC105177.1	0
AC105180.1	0
AC105185.1	0
AC105206.1	0.343375262
AC105206.2	0.973657351
AC105219.1	0.255442453
AC105219.2	0.157222053
AC105219.3	0
AC105219.4	0.008662133
AC105224.1	0
AC105227.1	0
AC105227.2	0
AC105233.1	0
AC105233.2	0
AC105233.3	0
AC105235.1	0.02588623
AC105245.1	0
AC105250.1	0.022853376
AC105252.1	0
AC105254.1	0.126165845
AC105254.2	0.215639422
AC105265.1	0
AC105265.2	0
AC105265.3	0
AC105265.4	0
AC105271.1	0.017314694
AC105272.1	0
AC105275.1	0
AC105275.2	0
AC105277.1	0.890757132
AC105285.1	0.20011919
AC105313.1	0
AC105339.1	0.022250334
AC105339.2	0.094199942
AC105339.3	0.043088354
AC105339.4	0.123190236
AC105339.5	0.297662377
AC105342.1	0
AC105343.1	0
AC105345.1	0.352965219
AC105345.2	0
AC105362.1	0
AC105383.1	0.01914453
AC105384.1	0.131363576
AC105384.2	0.024484059
AC105389.1	0
AC105389.2	0.648405434
AC105389.3	0
AC105390.1	0.083945346
AC105391.1	0
AC105393.1	0
AC105393.2	0
AC105398.1	0.116938791
AC105399.1	0.07497511
AC105402.1	0
AC105402.2	0
AC105402.3	0.003770404
AC105411.1	0.026203676
AC105415.1	0.121728657
AC105416.1	0
AC105417.1	0
AC105420.1	0
AC105424.1	0
AC105429.1	0.023498822
AC105429.2	0
AC105430.1	0
AC105443.1	0
AC105446.1	1.078020501
AC105460.1	0
AC105460.2	0
AC105749.1	0.226306844
AC105758.1	0
AC105760.1	0.007023666
AC105760.2	0.133872687
AC105910.1	0.064885292
AC105914.1	0
AC105914.2	2.421084669
AC105917.1	0
AC105918.1	0
AC105919.1	0
AC105924.1	0
AC105935.1	0.034027792
AC105935.2	0.057609551
AC105940.1	0.088780725
AC105940.2	0
AC105942.1	9.987173622
AC105999.1	0
AC105999.2	0
AC106017.1	0
AC106017.2	0
AC106028.1	0.119161962
AC106028.2	1.452158004
AC106028.3	0.875558989
AC106028.4	1.032606128
AC106028.5	0.158681499
AC106037.1	0.139908911
AC106037.2	0
AC106038.1	0.008229936
AC106038.2	0
AC106047.1	0.372456998
AC106047.2	0
AC106052.1	0
AC106053.1	0
AC106706.1	0
AC106707.1	0
AC106707.2	0
AC106712.1	0.014529252
AC106729.1	0
AC106730.1	0
AC106730.2	0
AC106732.1	0
AC106733.1	0
AC106734.1	0
AC106736.1	0
AC106738.1	0.349187699
AC106738.2	0.1409879
AC106739.1	0.163127107
AC106739.2	0.569810836
AC106744.1	0
AC106744.2	0
AC106745.1	0.101313349
AC106748.1	0
AC106754.1	0.051783866
AC106754.2	0
AC106760.1	0
AC106760.2	0
AC106771.1	0
AC106772.1	0.026514041
AC106772.2	0
AC106774.1	0
AC106774.2	0
AC106774.3	0
AC106774.4	0
AC106779.1	0.013047292
AC106782.1	0.057886213
AC106782.2	2.922290956
AC106782.3	0
AC106782.4	0
AC106782.5	0.697468753
AC106782.6	0.459076113
AC106782.7	0
AC106785.1	0
AC106785.2	0
AC106786.1	0.184350565
AC106786.2	0.083795711
AC106788.1	0.571202708
AC106788.2	0
AC106789.1	0.027490874
AC106791.1	0.299363305
AC106791.2	0.160304839
AC106794.1	0
AC106794.2	0
AC106795.1	1.309884464
AC106795.2	0.242600673
AC106795.3	0.085940391
AC106795.5	0.034514974
AC106796.1	0
AC106798.1	0
AC106799.1	0
AC106799.2	0
AC106799.3	0
AC106800.1	0.069029947
AC106800.2	0.028413052
AC106800.3	0
AC106800.4	0
AC106801.1	0.144382963
AC106806.1	0.027931904
AC106806.2	0
AC106818.1	0
AC106820.1	0.5223266
AC106820.2	0.04800796
AC106820.3	0.236823143
AC106820.4	0.064174742
AC106820.5	0.053480539
AC106821.1	0
AC106822.1	0
AC106827.1	0.10907052
AC106864.1	0.295258643
AC106864.2	0
AC106865.1	0.196051791
AC106868.1	0
AC106869.1	0.145580894
AC106870.1	0
AC106870.2	0
AC106871.1	0
AC106872.1	0
AC106872.10	0
AC106872.11	0
AC106872.12	0
AC106872.2	0.293808712
AC106872.3	0
AC106872.4	0
AC106872.5	0.553312076
AC106872.6	0
AC106872.7	0
AC106872.8	0
AC106872.9	0
AC106873.1	0.10241698
AC106874.1	0
AC106875.1	0.013381553
AC106875.2	0
AC106876.1	0.327658753
AC106881.1	0.169454109
AC106882.1	0.013217881
AC106883.1	0
AC106886.1	0.13058165
AC106886.2	0.496890537
AC106886.3	0.429701956
AC106886.4	0.400826168
AC106892.1	0
AC106894.1	0
AC106895.1	0
AC106895.2	0
AC106897.1	0.357939548
AC106900.1	0.103090776
AC106900.2	0
AC106901.1	0
AC107015.1	0
AC107016.1	0
AC107016.2	0
AC107021.1	0.058252037
AC107021.2	0.119673875
AC107023.1	0
AC107027.1	0.272518226
AC107027.2	0
AC107027.3	0.38802264
AC107029.1	0.168492452
AC107029.2	0
AC107031.1	0.225789596
AC107032.1	0.587617425
AC107032.2	0.568334642
AC107057.1	0.147364871
AC107058.1	0
AC107067.1	0.066317162
AC107068.1	0.330633481
AC107072.1	0
AC107072.2	0.197637092
AC107074.1	0
AC107075.1	0.698653414
AC107079.1	0.023422717
AC107081.1	0.086813285
AC107081.2	0.273537621
AC107081.3	0
AC107083.1	0
AC107208.1	0
AC107214.1	0.336382068
AC107214.2	0.271873467
AC107220.1	0
AC107222.1	0.368990534
AC107241.1	0.108316576
AC107294.1	0.26843337
AC107294.2	0.849432702
AC107294.3	0.238323924
AC107297.1	0
AC107302.1	0
AC107304.1	0
AC107308.1	0
AC107373.1	0
AC107373.2	0
AC107375.1	0.983313187
AC107385.1	0
AC107391.1	0
AC107393.1	0
AC107396.1	0
AC107398.1	0.031029303
AC107398.2	0.104291501
AC107398.3	0
AC107399.1	0
AC107401.1	0
AC107419.1	0.011113332
AC107421.1	0
AC107463.1	0
AC107464.1	0.026637991
AC107464.2	0.027539188
AC107464.3	0.701632746
AC107613.1	0
AC107626.1	0
AC107871.1	0
AC107871.2	0.085161946
AC107882.1	0
AC107884.1	0.286117948
AC107884.2	0.170943251
AC107886.1	0.060735651
AC107890.1	0.030076388
AC107892.1	0
AC107896.1	0
AC107905.1	0
AC107909.1	0
AC107909.2	0.06356916
AC107918.1	0
AC107918.2	0
AC107926.1	0.025233169
AC107934.1	0
AC107934.2	0
AC107952.1	0
AC107952.2	1.773331049
AC107953.1	0
AC107953.2	0
AC107954.1	0
AC107956.1	4.810430541
AC107956.2	0.034514974
AC107958.1	0
AC107958.2	0
AC107958.3	0.03635684
AC107959.1	1.098544039
AC107959.2	0
AC107959.3	0.142291015
AC107973.1	0
AC107976.1	0
AC107980.1	0
AC107982.1	0
AC107982.2	0.033844056
AC107982.3	0.270443214
AC107983.1	2.984723427
AC107983.2	0.250212275
AC107990.1	0
AC107993.1	0.435272166
AC108002.1	0.024811432
AC108002.2	0
AC108002.3	0.03115268
AC108010.1	1.302277701
AC108019.1	0
AC108022.1	0.098346013
AC108025.1	0
AC108025.2	0
AC108032.1	0
AC108037.1	0
AC108039.1	0
AC108039.2	0
AC108043.1	0
AC108047.1	0.193933143
AC108051.1	0
AC108058.1	0.168169545
AC108059.1	0
AC108059.2	0
AC108059.3	0
AC108062.1	1.465314646
AC108063.1	0.151399014
AC108064.1	0.034064778
AC108066.1	0
AC108067.1	0
AC108073.1	0.139493751
AC108073.2	0
AC108078.1	0
AC108078.2	0
AC108078.3	0
AC108081.1	0
AC108082.1	0
AC108097.1	0.029344191
AC108099.1	0
AC108102.1	0.085783566
AC108103.1	0
AC108112.1	0
AC108114.1	0.071715323
AC108120.1	0
AC108120.2	0
AC108120.3	0
AC108125.1	0
AC108134.1	0.424891615
AC108134.2	0.649416762
AC108134.3	4.762389586
AC108134.4	0.985848218
AC108136.1	0.024833277
AC108142.1	0
AC108145.1	0
AC108156.1	0.032577543
AC108157.1	0.058143963
AC108159.1	0.032044577
AC108161.1	0.077959194
AC108174.1	0
AC108199.1	0
AC108206.1	0.007535368
AC108210.1	0
AC108210.2	0
AC108215.1	0.456590518
AC108359.1	0
AC108448.1	0
AC108448.2	0.321982151
AC108449.1	0
AC108449.2	2.299372532
AC108449.3	0
AC108451.1	0
AC108451.2	0.058252037
AC108462.1	0
AC108463.1	0.135473758
AC108463.2	0.228200942
AC108463.3	0.052867065
AC108467.1	0
AC108467.2	0
AC108471.1	0.272992996
AC108471.2	0.217919833
AC108472.1	0.126778301
AC108474.1	0.074440846
AC108475.1	0.412363105
AC108479.1	0.073394838
AC108479.2	0
AC108482.1	0
AC108488.1	1.616075772
AC108488.2	0
AC108515.1	0
AC108516.1	0.060971977
AC108516.2	0.089798269
AC108517.1	0
AC108667.1	0.377585494
AC108673.1	0.14872112
AC108673.2	0.610151426
AC108673.3	4.490449574
AC108676.1	0.03166682
AC108676.2	0
AC108681.1	0.100705643
AC108688.1	0.043954553
AC108693.1	0.036272681
AC108693.2	0
AC108704.1	0.147430895
AC108704.2	0.330417466
AC108706.1	0
AC108718.1	0.113139336
AC108721.1	0
AC108724.1	0
AC108725.1	0.038312465
AC108727.1	0.159489038
AC108727.2	0
AC108729.1	0
AC108729.2	0.13058165
AC108729.3	0
AC108733.1	0
AC108734.1	0.11781803
AC108734.2	0.029316741
AC108734.3	0.107603763
AC108738.1	0
AC108740.1	0
AC108747.1	0
AC108748.1	0
AC108751.1	0
AC108751.2	0
AC108751.3	0
AC108751.4	0.046962432
AC108751.5	0.082102235
AC108752.1	0
AC108860.1	0
AC108860.2	0.480932875
AC108861.1	0.160715877
AC108863.1	0
AC108865.1	0
AC108865.2	0
AC108866.1	0.053725022
AC108868.1	0.339418007
AC108868.2	0.030664967
AC108879.1	0
AC108935.1	0
AC108938.1	0
AC108941.1	0
AC109309.1	0.036022524
AC109309.2	0
AC109315.1	0
AC109322.1	0.433894723
AC109326.1	0.35586218
AC109329.1	0
AC109347.1	0.338640035
AC109347.2	0.628587885
AC109349.1	0
AC109361.1	0.02222036
AC109361.2	0.965946452
AC109439.1	0
AC109439.2	0
AC109445.1	0
AC109446.1	0
AC109446.2	0
AC109446.3	0.244458627
AC109446.4	0
AC109449.1	0.23235169
AC109454.1	0.157327289
AC109454.2	0.994429488
AC109454.3	0
AC109454.4	0.193156216
AC109458.1	0
AC109460.1	0.233244625
AC109460.2	1.047523126
AC109460.3	0.14440852
AC109460.4	0
AC109462.1	0
AC109462.2	0
AC109464.1	0
AC109464.2	0
AC109466.1	0.004979281
AC109471.1	0
AC109479.1	0.025111856
AC109479.2	0
AC109479.3	0
AC109481.1	0.111133319
AC109486.1	0
AC109492.1	0
AC109495.1	0
AC109583.1	0
AC109583.2	0.971770418
AC109587.1	0.610728913
AC109588.1	0
AC109597.1	0
AC109597.2	0.135230188
AC109630.1	0.082225327
AC109631.1	0
AC109635.1	0
AC109635.2	0
AC109635.3	0
AC109635.4	0
AC109635.5	0
AC109635.6	0
AC109638.1	0
AC109779.1	0.084427791
AC109780.1	0
AC109780.2	0
AC109809.1	0.20126346
AC109810.1	0
AC109811.1	0
AC109811.2	0
AC109826.1	0.283413767
AC109830.1	0
AC109925.1	0.047340779
AC109927.1	0.235990934
AC109927.2	0
AC109992.1	0
AC109992.2	0.020483396
AC110011.1	0
AC110015.1	0
AC110023.1	0
AC110027.1	0
AC110048.1	0.029058503
AC110048.2	0.102584602
AC110053.1	0
AC110056.1	0.017200656
AC110058.1	0
AC110079.1	1.24074851
AC110079.2	0.048193579
AC110275.1	0
AC110285.1	0.058143963
AC110285.2	1.602024076
AC110285.3	0.188508848
AC110285.4	0
AC110285.5	0.133549415
AC110285.6	0.127656195
AC110285.7	0.14282368
AC110288.1	0
AC110296.1	0
AC110373.1	0.013412095
AC110491.1	0
AC110491.2	0
AC110588.1	0
AC110597.1	0.083874863
AC110597.3	0
AC110602.1	0.049276094
AC110603.1	0
AC110609.1	0.258577525
AC110615.1	0
AC110619.1	0.101720482
AC110620.1	0
AC110716.1	0
AC110716.2	0
AC110741.1	0.134620258
AC110741.2	0
AC110741.3	0
AC110751.1	0
AC110753.1	0
AC110754.1	0
AC110760.1	0.053117959
AC110760.2	0.103183345
AC110760.3	0
AC110767.1	0
AC110768.1	0
AC110768.2	0
AC110769.1	0.019226746
AC110769.2	0.040490434
AC110769.3	0.053434946
AC110771.1	0.044606989
AC110772.1	0.033058646
AC110774.1	0.023295042
AC110775.1	0
AC110792.1	0
AC110792.2	0
AC110792.3	0.841331436
AC110794.1	0.036870113
AC110799.1	0
AC110800.1	0
AC110801.1	0
AC110813.1	0
AC110921.1	0
AC110926.1	0
AC110994.1	0
AC110995.1	0.160551209
AC110998.1	0.015265268
AC111000.1	0
AC111000.2	0
AC111000.3	0
AC111000.4	0
AC111000.5	0
AC111000.6	0
AC111149.1	0
AC111149.2	0.080255047
AC111152.1	0
AC111152.2	1.58313423
AC111152.3	0.18626803
AC111170.1	0.055370311
AC111170.2	0
AC111170.3	0.038156976
AC111182.1	0.064164133
AC111186.1	0
AC111188.1	0.094035885
AC111188.2	0.146869051
AC111188.3	0
AC111193.1	0
AC111194.1	0
AC111194.2	0
AC111198.1	0
AC111200.1	0
AC111200.2	0.031029303
AC112173.1	0
AC112176.1	0
AC112178.1	0
AC112184.1	0.251118558
AC112187.1	0
AC112187.2	0
AC112187.3	0.268844573
AC112191.1	0.067060476
AC112191.2	0.141169351
AC112191.3	0
AC112192.1	0
AC112196.1	0.018833892
AC112198.1	0
AC112198.2	0.004479645
AC112198.3	0
AC112198.4	0
AC112200.1	0
AC112200.2	0
AC112203.1	0
AC112204.1	0.304267922
AC112204.2	0
AC112204.3	0.28318912
AC112206.1	0.03285073
AC112206.2	1.33072746
AC112206.3	0.161129028
AC112206.4	0.154763437
AC112211.1	0
AC112219.1	0
AC112219.2	0
AC112220.1	0
AC112220.2	2.792928348
AC112220.3	2.028957908
AC112220.4	2.047123253
AC112225.1	0
AC112229.1	0
AC112229.2	0
AC112229.3	0.073406299
AC112229.4	0
AC112230.1	0.057293594
AC112236.1	0
AC112236.2	0.111264838
AC112240.1	0
AC112242.1	0
AC112243.1	0
AC112247.1	0
AC112249.1	0
AC112250.1	0
AC112250.2	0.191484293
AC112255.1	0.006285519
AC112481.1	0
AC112482.1	0
AC112484.1	0.365915612
AC112484.2	0.381028523
AC112484.3	0.405753092
AC112484.4	0.343635921
AC112487.1	0
AC112491.1	1.137324048
AC112492.1	0
AC112492.2	0
AC112492.3	0
AC112492.4	0
AC112492.5	0
AC112493.1	0
AC112495.1	0.041454492
AC112496.1	1.561403359
AC112497.1	1.373253032
AC112498.1	0
AC112503.1	0
AC112503.2	0.312260467
AC112504.1	0.017023137
AC112512.1	0.076812735
AC112518.1	0
AC112518.2	0
AC112653.1	0
AC112656.1	0
AC112673.1	0
AC112693.1	0.022976243
AC112693.2	0
AC112693.3	0
AC112694.1	0.195012127
AC112694.2	0.183630445
AC112695.1	0
AC112698.1	0
AC112702.1	0
AC112715.1	0.179083406
AC112719.1	0
AC112719.2	0.018599167
AC112721.1	0
AC112721.2	0
AC112722.1	3.924123177
AC112771.1	0
AC112777.1	0
AC112778.1	0.018947761
AC112907.1	0
AC112907.2	0
AC112907.3	0.326454125
AC113133.1	0.011404511
AC113137.1	0
AC113139.1	0.655640083
AC113143.1	0.364413907
AC113143.2	0
AC113145.1	0
AC113146.1	0.012781238
AC113155.1	0
AC113167.1	0.027490874
AC113174.1	0
AC113189.1	0
AC113189.2	0
AC113189.3	0
AC113189.4	0
AC113191.1	0.661008848
AC113192.1	0
AC113192.2	0.050875968
AC113192.3	0
AC113192.4	0
AC113192.5	0
AC113194.1	0
AC113208.1	0
AC113208.2	0.05999157
AC113208.3	0
AC113331.1	0
AC113340.1	0
AC113346.1	0
AC113346.2	0
AC113347.1	0
AC113347.2	0
AC113347.3	0
AC113347.4	0
AC113349.1	0.080633609
AC113349.2	0
AC113352.1	0
AC113355.1	0
AC113361.1	0.028857823
AC113367.1	0.058909015
AC113367.2	0
AC113367.3	0
AC113368.1	0.041020414
AC113378.1	0
AC113382.1	0.012505824
AC113382.2	0.024256653
AC113383.1	0.743457569
AC113385.1	0
AC113385.2	0
AC113385.3	0.020976972
AC113386.1	0
AC113391.1	0
AC113391.2	0
AC113398.1	0.308764492
AC113398.2	0
AC113403.1	0.081190663
AC113404.1	0.165817968
AC113404.2	0
AC113404.3	0.766457511
AC113410.1	0.634404777
AC113410.2	0
AC113410.3	0.540337862
AC113414.1	0
AC113418.1	0
AC113420.1	0
AC113423.1	0
AC113423.2	0
AC113430.1	0
AC113554.1	0.009656819
AC113607.1	0.026604071
AC113608.1	0.051376387
AC113608.2	0
AC113615.1	0
AC113618.1	0
AC113935.1	41.33438606
AC114271.1	0.122550855
AC114284.1	0.098463722
AC114291.1	0.062287669
AC114296.1	0
AC114300.1	0
AC114316.1	0
AC114316.2	0.004538024
AC114321.1	0
AC114322.1	0
AC114324.1	0
AC114324.2	0
AC114341.1	0.493890481
AC114400.1	0
AC114401.1	0
AC114402.1	0.334416421
AC114402.2	0.024369826
AC114477.1	0
AC114482.1	0
AC114485.1	0
AC114488.1	0.159084244
AC114488.2	0.09192571
AC114488.3	0.163227062
AC114489.1	0
AC114490.1	1.194201581
AC114490.2	0.106184498
AC114491.1	1.210268951
AC114492.1	0
AC114495.1	0.071879807
AC114495.2	0.717153226
AC114498.1	0
AC114501.1	0
AC114501.2	0.087868026
AC114501.3	0
AC114546.1	0
AC114546.2	0
AC114546.3	0
AC114546.4	0
AC114550.1	0
AC114550.2	0
AC114550.3	0
AC114684.1	0.311615301
AC114689.1	0
AC114689.2	0
AC114689.3	0.005238983
AC114728.1	0.648852919
AC114730.1	0.033198725
AC114730.2	0.023457781
AC114730.3	0.375645842
AC114737.1	0.034591166
AC114737.2	0
AC114741.1	0
AC114744.1	0.094112901
AC114752.1	0
AC114752.2	0.155146515
AC114755.1	0
AC114755.2	0
AC114755.3	0
AC114755.4	0
AC114755.5	0
AC114760.1	0
AC114760.2	0.159353878
AC114763.1	0.167080862
AC114763.2	0
AC114774.1	0
AC114776.1	0
AC114781.1	0.045728982
AC114781.2	0.318168487
AC114781.3	0.662104141
AC114781.4	0
AC114781.5	0
AC114786.1	0
AC114786.2	0
AC114786.3	0
AC114786.4	0
AC114797.1	0
AC114801.1	0
AC114801.2	0.020063762
AC114801.3	0.088529932
AC114803.1	0
AC114808.1	0
AC114808.2	0.146173489
AC114810.1	0.99385611
AC114811.1	0
AC114811.2	0.069372224
AC114812.1	0
AC114812.2	0
AC114812.3	0
AC114812.4	0
AC114814.1	0
AC114814.2	0
AC114814.3	0
AC114877.1	0.026924052
AC114878.1	0
AC114878.2	0.037577453
AC114912.1	0
AC114928.1	0.037758549
AC114939.1	0.335345871
AC114940.1	0
AC114947.1	0
AC114947.2	0.909940212
AC114954.1	0
AC114956.1	0.214235519
AC114956.2	0.054789503
AC114956.3	0.361757183
AC114964.1	0
AC114967.1	0
AC114973.1	0
AC114980.1	0.372263177
AC114981.1	0
AC114982.1	0
AC114982.2	0
AC115099.1	1.428462248
AC115102.1	0.321761766
AC115115.1	0.126369339
AC115220.1	0
AC115223.1	4.827018233
AC115283.1	0
AC115284.1	0
AC115284.2	0.007628918
AC115285.1	0
AC115286.1	0
AC115522.1	1.719168485
AC115618.1	1.284409672
AC115618.2	8.566156237
AC115618.3	10.91355343
AC115619.1	0
AC115621.1	0.018263168
