	779250be-012c-4e5b-9b4e-258192607c4b
	normal
AC002524.1	0.372408362
AC002525.1	0.792184609
AC002540.1	0.011615862
AC002542.1	0
AC002543.1	0.048116063
AC002545.1	0
AC002546.1	0.134159229
AC002550.1	0.01136316
AC002550.2	0.159084244
AC002551.1	0.07940776
AC002553.1	1.250457695
AC002553.2	1.136178706
AC002558.1	0.117084418
AC002558.2	0.046567007
AC002558.3	0.039076803
AC002563.1	0.138978253
AC002984.1	0.279817821
AC002985.1	0
AC002996.1	0.019986987
AC003001.1	0
AC003001.2	0
AC003002.1	0
AC003002.2	0
AC003002.3	0.129502463
AC003005.1	0
AC003005.2	0.023599093
AC003006.1	0
AC003009.1	0
AC003035.1	0.172828654
AC003035.2	0.045028155
AC003043.1	0
AC003045.1	0
AC003070.1	2.708783461
AC003070.2	0.284167321
AC003071.1	0.039720654
AC003071.2	0.04974539
AC003072.1	3.302947616
AC003080.1	0.020429984
AC003084.1	0
AC003087.1	0
AC003092.1	0
AC003092.2	0.035134076
AC003098.1	0
AC003101.1	0.034138993
AC003101.2	0.177260158
AC003101.3	0
AC003102.1	0.942368567
AC003659.1	0
AC003666.1	0
AC003669.1	0
AC003681.1	0.108731936
AC003682.1	0.169586558
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0.015154544
AC003687.1	0
AC003688.1	0.032044577
AC003688.2	0
AC003956.1	0.264097719
AC003957.1	0.058622514
AC003958.1	0
AC003958.2	0
AC003965.1	0.211436555
AC003965.2	0.413919192
AC003973.1	0
AC003973.2	0
AC003973.3	0.533061874
AC003975.1	0.018721384
AC003976.1	0
AC003982.1	0
AC003984.1	0
AC003985.1	0
AC003985.2	0.018777469
AC003986.1	0
AC003986.2	0.009158269
AC003986.3	0
AC003988.1	0
AC003989.1	0
AC003989.2	0
AC003991.1	0.832397289
AC003991.2	0.299249614
AC004000.1	0.470455829
AC004004.1	0
AC004006.1	0
AC004009.1	0
AC004009.2	0
AC004009.3	0
AC004012.1	0.29344191
AC004014.1	0
AC004014.2	0
AC004022.1	0.029399246
AC004022.2	0.324762653
AC004023.1	0
AC004024.1	0.126880955
AC004034.1	0.153625471
AC004039.1	0.096348674
AC004052.1	0
AC004053.1	0
AC004054.1	0
AC004057.1	0.062930916
AC004062.1	0
AC004063.1	0
AC004066.1	0
AC004066.2	0.356131773
AC004067.1	0.246239683
AC004069.1	0.59939118
AC004069.2	0
AC004074.1	0
AC004076.1	0.091457965
AC004076.2	0.165044517
AC004080.1	0
AC004080.2	0
AC004080.3	0
AC004080.4	0
AC004080.5	0
AC004080.6	0
AC004112.1	0.243801666
AC004129.1	0.019685676
AC004129.2	0
AC004130.1	0.82196485
AC004134.1	0
AC004147.1	0
AC004147.2	0
AC004147.3	0
AC004147.4	0.117157368
AC004147.5	0
AC004148.1	0
AC004148.2	2.158842138
AC004149.1	0.142712186
AC004156.1	0.033304565
AC004158.1	0
AC004160.1	0.116277653
AC004160.2	0
AC004217.1	0
AC004217.2	0
AC004221.1	0.037132223
AC004223.1	0.289110664
AC004223.2	0.028804776
AC004223.3	0.007827072
AC004223.4	0.660774614
AC004224.1	0.027587673
AC004224.2	0.029621546
AC004231.1	0.038453492
AC004231.3	0
AC004232.1	0
AC004232.2	0
AC004232.3	0.41786128
AC004233.1	0.592771964
AC004233.2	0.446796684
AC004233.3	0.493925863
AC004233.4	0.150309813
AC004241.1	0.319719297
AC004241.2	0.952893121
AC004241.3	0.909272611
AC004241.4	0.111927129
AC004241.5	0.512084902
AC004253.1	0.802756045
AC004253.2	0
AC004257.1	0
AC004263.1	0.161782575
AC004264.1	0.532852073
AC004264.2	0.180423696
AC004381.1	0.089286598
AC004383.1	0.054220754
AC004386.1	0.082364247
AC004386.2	0
AC004408.1	0.082040827
AC004408.2	0
AC004415.1	0
AC004448.1	0
AC004448.2	0.011211399
AC004448.3	0.027636328
AC004449.1	0.03618891
AC004453.1	7.066771644
AC004453.2	0.036390613
AC004461.1	0.077765747
AC004466.1	0.203127011
AC004466.2	1.062873895
AC004466.3	0.143496319
AC004467.1	0
AC004470.1	0
AC004471.1	0.403860773
AC004471.2	0.072449528
AC004477.1	0.053425837
AC004477.2	0
AC004477.3	0.610856532
AC004485.1	0
AC004486.1	0
AC004490.1	0.114461636
AC004491.1	0.033304565
AC004492.1	0.633549784
AC004494.1	0.08484493
AC004494.2	0
AC004520.1	0.809550781
AC004522.1	0
AC004522.2	0.046087641
AC004528.1	0
AC004528.2	0
AC004540.1	0.994323257
AC004540.2	5.418694318
AC004542.1	0
AC004542.2	0
AC004543.1	0
AC004551.1	0.027251823
AC004552.1	0.360225241
AC004554.1	0
AC004584.1	0.085627311
AC004584.2	0.267533136
AC004584.3	0.026604071
AC004585.1	0.444718808
AC004585.2	0.010638016
AC004590.1	0
AC004593.1	0
AC004594.1	0.122349493
AC004596.1	0.296776477
AC004597.1	0
AC004623.1	0.081037977
AC004637.1	0.130039817
AC004656.1	3.278915516
AC004672.1	0
AC004672.2	0
AC004674.1	0
AC004674.2	0
AC004678.1	0.101204293
AC004678.2	0.093831126
AC004687.1	2.266093864
AC004690.1	0
AC004690.2	0
AC004691.1	0.114587188
AC004691.2	0.010235008
AC004692.1	0
AC004692.2	0
AC004696.1	0.103260613
AC004696.2	0.094681559
AC004702.1	0
AC004704.1	0.02687787
AC004706.1	0.178268464
AC004706.2	0
AC004706.3	0.095547549
AC004707.1	0.043831603
AC004754.1	0.076881257
AC004771.1	0.618191001
AC004771.2	0.071388601
AC004771.3	0.255949514
AC004771.4	0
AC004771.5	0.346932797
AC004775.1	0
AC004777.1	0
AC004790.1	0
AC004790.2	0
AC004792.1	0
AC004797.1	0
AC004801.1	0.13058165
AC004801.2	0.663804023
AC004801.3	0.048866314
AC004801.4	0
AC004801.5	0
AC004801.6	0.464646362
AC004801.7	0
AC004803.1	0.516774477
AC004805.1	0.009696657
AC004805.2	0.032509954
AC004805.3	0
AC004808.1	0
AC004808.2	0
AC004812.1	0
AC004812.2	1.264658959
AC004816.1	1.138030022
AC004816.2	0.44140276
AC004817.1	0
AC004817.2	0.0481407
AC004817.3	0.007360168
AC004817.4	0.004322703
AC004824.1	0
AC004825.1	0
AC004825.2	0.688782329
AC004828.1	0.071879807
AC004830.1	0.533220349
AC004832.1	0.381716797
AC004832.2	0
AC004832.3	0
AC004832.4	0.189363118
AC004832.5	0.468921636
AC004832.6	0.066774707
AC004835.1	0.005390367
AC004835.2	0
AC004836.1	1.334651564
AC004837.1	0
AC004837.2	0.235797234
AC004837.3	0
AC004839.1	0.218939293
AC004840.1	0
AC004840.2	0
AC004846.1	0.277432489
AC004846.2	0.524343305
AC004847.1	1.12337118
AC004852.1	0
AC004852.2	0
AC004852.3	0
AC004853.1	0
AC004854.1	0.134697404
AC004854.2	0.260982062
AC004858.1	0.064751231
AC004862.1	0
AC004865.1	0
AC004865.2	0.958443955
AC004866.1	0
AC004866.2	0
AC004869.1	0
AC004869.2	0
AC004870.1	0
AC004870.2	0
AC004870.3	0.029565657
AC004870.4	0
AC004872.1	0
AC004875.1	0
AC004877.1	0.015313753
AC004877.2	0.732478036
AC004882.1	0
AC004882.2	0
AC004884.1	0
AC004884.2	0.22959411
AC004888.1	0
AC004889.1	0.278698052
AC004890.1	0.606014287
AC004890.2	0.465948102
AC004890.3	0.12879286
AC004893.1	0.078742703
AC004895.1	0.076438039
AC004898.1	0.040913311
AC004899.1	0
AC004899.2	0
AC004906.1	0
AC004908.1	0.926864207
AC004908.2	0.709781791
AC004908.3	0.902580364
AC004910.1	0.019910798
AC004911.1	0
AC004917.1	0
AC004918.1	4.578837076
AC004918.3	3.083138632
AC004920.1	0
AC004921.1	2.501181944
AC004923.1	0.206634699
AC004923.2	0
AC004923.3	0
AC004923.4	1.081406898
AC004925.1	0.017372282
AC004930.1	0
AC004936.1	0
AC004938.1	0
AC004941.1	0
AC004941.2	0.068727184
AC004943.1	0.092338232
AC004943.2	0.288023961
AC004943.3	0.05223266
AC004944.1	0
AC004945.1	0
AC004946.1	0
AC004947.1	0.788842761
AC004947.2	0.36959838
AC004948.1	0.186545214
AC004951.1	0.176348209
AC004951.2	0.89258343
AC004951.3	0.294645774
AC004951.4	0.203797951
AC004965.1	0
AC004967.1	4.522156468
AC004969.1	0.027110377
AC004972.1	0
AC004973.1	0
AC004975.1	0.452013404
AC004975.2	0.166404934
AC004980.1	0.559275748
AC004980.2	0.346816455
AC004980.3	0.386378581
AC004980.4	0.463146739
AC004982.1	1.49596863
AC004982.2	2.55426765
AC004986.1	0.025815153
AC004987.1	0
AC004987.2	0.081897899
AC004987.3	0
AC004987.4	0
AC004988.1	1.521855028
AC004990.1	0
AC004994.1	0
AC004997.1	0.083795711
AC005000.1	0.217636083
AC005000.2	0.404381884
AC005002.1	0
AC005002.2	0
AC005005.1	0
AC005005.2	0
AC005005.3	0.211153306
AC005005.4	0.001876847
AC005006.1	0.251723663
AC005008.1	0
AC005008.2	0
AC005009.1	0.40776426
