	944c32ab-2edb-486a-92db-fecd68f690af
	tumor
AC002543.1	0
AC002545.1	0
AC002546.1	0.086190703
AC002550.1	0
AC002550.2	2.107953343
AC002551.1	0.042512982
AC002553.1	1.06695923
AC002553.2	0.684317729
AC002558.1	0.062684148
AC002558.2	0.037396264
AC002558.3	0.125524615
AC002563.1	0.111608361
AC002984.1	0.337067215
AC002985.1	0
AC002996.1	0
AC003001.1	0.022174172
AC003001.2	0
AC003002.1	0
AC003002.2	0.144919493
AC003002.3	0.08319896
AC003005.1	0
AC003005.2	0.075806281
AC003006.1	0.120853231
AC003009.1	0
AC003035.1	0.092528255
AC003035.2	0
AC003043.1	0
AC003045.1	0
AC003070.1	4.020221076
AC003070.2	0.195603772
AC003071.1	0.063796414
AC003071.2	0
AC003072.1	2.056183445
AC003080.1	0.032813149
AC003084.1	0
AC003087.1	0
AC003092.1	0.141923038
AC003092.2	0
AC003098.1	0
AC003101.1	0.054831559
AC003101.2	0.113880929
AC003101.3	0
AC003102.1	1.851300912
AC003659.1	0
AC003666.1	0
AC003669.1	0
AC003681.1	0.115403593
AC003682.1	0
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0
AC003687.1	0
AC003688.1	0
AC003688.2	0
AC003956.1	0.565565963
AC003957.1	0
AC003958.1	0
AC003958.2	0.018564804
AC003965.1	3.50913754
AC003965.2	2.659227133
AC003973.1	0
AC003973.2	0
AC003973.3	0.053510316
AC003975.1	0
AC003976.1	0
AC003982.1	0
AC003984.1	0
AC003985.1	0
AC003985.2	0
AC003986.1	0
AC003986.2	0.044128028
AC003986.3	0
AC003988.1	0
AC003989.1	0.089089152
AC003989.2	0
AC003991.1	0.005202085
AC003991.2	0.043693898
AC004000.1	0.348743908
AC004004.1	0
AC004006.1	0
AC004009.1	0
AC004009.2	0
AC004009.3	0
AC004012.1	0.282782982
AC004014.1	0
AC004014.2	0
AC004022.1	0.023609461
AC004022.2	0
AC004023.1	0.028862025
AC004024.1	0.815147704
AC004034.1	1.579148886
AC004039.1	0.070340093
AC004052.1	0
AC004053.1	0.17507955
AC004054.1	0
AC004057.1	0.252687604
AC004062.1	0
AC004063.1	0
AC004066.1	0.031381154
AC004066.2	0.2639967
AC004067.1	0.359538362
AC004069.1	1.833711138
AC004069.2	0
AC004074.1	0
AC004076.1	0.220339658
AC004076.2	0.302951374
AC004080.1	0.066493224
AC004080.2	0.090531242
AC004080.3	0
AC004080.4	0.357834389
AC004080.5	0
AC004080.6	0
AC004112.1	0.106793573
AC004129.1	0
AC004129.2	0
AC004130.1	6.909877902
AC004134.1	0
AC004147.1	0
AC004147.2	0
AC004147.3	0
AC004147.4	0
AC004147.5	0
AC004148.1	0
AC004148.2	3.311537548
AC004149.1	0.504270563
AC004156.1	0.093609882
AC004158.1	0.004791107
AC004160.1	0.044465875
AC004160.2	0
AC004217.1	0.033512231
AC004217.2	0.02866479
AC004221.1	0.149097662
AC004223.1	0
AC004223.2	0.323848893
AC004223.3	0
AC004223.4	1.137094218
AC004224.1	0.177237221
AC004224.2	0
AC004231.1	0.123522382
AC004231.3	0
AC004232.1	0
AC004232.2	0
AC004232.3	1.534030346
AC004233.1	0.041394219
AC004233.2	22.04094645
AC004233.3	0.218159605
AC004233.4	0.120708323
AC004241.1	0.484981468
AC004241.2	0.170051928
AC004241.3	0.58416291
AC004241.4	0.022471148
AC004241.5	0.277584765
AC004253.1	2.06292503
AC004253.2	0
AC004257.1	0.18171614
AC004263.1	1.224975836
AC004264.1	0.253578694
AC004264.2	0
AC004381.1	0.573622458
AC004383.1	0.957939581
AC004386.1	0.396862319
AC004386.2	0
AC004408.1	0
AC004408.2	0.009062904
AC004415.1	0
AC004448.1	0
AC004448.2	0.01800693
AC004448.3	0
AC004449.1	0.523115862
AC004453.1	6.785405368
AC004453.2	0.175343837
AC004461.1	0.437155825
AC004466.1	0.279640949
AC004466.2	0.292647504
AC004466.3	0.50704128
AC004467.1	0
AC004470.1	0
AC004471.1	0.648651685
AC004471.2	0.149609754
AC004477.1	0.729373766
AC004477.2	0
AC004477.3	1.322369909
AC004485.1	0
AC004486.1	0.216031634
AC004490.1	0.045959981
AC004491.1	0.026745681
AC004492.1	1.18715497
AC004494.1	0.051101899
AC004494.2	0
AC004520.1	0.427476609
AC004522.1	0
AC004522.2	0.074022604
AC004528.1	0
AC004528.2	0
AC004540.1	0.162658366
AC004540.2	0.028534791
AC004542.1	0
AC004542.2	0
AC004543.1	0.136410219
AC004551.1	0.087539775
AC004552.1	0.86785122
AC004554.1	0
AC004584.1	0.229213892
AC004584.2	0.184153795
AC004584.3	0.106823792
AC004585.1	0.336129354
AC004585.2	0
AC004590.1	0
AC004593.1	0
AC004594.1	0.123727777
AC004596.1	0.428994637
AC004597.1	0.044862184
AC004623.1	0.295812005
AC004637.1	0
AC004656.1	5.810273556
AC004672.1	0.012053489
AC004672.2	0.043846142
AC004674.1	0
AC004674.2	0
AC004678.1	0.568914309
AC004678.2	0.577701361
AC004687.1	1.331951349
AC004690.1	0
AC004690.2	0
AC004691.1	0.092020787
AC004691.2	0
AC004692.1	0.593577485
AC004692.2	0.146202322
AC004696.1	0.041462414
AC004696.2	0
AC004702.1	0
AC004704.1	0.043169272
AC004706.1	0.400850506
AC004706.2	0
AC004706.3	0.460384488
AC004707.1	0.03519956
AC004754.1	0.145932163
AC004771.1	0.906554704
AC004771.2	0.057329579
AC004771.3	0.41108742
AC004771.4	0
AC004771.5	0.371478751
AC004775.1	0
AC004777.1	0.438461418
AC004790.1	0
AC004790.2	0
AC004792.1	0
AC004797.1	0.078434547
AC004801.1	0.209730711
AC004801.2	0.936922819
AC004801.3	0.026161835
AC004801.4	0.008087302
AC004801.5	0
AC004801.6	0.952151696
AC004801.7	0
AC004803.1	1.022072804
AC004805.1	0
AC004805.2	0.052215115
AC004805.3	0.081186082
AC004808.1	0
AC004808.2	0.162792273
AC004812.1	0
AC004812.2	4.08644366
AC004816.1	4.499251015
AC004816.2	0.08861861
AC004817.1	0.034906637
AC004817.2	0.038660039
AC004817.3	0
AC004817.4	0.048599668
AC004824.1	0
AC004825.1	0
AC004825.2	0.276567971
AC004828.1	0
AC004830.1	0.359143699
AC004832.1	0.051956411
AC004832.2	0
AC004832.3	0
AC004832.4	0.152070606
AC004832.5	0.313811538
AC004832.6	0.035749553
AC004835.1	0.017315229
AC004835.2	0.036902764
AC004836.1	0.079393329
AC004837.1	0
AC004837.2	0.034429118
AC004837.3	0
AC004839.1	0.401879207
AC004840.1	0.165576877
AC004840.2	0
AC004846.1	1.072721016
AC004846.2	0.615426026
AC004847.1	0.474116522
AC004852.1	0
AC004852.2	0
AC004852.3	0
AC004853.1	0
AC004854.1	0.721137117
AC004854.2	0.384239471
AC004858.1	0.1039987
AC004862.1	0
AC004865.1	0
AC004865.2	0.390954336
AC004866.1	0
AC004866.2	0
AC004869.1	0
AC004869.2	0
AC004870.1	0
AC004870.2	2.931044685
AC004870.3	0
AC004870.4	0
AC004872.1	0
AC004875.1	0.399487069
AC004877.1	0.147574994
AC004877.2	2.605002492
AC004882.1	0.032558455
AC004882.2	0
AC004884.1	0.552268958
AC004884.2	1.106271884
AC004888.1	0.184041575
AC004889.1	0.593102412
AC004890.1	3.05905568
AC004890.2	1.284606745
AC004890.3	0.482667939
AC004893.1	0.090336272
AC004895.1	0.122769197
AC004898.1	0.032855986
AC004899.1	0
AC004899.2	0
AC004906.1	0.051945687
AC004908.1	0.744330806
AC004908.2	1.139999686
AC004908.3	0.805365932
AC004910.1	0
AC004911.1	0.057790322
AC004917.1	0.084617578
AC004918.1	6.929284802
AC004918.3	6.638827275
AC004920.1	0.052215115
AC004921.1	0.309016601
AC004923.1	0.055313594
AC004923.2	0
AC004923.3	0
AC004923.4	2.349892138
AC004925.1	0.176713238
AC004930.1	0
AC004936.1	0
AC004938.1	0
AC004941.1	0.008066566
AC004941.2	0.22076917
AC004943.1	0.103814848
AC004943.2	1.091535301
AC004943.3	0.167784569
AC004944.1	0
AC004945.1	0
AC004946.1	0
AC004947.1	0.009049869
AC004947.2	0.028267711
AC004948.1	0.112355738
