	3ceffeff-4dd6-4ff9-8fa2-eb88199c498b
	tumor
AC002542.1	0
AC002543.1	0.011043982
AC002545.1	0
AC002546.1	0.036951953
AC002550.1	0
AC002550.2	0.383399956
AC002551.1	0
AC002553.1	1.049398597
AC002553.2	1.564708668
AC002558.1	0.188119032
AC002558.2	0
AC002558.3	0
AC002563.1	0.095698183
AC002984.1	0
AC002985.1	0
AC002996.1	0
AC003001.1	0.019013163
AC003001.2	0
AC003002.1	0
AC003002.2	0.289941617
AC003002.3	0.053503984
AC003005.1	0
AC003005.2	0.162499551
AC003006.1	0.025906291
AC003009.1	0
AC003035.1	0
AC003035.2	0.062011323
AC003043.1	0
AC003045.1	0
AC003070.1	3.541565707
AC003070.2	0.167719744
AC003071.1	0.109404007
AC003071.2	0
AC003072.1	7.510665523
AC003080.1	0.056271031
AC003084.1	0
AC003087.1	0
AC003092.1	0
AC003092.2	0
AC003098.1	0.04368409
AC003101.1	0.094030241
AC003101.2	0.829997707
AC003101.3	0
AC003102.1	3.882673169
AC003659.1	0
AC003666.1	0
AC003669.1	0
AC003681.1	0.209726529
AC003682.1	0
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0
AC003687.1	0
AC003688.1	0
AC003688.2	0
AC003956.1	0.24247124
AC003957.1	0.024219911
AC003958.1	0
AC003958.2	0.042448862
AC003965.1	0.25882987
AC003965.2	1.384373533
AC003973.1	0
AC003973.2	0
AC003973.3	0.091764452
AC003975.1	0
AC003976.1	0
AC003982.1	0
AC003984.1	0
AC003985.1	0
AC003985.2	0
AC003986.1	0
AC003986.2	0.037837417
AC003986.3	0.031184885
AC003988.1	0
AC003989.1	0
AC003989.2	0
AC003991.1	0.022302543
AC003991.2	0.074930349
AC004000.1	0.099676399
AC004004.1	0
AC004006.1	0
AC004009.1	0
AC004009.2	0
AC004009.3	0
AC004012.1	0.080823747
AC004014.1	0
AC004014.2	0
AC004022.1	0
AC004022.2	0
AC004023.1	0
AC004024.1	0
AC004034.1	0.211568043
AC004039.1	0.180938572
AC004052.1	0
AC004053.1	0
AC004054.1	0
AC004057.1	0.563331777
AC004062.1	0
AC004063.1	0
AC004066.1	0
AC004066.2	0.037727168
AC004067.1	0.73988367
AC004069.1	1.808155296
AC004069.2	0
AC004074.1	0
AC004076.1	0.125952959
AC004076.2	0.389646832
AC004080.1	0
AC004080.2	0.15525137
AC004080.3	0
AC004080.4	0
AC004080.5	0
AC004080.6	0
AC004112.1	0.030523254
AC004129.1	0.081331434
AC004129.2	0
AC004130.1	1.734102352
AC004134.1	0.095910846
AC004147.1	0
AC004147.2	0
AC004147.3	0
AC004147.4	0
AC004147.5	0
AC004148.1	0
AC004148.2	1.737084984
AC004149.1	0
AC004156.1	0.114664933
AC004158.1	0
AC004160.1	0.064816075
AC004160.2	0
AC004217.1	0
AC004217.2	0.02457852
AC004221.1	0.153411898
AC004223.1	0.398153881
AC004223.2	0.357021072
AC004223.3	0
AC004223.4	0.389998922
AC004224.1	0.379928528
AC004224.2	0
AC004231.1	0.450133726
AC004231.3	0
AC004232.1	0
AC004232.2	0
AC004232.3	0.328837187
AC004233.1	0.035493323
AC004233.2	0.131852996
AC004233.3	0.20406563
AC004233.4	0.051750457
AC004241.1	0.161445938
AC004241.2	0.194413877
AC004241.3	0.542629062
AC004241.4	0.308284863
AC004241.5	0.061707346
AC004253.1	1.459299247
AC004253.2	0
AC004257.1	0
AC004263.1	0.095486462
AC004264.1	4.103993699
AC004264.2	0.571489498
AC004381.1	0
AC004383.1	0.37335537
AC004386.1	0.368645499
AC004386.2	0
AC004408.1	0
AC004408.2	0
AC004415.1	0
AC004448.1	0
AC004448.2	0.010293318
AC004448.3	0
AC004449.1	0.049838199
AC004453.1	11.63624236
AC004453.2	0.130301544
AC004461.1	0.160644717
AC004466.1	0.119888558
AC004466.2	0.334572719
AC004466.3	1.027616208
AC004467.1	0
AC004470.1	0
AC004471.1	1.816867832
AC004471.2	0.684172482
AC004477.1	0.654829422
AC004477.2	0
AC004477.3	1.426470635
AC004485.1	0
AC004486.1	0.833559929
AC004490.1	0.181277804
AC004491.1	0.011466493
AC004492.1	0.407168686
AC004494.1	0.05842285
AC004494.2	0
AC004520.1	0.320720982
AC004522.1	0
AC004522.2	0.095205619
AC004528.1	0.168330268
AC004528.2	0
AC004540.1	0.316979148
AC004540.2	0.146802315
AC004542.1	0
AC004542.2	0
AC004543.1	0
AC004551.1	0
AC004552.1	2.046373656
AC004554.1	0
AC004584.1	0.275154067
AC004584.2	0.052634001
AC004584.3	0.018319134
AC004585.1	1.531130995
AC004585.2	0
AC004590.1	0
AC004593.1	0
AC004594.1	0
AC004596.1	0.940035281
AC004597.1	0.038466917
AC004623.1	0.131894323
AC004637.1	0
AC004656.1	2.432156479
AC004672.1	0
AC004672.2	0
AC004674.1	0
AC004674.2	0
AC004678.1	0.092916858
AC004678.2	0.0646106
AC004687.1	1.314716367
AC004690.1	0
AC004690.2	0
AC004691.1	0.039451445
AC004691.2	0.014095324
AC004692.1	0.101792172
AC004692.2	0.107451985
AC004696.1	0.035551796
AC004696.2	0
AC004702.1	0
AC004704.1	0.111046005
AC004706.1	1.178426778
AC004706.2	0
AC004706.3	1.074610852
AC004707.1	0.090545204
AC004754.1	0.019250616
AC004771.1	0.555230027
AC004771.2	0.196628158
AC004771.3	0.783300921
AC004771.4	0.0455273
AC004771.5	0.597230822
AC004775.1	0
AC004777.1	0.827105729
AC004790.1	0
AC004790.2	0
AC004792.1	0
AC004797.1	0
AC004801.1	0.119888558
AC004801.2	1.717530556
AC004801.3	0
AC004801.4	0.013868856
AC004801.5	0.020670441
AC004801.6	0.661961361
AC004801.7	0
AC004803.1	0.099988822
AC004805.1	0
AC004805.2	0.044771661
AC004805.3	0
AC004808.1	0
AC004808.2	0
AC004812.1	0
AC004812.2	2.102343761
AC004816.1	3.918145599
AC004816.2	1.139785583
AC004817.1	0.029930569
AC004817.2	0.06629782
AC004817.3	0.050680931
AC004817.4	0.005953087
AC004824.1	0
AC004825.1	0
AC004825.2	2.134279817
AC004828.1	0
AC004830.1	0.165817325
AC004832.1	0.035639868
AC004832.2	0.044771661
AC004832.3	0
AC004832.4	2.607847779
AC004832.5	3.067472821
AC004832.6	0.061306649
AC004835.1	0
AC004835.2	0
AC004836.1	0
AC004837.1	0
AC004837.2	0.619943568
AC004837.3	0
AC004839.1	0.1292212
AC004840.1	0.035493323
AC004840.2	0.302876356
AC004846.1	0.374995685
AC004846.2	2.610700637
AC004847.1	1.005031237
AC004852.1	0
AC004852.2	0
AC004852.3	0
AC004853.1	0
AC004854.1	0.55650276
AC004854.2	2.935231307
AC004858.1	0
AC004862.1	0
AC004865.1	0
AC004865.2	0.544736359
AC004866.1	0
AC004866.2	0
AC004869.1	0
AC004869.2	0
AC004870.1	0.048934105
AC004870.2	0.252725392
AC004870.3	0
AC004870.4	0
AC004872.1	0
AC004875.1	0
AC004877.1	0.010544804
AC004877.2	0.612452398
AC004882.1	0.027917129
AC004882.2	0
AC004884.1	0.405892295
AC004884.2	0.0395237
AC004888.1	0
AC004889.1	0.028786048
AC004890.1	2.503749988
AC004890.2	3.122548151
AC004890.3	0.236492497
AC004893.1	0
AC004895.1	0.55265701
AC004898.1	0.056344492
AC004899.1	0
AC004899.2	0
AC004906.1	0.02227032
AC004908.1	0.917446633
AC004908.2	0.488744294
AC004908.3	0.241695332
AC004910.1	0.082261526
AC004911.1	0
AC004917.1	0.010365005
AC004918.1	8.772105633
AC004918.3	4.082691422
AC004920.1	0.089543321
AC004921.1	0.235524588
AC004923.1	0.04742844
AC004923.2	0
AC004923.3	0
AC004923.4	0.759240121
AC004925.1	0.135572427
AC004930.1	0
AC004936.1	0
AC004938.1	0
AC004941.1	0
AC004941.2	0.094648861
AC004943.1	0.063582617
AC004943.2	0.245125304
AC004943.3	0
AC004944.1	0
AC004945.1	0
AC004946.1	0
AC004947.1	0
AC004947.2	0.016158697
AC004948.1	0
AC004951.1	0.774842446
AC004951.2	9.178303754
AC004951.3	0.829997707
AC004951.4	0.311848849
AC004965.1	0
AC004967.1	4.489786253
AC004969.1	0.037335537
AC004972.1	0
AC004973.1	0
AC004975.1	0.103749713
AC004975.2	0.916670034
AC004980.1	0.562049894
AC004980.2	0.434204032
AC004980.3	0.059123124
AC004980.4	0
AC004982.1	0.221667061
AC004982.2	1.03533818
AC004986.1	0
AC004987.1	0
AC004987.2	0.770712156
AC004987.3	0
AC004987.4	0
AC004988.1	0.134036897
AC004990.1	0.215987219
AC004994.1	0
AC004997.1	0.230801501
AC005000.1	1.348746273
AC005000.2	0
AC005002.1	0
AC005002.2	0
AC005005.1	0.031642141
AC005005.2	0
AC005005.3	0.47445259
AC005005.4	0.010338934
AC005006.1	0.173332854
AC005008.1	0
AC005008.2	0
AC005009.1	0.320891307
AC005009.2	0.186839311
AC005011.1	0
AC005013.1	0.403706368
AC005014.1	0.029005296
AC005014.2	0.468345951
AC005014.3	0.795050435
AC005019.1	0.200277869
AC005019.2	0
AC005020.1	0.246159016
AC005020.2	0
AC005021.1	0.121577129
AC005033.1	0
AC005034.1	0
AC005034.2	0.208501839
AC005034.3	3.557540256
AC005034.4	0.048008766
AC005034.5	1.111413238
AC005037.1	0.022178767
AC005040.1	0
AC005041.1	1.736482681
AC005041.2	0.141045362
AC005041.3	1.629302124
AC005042.1	0.161849553
AC005042.2	0
AC005042.3	0
AC005046.1	0.863197615
AC005050.1	0
AC005052.1	0.008659687
AC005062.1	0.075748621
AC005064.1	0.015838488
AC005066.1	0
AC005070.1	0.059123124
AC005070.2	0.082999771
AC005070.3	0.269137578
AC005072.1	0.012130377
AC005076.1	0.36452602
AC005077.1	0
AC005077.2	0
AC005077.3	0
AC005077.4	0.043221626
AC005082.1	0.021229651
AC005083.1	0.455070885
AC005084.1	0.070986646
AC005086.1	0
AC005086.2	0
AC005086.3	0
AC005086.4	0
AC005088.1	0
AC005089.1	0.163703251
AC005090.1	0
AC005091.1	0.072537615
AC005094.1	0
AC005096.1	0.034694438
AC005099.1	0.813669883
AC005102.1	0.090104135
AC005104.1	1.562348624
AC005104.2	0.031828821
AC005105.1	0
AC005150.1	0
AC005154.1	2.701603683
AC005154.2	0.17081747
AC005154.3	0.743601678
AC005154.4	0
AC005154.5	0.351846854
AC005154.6	0.062823698
AC005156.1	0.037661327
AC005160.1	0
AC005162.1	0
AC005162.2	0.037335537
AC005162.3	0.390686471
AC005165.1	0.065437825
AC005165.2	0.681471801
AC005176.1	0
AC005176.2	0
AC005178.1	0
AC005180.1	0.110289303
AC005180.2	0.076796941
AC005181.1	0
AC005183.1	0.010904467
AC005185.1	0
AC005186.1	0
AC005189.1	0.278450844
AC005191.1	0
AC005197.1	0.094787439
AC005208.1	0
AC005209.1	0
AC005220.1	0.024411697
AC005224.1	0.266765691
AC005224.2	0
AC005224.3	0.030252253
AC005224.4	0.182880851
AC005225.1	0.092123545
AC005225.2	0.046963962
AC005225.3	0.207899233
AC005225.4	0.378255135
AC005229.1	0.211050762
AC005229.2	0
AC005229.3	0
AC005229.4	1.187976699
AC005230.1	0.075719089
AC005234.1	0
AC005237.1	0.077209089
AC005237.2	0
AC005244.1	0.318288206
AC005244.2	0
AC005252.1	0
AC005252.2	0
AC005252.3	0
AC005253.1	1.100026946
AC005253.2	0
AC005255.1	1.598514102
AC005256.1	0.047117774
AC005258.1	0
AC005261.1	12.69557319
AC005261.2	0.227157267
AC005261.3	4.705517685
AC005261.4	0
AC005261.5	0.233380754
AC005262.1	0.894196424
AC005262.2	0
AC005264.1	0.111668514
AC005274.1	0.026907656
AC005277.1	0
AC005277.2	0
AC005280.1	0
AC005281.1	0
AC005288.1	11.44238699
AC005291.1	0.033666054
AC005291.2	0.041261836
AC005294.1	0
AC005296.1	0
AC005297.1	0
AC005297.2	0
AC005297.3	0
AC005300.1	0.057855068
AC005301.1	0
AC005303.1	0
AC005304.1	0
AC005304.2	0
AC005304.3	0
AC005306.1	0.438522853
AC005307.1	0
AC005323.1	0
AC005323.2	0
AC005324.1	0
AC005324.2	0
AC005324.3	0.031309308
AC005324.4	0.019182169
AC005324.5	0.075586481
AC005324.6	0
AC005326.1	0.17544667
AC005329.1	0.338414075
AC005329.2	0
AC005329.3	0.04739372
AC005330.1	0.505507489
AC005332.1	0.395357686
AC005332.2	0.111813163
AC005332.3	0.029571689
AC005332.4	4.596624071
AC005332.5	1.74361613
AC005332.6	2.674807966
AC005332.7	7.313981846
AC005332.8	0.069725171
AC005336.1	3.732652599
AC005336.2	0.045963664
AC005336.3	0
AC005339.1	0
AC005341.1	0
AC005342.1	0
AC005342.2	0
AC005344.1	0
AC005345.1	0
AC005351.1	0
AC005355.1	0.090672018
AC005355.2	0.178346615
AC005357.1	0
AC005357.2	0.013753945
AC005358.1	0
AC005358.2	0
AC005363.1	0
AC005363.2	0.267519922
AC005377.1	0
AC005379.1	0
AC005381.1	0
AC005383.1	0
AC005387.1	0.796986434
AC005387.2	0.392362552
AC005391.1	0.063284283
AC005392.1	0
AC005392.2	0.215082462
AC005392.3	0
AC005393.1	0.591231243
AC005394.1	0
AC005410.1	0.093217885
AC005412.1	0.030181735
AC005476.1	0.054357532
AC005476.2	0.975865752
AC005479.1	0.769403647
AC005479.2	0.951319877
AC005480.1	0.027295649
AC005480.2	0.738677666
AC005481.1	0.037465174
AC005482.1	0
AC005486.1	0.399628525
AC005487.1	0
AC005495.1	0.031580401
AC005498.1	0
AC005498.2	0.019529358
AC005498.3	0.042210152
AC005514.1	0
AC005515.1	1.29311705
AC005515.2	0.074671074
AC005518.1	0
AC005518.2	0
AC005519.1	1.720712144
AC005520.1	0.070083704
AC005520.2	2.917055894
AC005520.3	0
AC005520.4	0.239777115
AC005520.5	0
AC005521.1	0.074242914
AC005522.1	0.047637837
AC005523.1	0
AC005523.2	0
AC005529.1	0.149342148
AC005531.1	0.031735206
AC005532.1	0.052336153
AC005532.2	0
AC005534.1	0.610753029
AC005534.2	0.797411192
AC005537.1	2.325095346
AC005538.1	0
AC005538.2	0
AC005539.1	0
AC005540.1	0.023481981
AC005544.1	0.140738742
AC005544.2	0
AC005546.1	0.275958317
AC005549.1	0
AC005550.1	0
AC005550.2	0.005765413
AC005552.1	0
AC005559.1	0
AC005562.1	0.464776715
AC005562.2	0
AC005578.1	0.042313609
AC005580.1	0
AC005586.1	1.122007299
AC005586.2	0.180477399
AC005587.1	0.218715612
AC005588.1	0
AC005592.1	0
AC005593.1	0.335222375
AC005597.1	0
AC005606.1	0
AC005606.2	0
AC005609.1	0
AC005609.2	0
AC005609.3	0
AC005609.4	0
AC005609.5	0
AC005614.1	0.011814914
AC005614.2	0
AC005616.1	0
AC005618.1	0.150812798
AC005618.2	0
AC005618.3	0
AC005625.1	0.274321276
AC005632.1	0
AC005632.2	0.286690029
AC005632.3	0.070064741
AC005632.4	0
AC005670.1	0.163898281
AC005670.2	0
AC005674.1	0.799257051
AC005674.2	0.854590231
AC005682.1	1.4857355
AC005691.1	0
AC005692.1	0
AC005692.2	0
AC005695.1	0
AC005695.2	0
AC005695.3	0
AC005696.1	2.386946001
AC005696.2	0
AC005696.3	2.848837013
AC005696.4	1.693754456
AC005697.1	0
AC005697.2	0.019046726
AC005699.1	0.09633902
AC005702.1	0
AC005702.2	0.014913573
AC005702.3	0
AC005702.4	0
AC005703.1	0
AC005703.2	0
AC005703.3	0
AC005703.4	0
AC005703.5	0
AC005703.6	0.032475456
AC005722.1	0
AC005722.2	0.262545269
AC005722.3	0
AC005725.1	0.008277691
AC005726.1	1.381438072
AC005726.2	0.071220925
AC005726.3	4.900248469
AC005726.4	0
AC005726.5	0.119556456
AC005730.1	0
AC005730.2	0.018226301
AC005730.3	0.235846343
AC005736.1	0.077402943
AC005736.2	0.05576212
AC005736.3	0
AC005740.1	0.082681764
AC005740.2	0
AC005740.3	0.12546477
AC005740.4	0.157847004
AC005741.1	0
AC005746.1	0.162377279
AC005746.2	0
AC005746.3	0
AC005753.1	0.034918997
AC005757.1	0.045720213
AC005758.1	0
AC005759.1	0.160247082
AC005771.1	0
AC005772.1	0
AC005774.1	0
AC005775.1	0.076164495
AC005776.1	0.29765435
AC005776.2	0.243978975
AC005777.1	0
AC005779.1	0.079925705
AC005779.2	0.156945021
AC005785.1	0.542039319
AC005785.2	0.170997943
AC005786.1	0.280258966
AC005786.2	0
AC005786.3	0
AC005786.4	0.031642141
AC005789.1	0
AC005790.1	0.047955423
AC005796.1	0.049838199
AC005798.1	0
AC005808.1	0.226561054
AC005821.1	0.110893835
AC005822.1	0.271314531
AC005823.1	0
AC005823.2	0
AC005828.1	0.082366185
AC005828.2	0.076796941
AC005828.3	0.073028563
AC005828.4	0.273658664
AC005828.5	0.425519951
AC005828.6	0.093016984
AC005828.7	0.038812842
AC005829.1	0.128070863
AC005829.2	0
AC005831.1	2.657753411
AC005832.1	0.452726022
AC005832.2	0
AC005832.3	0
AC005832.4	0.026381345
AC005833.1	0.017277775
AC005833.2	0.018195565
AC005833.3	0.048062228
AC005837.1	0.201094377
AC005837.2	0
AC005837.3	0.603634696
AC005838.1	0
AC005838.2	0.272302087
AC005839.1	0.792540605
AC005840.1	3.033784721
AC005840.2	3.56673446
AC005840.3	0.034610971
AC005840.4	0.756558845
AC005841.1	0.526340009
AC005842.1	0.132799633
AC005845.1	0
AC005856.1	0.226363011
AC005858.1	0
AC005858.2	0
AC005858.3	0
AC005863.1	0.107971683
AC005865.1	0.158042173
AC005865.2	0.018740721
AC005868.1	0
AC005871.1	0.045431453
AC005871.2	0
AC005884.1	0
AC005884.2	0.08736818
AC005899.1	0.114990801
AC005899.2	0.239777115
AC005899.3	0
AC005899.4	0
AC005899.5	0
AC005899.6	1.671173834
AC005899.7	0.146802315
AC005899.8	0.031284344
AC005901.1	0.195470474
AC005906.1	0
AC005906.2	0.029765435
AC005908.1	0.12438006
AC005908.2	0
AC005909.1	0
AC005911.1	0.520568737
AC005912.1	39.09777433
AC005912.2	0.053949851
AC005915.1	0
AC005920.1	0
AC005920.2	0.06499982
AC005920.3	0.017558943
AC005920.4	0.131585002
AC005921.1	0.075454337
AC005921.2	0
AC005921.3	0.070227607
AC005943.1	0
AC005943.2	0
AC005944.1	0
AC005951.1	0
AC005954.1	0
AC005954.2	0
AC005962.1	0.463372953
AC005972.1	0.047324431
AC005972.2	0
AC005972.3	0
AC005993.1	2.554804024
AC005996.1	0.038262306
AC005999.1	0
AC006001.1	0
AC006001.2	0.506139326
AC006001.3	0.868542492
AC006001.4	8.304179587
AC006003.1	0
AC006004.1	0
AC006006.1	0
AC006007.1	0
AC006011.1	0
AC006011.2	0
AC006012.1	0.031230015
AC006013.1	0
AC006015.1	0
AC006017.1	0.737501677
AC006019.1	0
AC006019.2	0
AC006019.3	0
AC006020.1	0.011639666
AC006022.1	0
AC006023.1	0.249960699
AC006023.2	0.904548399
AC006026.1	0.04787563
AC006026.2	0
AC006026.3	0.150908674
