	48a39e37-0380-4465-8311-6c5c6aff522a
	tumor
AL022323.2	0
AL022323.3	0.002640454
AL022323.4	0
AL022323.5	0
AL022324.1	0.021458169
AL022324.2	0.036478887
AL022324.3	0
AL022326.1	0.008001556
AL022326.2	0.070082592
AL022328.1	0.56549907
AL022328.2	0.955860846
AL022328.3	0.607623294
AL022328.4	0.469014267
AL022329.1	0.015150976
AL022329.2	0
AL022329.3	0
AL022331.1	0.089476516
AL022332.1	0.023991174
AL022334.1	0.206065557
AL022334.2	0.029394145
AL022337.1	0
AL022341.1	0.036572663
AL022341.2	0
AL022342.1	0.016485245
AL022344.1	0
AL022344.2	0.191061941
AL022345.1	0.077741891
AL022345.2	0
AL022345.3	0.062398097
AL022393.1	0.067867697
AL022394.1	0
AL022396.1	0
AL022400.1	0
AL022401.1	0
AL022476.1	0.109279048
AL022578.1	0
AL022718.1	0
AL022721.1	0.056343628
AL022722.1	0.097778461
AL022722.2	0
AL022724.1	0
AL022725.1	0
AL023280.1	0
AL023284.1	0
AL023284.2	0.049142543
AL023284.3	0
AL023284.4	0.836868593
AL023495.1	0.007398214
AL023581.1	0.031267618
AL023581.2	0.103092508
AL023583.1	0.012446864
AL023584.1	0
AL023584.2	0.032042266
AL023653.1	0.218201934
AL023693.1	0
AL023754.1	0.332712023
AL023755.1	0.054211956
AL023773.1	0
AL023773.2	0
AL023775.1	0.008148205
AL023802.1	0.00376868
AL023803.1	0.076078963
AL023803.2	0.133794038
AL023803.3	0
AL023806.1	0.051765068
AL023806.2	0
AL023806.3	0.048040214
AL023807.1	0.237773249
AL023881.1	0.189060014
AL023973.1	0
AL024474.1	0
AL024474.2	0.028396739
AL024493.1	0
AL024497.1	0
AL024497.2	0.044879388
AL024498.1	0.087043436
AL024498.2	0
AL024507.1	0
AL024507.2	0.596927248
AL024508.1	0.197202698
AL024508.2	0.067603429
AL024509.1	0
AL024509.2	0
AL030996.1	0
AL031003.1	0
AL031005.1	0.078709633
AL031008.1	0.052594329
AL031009.1	0.097800867
AL031055.1	0.496020371
AL031056.1	0
AL031058.1	1.329754037
AL031073.1	0
AL031118.1	0.380343323
AL031119.1	0
AL031121.1	0
AL031123.1	0.375706851
AL031123.2	0.068459626
AL031123.3	0.147146737
AL031133.1	0
AL031183.1	0
AL031186.1	0.406479031
AL031229.1	0.063512349
AL031258.1	0
AL031274.1	0.24528907
AL031275.1	0.034035326
AL031280.1	0.025587709
AL031281.1	0
AL031281.2	0.076078963
AL031282.1	0.474397419
AL031282.2	0.456578632
AL031283.1	0.060445897
AL031283.2	0
AL031283.3	0.469659403
AL031284.1	0
AL031289.1	0.030205448
AL031313.1	0
AL031316.1	0.536859098
AL031320.1	0.039850885
AL031320.2	0.061587732
AL031386.1	0
AL031428.1	0
AL031429.1	0
AL031429.2	0.043842114
AL031432.1	0
AL031432.2	0.371941597
AL031432.3	0.146667692
AL031575.1	0
AL031577.1	0.106968166
AL031577.2	0
AL031584.1	0
AL031584.2	0.018548587
AL031587.1	0
AL031587.2	0.034364169
AL031587.3	0
AL031587.4	0
AL031587.5	6.586323294
AL031593.1	0
AL031594.1	0.034378009
AL031595.1	0.018127118
AL031595.2	0.004475937
AL031595.3	0.046883888
AL031597.1	0
AL031598.1	0
AL031599.1	0.070429535
AL031600.1	0.773736401
AL031600.2	0.092682515
AL031600.3	0
AL031601.1	0
AL031601.2	0
AL031602.1	1.479583673
AL031651.1	0.019786879
AL031651.2	0.440537383
AL031656.1	0
AL031658.1	0.042404668
AL031658.2	0
AL031659.1	0.026394742
AL031663.1	0
AL031663.2	0
AL031663.3	0.015860386
AL031665.1	0.024871969
AL031665.2	0.340353256
AL031666.1	0.02359331
AL031666.2	0.063145877
AL031666.3	0.014141915
AL031667.1	0
AL031667.2	0.044045715
AL031667.3	0.30408355
AL031668.1	0
AL031670.1	0.531642978
AL031673.1	0.061059082
AL031674.1	0
AL031676.1	0
AL031679.1	0
AL031681.1	0
AL031687.1	0
AL031705.1	0.041720722
AL031708.1	0.010684766
AL031709.1	0.163526047
AL031710.1	0
AL031710.2	0.019704662
AL031713.1	0
AL031714.1	0.431018086
AL031716.1	0.187900684
AL031717.1	0.352521638
AL031719.1	0.021997319
AL031719.2	0.986309414
AL031722.1	0.129334237
AL031726.1	0
AL031727.1	0.343943796
AL031727.2	0
AL031728.1	0.309901319
AL031729.1	0.3704887
AL031733.1	0
AL031733.2	0.011277658
AL031736.1	0.644578399
AL031736.2	0.036154425
AL031737.1	0
AL031767.1	0
AL031768.1	0.040589918
AL031770.1	0.050153112
AL031772.1	0.042513282
AL031773.1	0
AL031775.1	0.400979878
AL031775.2	0.597172897
AL031777.1	0.057021107
AL031777.2	0
AL031779.1	0
AL031846.1	0.155605254
AL031846.2	0.174395117
AL031847.1	0.225821684
AL031848.1	0
AL031848.2	0
AL031864.1	0.033633017
AL031864.2	0
AL031963.1	0
AL031963.2	0
AL031963.3	0.083686859
AL031985.1	0
AL031985.2	0
AL031985.3	1.841520968
AL032819.1	0.075075283
AL032819.2	0.026321491
AL032821.1	0.024486689
AL032822.1	0
AL033379.1	0
AL033380.1	0
AL033381.1	0.008283415
AL033381.2	0.038870946
AL033384.1	0.445275294
AL033384.2	0.187194291
AL033397.1	0.003562035
AL033397.2	1.378461796
AL033504.1	0
AL033519.1	0
AL033519.2	0.108878312
AL033519.3	0
AL033523.1	0
AL033527.1	0
AL033527.2	0.036246538
AL033527.3	0
AL033528.1	0
AL033528.2	0.016757086
AL033529.1	0.008254579
AL033539.1	0.114886402
AL033543.1	0.004229751
AL034345.1	0.115664765
AL034345.2	0.011728579
AL034346.1	0.133689266
AL034347.1	0
AL034349.1	0
AL034351.1	0
AL034369.1	0
AL034370.1	0
AL034372.1	0
AL034374.1	0.025961252
AL034376.1	0.205759014
AL034376.2	0.024828562
AL034379.1	0.168696831
AL034380.1	0
AL034397.1	0.062672978
AL034397.2	0.049801982
AL034397.3	0.525175387
AL034399.1	0.037438858
AL034399.2	0.163369563
AL034403.1	0
AL034405.1	0.054094168
AL034417.1	0.053350373
AL034417.2	0.083523089
AL034418.1	0.016542751
AL034428.1	0.066949487
AL034546.1	0
AL034548.1	0
AL034550.1	0.288575377
AL034550.2	0.016066365
AL034555.1	0
AL035045.1	0.022510706
AL035071.1	2.102971055
AL035071.2	0.092985399
AL035078.1	0
AL035078.2	0
AL035078.3	0
AL035079.1	0
AL035090.1	0
AL035246.1	0
AL035250.1	0.023991174
AL035250.2	0
AL035252.1	0
AL035252.2	0.02105174
AL035252.3	0.076652835
AL035252.4	0.14819548
AL035258.1	0.032407212
AL035398.1	0
AL035401.1	0
AL035404.1	0
AL035404.2	0.046798573
AL035405.1	0.020037699
AL035407.1	0
AL035407.2	0
AL035409.1	0.801507949
AL035410.1	0
AL035410.2	0
AL035411.1	0.247422019
AL035411.2	0
AL035413.1	0.448970922
AL035413.2	2.926649024
AL035414.1	0
AL035415.1	0
AL035416.1	0.129840108
AL035417.1	0
AL035417.2	0
AL035419.1	0
AL035420.1	0
AL035420.2	0.023095399
AL035420.3	0.132960431
AL035423.1	0
AL035425.1	0
AL035425.2	0
AL035425.3	0.002847631
AL035425.4	0
AL035427.1	0
AL035443.1	0
AL035446.1	0.690924622
AL035448.1	0.038849716
AL035454.1	0.065712545
AL035456.1	0.176665466
AL035458.1	1.337559205
AL035458.2	0.327394199
AL035460.1	0.007624205
AL035461.1	0
AL035461.2	0.678757924
AL035467.1	0
AL035530.1	0.085962333
AL035530.2	0.218761139
AL035541.1	0
AL035551.1	0
AL035555.1	0
AL035563.1	0.175639087
AL035587.1	2.444330281
AL035588.1	0
AL035604.1	0
AL035633.1	0
AL035634.1	0.038243995
AL035658.1	0.079701771
AL035660.1	0
AL035660.2	0
AL035661.1	4.576442238
AL035665.1	0.042620629
AL035666.1	0
AL035681.1	1.041399278
AL035690.1	0
AL035691.1	0.071731594
AL035696.1	0
AL035696.2	0
AL035696.3	0.006939886
AL035698.1	0
AL035701.1	0.03850275
AL035706.1	0
AL049536.1	0.177153218
AL049539.1	0.092985399
AL049541.1	0
AL049541.2	0
AL049542.1	0
AL049543.1	0.004950162
AL049544.1	0
AL049545.1	0
AL049548.1	0
AL049552.1	0.147938642
AL049555.1	9.788721622
AL049564.1	0
AL049569.1	0.223691291
AL049594.1	0
AL049597.1	0.051267626
AL049597.2	0.740206352
AL049610.1	0.038243995
AL049612.1	0.040999326
AL049629.1	0.087819544
AL049634.1	0.016542751
AL049634.2	0.011088672
AL049634.3	0
AL049636.1	0
AL049637.1	0.028283829
AL049641.1	0
AL049646.1	0
AL049646.2	0
AL049647.1	0.063618853
AL049648.1	0
AL049649.1	0.436830222
AL049650.1	0.172864716
AL049651.1	0
AL049651.2	0
AL049693.1	0
AL049697.1	0.032241963
AL049697.2	0.096780722
AL049697.3	0.028975084
AL049712.1	0.032630197
AL049714.1	0
AL049732.1	0
AL049733.1	0
AL049734.1	0
AL049734.2	0
AL049737.1	0
AL049745.1	0
AL049747.1	0.016698082
AL049748.1	0
AL049749.1	0
AL049757.1	0.008914014
AL049758.1	0
AL049765.1	0
AL049775.1	0.360318422
AL049775.2	0.407935945
AL049775.3	0.044251216
AL049776.1	0.238869159
AL049777.1	0
AL049779.1	0.035389965
AL049779.2	0.023476512
AL049779.3	0
AL049780.1	0.058187182
AL049780.2	0.155060121
AL049780.3	0.035948872
AL049781.1	0
AL049792.1	0
AL049794.1	0.110285008
AL049794.2	0.077954883
AL049795.1	0.094355855
AL049795.2	0
AL049796.1	0.128894823
AL049812.1	0
AL049812.2	0
AL049812.3	0
AL049820.1	0
AL049829.1	0
AL049829.2	0
AL049830.1	0
AL049830.2	0
AL049830.3	0.018540529
AL049830.4	0
AL049833.1	0
AL049833.2	0
AL049833.3	0.003805983
AL049835.1	0
AL049836.1	0.211157938
AL049836.2	0
AL049838.1	0.797627049
AL049839.1	0
AL049839.2	0.13915976
AL049840.1	1.489554569
AL049840.2	1.17005179
AL049840.3	0.931375849
AL049840.4	3.771584104
AL049840.5	0.541235666
AL049840.6	0.029951086
AL049844.1	0
AL049844.2	0.29450312
AL049844.3	0
AL049861.1	0
AL049869.1	0.010147479
AL049869.2	0.065864658
AL049869.3	0.152975979
AL049869.4	0
AL049870.1	0
AL049870.2	0.30793866
AL049870.3	2.173533708
AL049870.4	0
AL049871.1	0.113167458
AL049872.1	1.192927591
AL049873.1	0.302697151
AL049873.2	0.399949247
AL049874.1	0
AL049874.2	0
AL049874.3	0.065561134
AL049874.4	0
AL049875.1	0.082371681
AL050303.1	0
AL050303.2	0
AL050303.3	0
AL050303.4	0
AL050305.1	0
AL050320.1	0
AL050321.1	0
AL050327.1	0
AL050331.1	0.091343602
AL050331.2	0
AL050335.1	0
AL050338.1	0
AL050341.1	0
AL050341.2	1.246342259
AL050343.1	0.195530045
AL050343.2	0.050809879
AL050344.1	0.098911468
AL050349.1	0
AL050402.1	0
AL050403.1	0
AL050403.2	0.022246702
AL050404.1	0
AL078459.1	0.031240154
AL078581.1	1.004242312
AL078581.2	0
AL078581.3	0.191219974
AL078587.1	0.13124323
AL078590.1	0
AL078590.2	0.575316942
AL078590.3	0.547183311
AL078595.1	0
AL078595.2	0
AL078595.3	0
AL078596.1	0.159136086
AL078599.1	0
AL078599.2	0.030205448
AL078601.1	0
AL078601.2	0.090042823
AL078601.3	0
AL078603.1	0
AL078604.1	0.061059082
AL078604.2	0.063956491
AL078604.3	0
AL078605.1	0
AL078612.1	0
AL078612.2	0.066068573
AL078621.1	0.018524435
AL078621.2	0
AL078621.3	0.209012234
AL078623.1	0
AL078624.1	0
AL078624.2	0
AL078639.1	0
AL078644.1	0
AL078644.2	0.58647573
AL078645.1	0
AL078645.2	0.010737182
AL079301.1	0.0609843
AL079303.1	0.190561352
AL079304.1	0
AL079305.1	0.033107501
AL079307.1	0.19263926
AL079307.2	0.031756174
AL079307.3	0
AL079341.1	0
AL079342.1	0
AL079342.2	0
AL079342.3	0.006902846
AL079343.1	0
AL079352.1	0
AL080243.1	0.10737182
AL080243.2	0.537781536
AL080248.1	0
AL080250.1	0.103024639
AL080251.1	0.006512596
AL080273.1	0
AL080274.1	0
AL080276.1	0
AL080276.2	0.042916338
AL080284.1	0
AL080285.1	0
AL080285.2	0
AL080312.1	0
AL080312.2	0
AL080313.1	0.035127817
AL080313.2	0.029093591
AL080315.1	0
AL080316.1	0
AL080317.1	1.890091006
AL080317.2	0.164352532
AL080317.3	0.313219647
AL096677.1	0.087387998
AL096678.1	0.210990175
AL096700.1	0
AL096701.1	0.093392338
AL096701.2	0
AL096701.3	0.054162815
AL096711.1	0
AL096711.2	0.021668792
AL096712.1	0
AL096772.1	0
AL096799.1	0.037340593
AL096800.1	0
AL096803.1	0.027868298
AL096803.2	0
AL096803.3	0
AL096814.1	0
AL096816.1	0.082827063
AL096817.1	0.016030159
AL096828.1	0.026248646
AL096828.2	0
AL096828.3	0.30793866
AL096829.1	0
AL096829.2	0.134214774
AL096840.1	0
AL096855.1	0.121596291
AL096855.2	0.038554922
AL096861.1	0
AL096865.1	0.736661027
AL096869.1	0.025450387
AL096869.2	0.020678439
AL096869.3	0
AL096870.1	0
AL096870.2	0.294346885
AL109610.1	0.033008738
AL109613.1	0.021842527
AL109614.1	0.271632765
AL109615.1	0.031267618
AL109615.2	0.044237457
AL109615.3	0.377975928
AL109618.1	0.050719309
AL109618.2	0
AL109618.3	0
AL109620.1	0
AL109628.1	0
AL109653.1	0
AL109653.2	0
AL109659.1	0
AL109659.2	0.059490659
AL109659.3	0.014975543
AL109741.1	0.423625789
AL109741.2	0.082954904
AL109741.3	0.096126798
AL109755.1	0
AL109761.1	0.75207574
AL109763.1	0
AL109766.1	0.128865635
AL109767.1	0
AL109797.1	0.085190216
AL109804.1	0.126572652
AL109806.1	0.045598609
AL109807.1	0
AL109809.1	0.191024353
AL109809.2	0.057715075
AL109809.3	0
AL109809.4	0.013022212
AL109810.1	0
AL109810.2	0
AL109811.1	0.037131753
AL109811.2	0.504307007
AL109811.3	0.52328335
AL109811.4	0
AL109827.1	0
AL109837.1	0
AL109838.1	0
AL109910.1	0
AL109910.2	0
AL109913.1	0
AL109914.1	0.097443603
AL109917.1	0.188433988
AL109918.1	1.263977244
AL109918.2	0
AL109918.3	0
AL109923.1	0.048805373
AL109924.1	0.01556539
AL109924.2	0.335105839
AL109924.3	0
AL109924.4	0.021233979
AL109930.1	0
AL109933.1	0
AL109933.2	0
AL109933.3	0
AL109933.4	0
AL109935.1	0
AL109935.2	0
AL109936.1	0
AL109936.2	0.043774665
AL109941.1	0
AL109945.1	0.062125616
AL109947.1	0.074485686
AL109954.1	0
AL109954.2	0.026842955
AL109954.3	0
AL109955.1	0.092381598
AL109976.1	0.275615405
AL109983.1	0
AL110115.1	0
AL110115.2	0.17509866
AL110118.1	0
AL110118.2	0.030927752
AL110292.1	0
AL110503.1	0
AL110504.1	0
AL110505.1	0
AL117187.1	0.078600918
AL117190.1	0.14117675
AL117190.2	0
AL117190.3	0
AL117192.1	0
AL117209.1	0.068728339
AL117328.1	0.439097719
AL117328.2	0.007333385
AL117329.1	0.337541902
AL117329.2	0
AL117332.1	0.686507193
AL117335.1	0.221324924
AL117336.1	0.037438858
AL117336.2	0.254807751
AL117336.3	0.130982974
AL117337.1	0
AL117338.1	0
AL117339.1	0.037340593
AL117339.2	0.079037589
AL117339.3	0
AL117339.4	0.052370936
AL117341.1	0
AL117342.1	0
AL117344.1	0.046190799
AL117348.1	0
AL117348.2	0.008754933
AL117350.1	0
AL117351.1	0
AL117351.2	0
AL117372.1	0
AL117378.1	0
AL117378.2	0
AL117379.1	0.336230809
AL117381.1	0.152157926
AL117382.1	0.188433988
AL117382.2	0
AL117692.1	0.019953389
AL118496.1	0
AL118496.2	0
AL118505.1	0.581736294
AL118506.1	1.19094927
AL118508.1	0.175788759
AL118508.2	0.084557302
AL118508.3	0.061388419
AL118508.4	0.096780722
AL118511.1	0.286685463
AL118511.2	0
AL118516.1	2.335737716
AL118520.1	0
AL118522.1	0.076214818
AL118523.1	0.029639096
AL118556.1	0.056680343
AL118556.2	0
AL118557.1	0
AL118558.1	0.195044374
AL118558.2	0
AL118558.3	0.922959802
AL118558.4	0.461052605
AL121574.1	0.033954096
AL121576.1	0
AL121578.1	0.015949289
AL121578.2	0
AL121578.3	0
AL121579.1	0
AL121579.2	0
AL121580.1	0.064962402
AL121583.1	0.271184691
AL121584.1	0
AL121590.1	0
AL121594.1	0.025819902
AL121601.1	0
AL121601.2	0
AL121603.1	0
AL121603.2	1.579258399
AL121612.1	0
AL121652.1	0
AL121655.1	0.138572397
AL121656.1	0
AL121657.1	0
AL121658.1	0.099907065
AL121672.1	0.012046373
AL121672.2	0.098455129
AL121672.3	0.091197219
AL121694.1	0
AL121718.1	0.036761669
AL121721.1	0.025047123
AL121723.1	0.018731753
AL121748.1	0.025773127
AL121748.2	0
AL121749.1	0.026431521
AL121753.1	0.430299163
AL121753.2	0.788752945
AL121757.1	0.050706396
AL121757.2	0
AL121758.1	0.010483984
AL121759.1	0.064084532
AL121760.1	0.699002958
AL121761.1	0.783843862
AL121761.2	0.051796478
AL121768.1	0.005592282
AL121769.1	0.106434659
AL121772.1	0.115763835
AL121772.2	0
AL121772.3	0.253295539
AL121776.1	0
AL121781.1	0
AL121782.1	0.068894751
AL121785.1	0
AL121787.1	0.06086317
AL121790.1	0
AL121790.2	0.106968166
AL121796.1	0
AL121809.1	0
AL121809.2	0
AL121820.1	0.339467304
AL121820.2	0.662895911
AL121821.1	0.456330233
AL121821.2	0
AL121823.1	0
AL121827.1	0
AL121827.2	0.251455017
AL121829.1	0
AL121829.2	0
AL121830.1	0.00577385
AL121832.1	0.010264622
AL121832.2	0.745414391
AL121832.3	0.103816942
AL121834.1	0
AL121835.1	0
AL121835.2	0.012187407
AL121839.1	0
AL121839.2	0.129092073
AL121845.1	0
AL121845.2	0
AL121845.3	0.067660587
AL121845.4	0.0464927
AL121852.1	0.033085503
AL121871.1	0.065260395
AL121872.1	0
AL121873.1	0
AL121877.1	0
AL121878.1	0
AL121882.1	0
AL121885.1	0
AL121885.2	0.052112696
AL121885.3	0
AL121890.1	0
AL121890.2	0.061190392
AL121890.3	0.055142504
AL121890.4	0.210247775
AL121890.5	0
AL121892.1	0
AL121894.1	0
AL121894.2	0.057950167
AL121895.1	0
AL121895.2	0.095481652
AL121899.1	0.026056348
AL121900.1	0
AL121901.1	0
AL121902.1	0
AL121904.1	0
AL121906.1	0.032333559
AL121906.2	0.078709633
AL121908.1	0
AL121910.1	0
AL121912.1	0
AL121916.1	0
AL121917.1	0.130949852
AL121917.2	0.036478887
AL121928.1	0
AL121929.1	0
AL121929.2	0.606028444
AL121932.1	0
AL121944.1	0.373297069
AL121949.1	0.014697072
AL121949.2	0
AL121949.3	0
AL121950.1	0.006849671
AL121952.1	0
AL121955.1	0
AL121956.1	0.018380835
AL121956.4	0
AL121956.5	0
AL121957.1	0.023554248
AL121970.1	0.015314065
AL121972.1	0.017694983
AL121974.1	0
AL121977.1	0
AL121978.1	0
AL121983.1	0.127403875
AL121983.2	0.245712713
AL121985.1	0.082854255
AL121985.2	0
AL121985.3	0.081606689
AL121987.1	0
AL121987.2	0.162282503
AL121988.1	0
AL121989.1	0.019070732
AL121990.1	0.048144724
AL121992.1	0.040004966
AL121992.2	0.055573305
AL121992.3	0
AL121994.1	0
AL121999.1	0
AL122001.1	0
AL122003.1	0
AL122008.1	0.094425439
AL122008.2	0.024959239
AL122008.3	0.239452244
AL122008.4	0
AL122010.1	1.205323238
AL122013.1	0
AL122016.1	0.03876503
AL122017.1	0.162901902
AL122018.1	0.049270186
AL122019.1	0.106169896
AL122020.1	0.278956198
AL122023.1	0.241586594
AL122034.1	0
AL122035.1	1.758945625
AL122035.2	0.562984326
AL122058.1	0.022005825
AL122125.1	0.284535322
AL122126.1	0.010794208
AL122127.1	0
AL132639.1	0
AL132639.2	0.177965433
AL132639.3	0.214743639
AL132640.1	0.022983467
AL132640.2	0.016757086
AL132640.3	0
AL132642.1	0.051453042
AL132642.2	0
AL132655.1	0.012338912
AL132655.2	0.047901569
AL132655.3	0
AL132656.1	0
AL132656.2	0.139402172
AL132656.3	0.017839205
AL132656.4	0.382151587
AL132657.1	0.179832717
AL132657.2	0.03973957
AL132671.1	0
AL132708.1	0
AL132709.1	0
AL132711.1	0.019704662
AL132712.1	1.320009225
AL132712.2	1.680326703
AL132719.1	0
AL132765.1	0.077179563
AL132765.2	0
AL132777.1	0
AL132780.1	0.244545019
AL132780.2	0.496282538
AL132780.3	0
AL132780.4	0.350968679
AL132780.5	0.043774665
AL132796.1	0
AL132796.2	0
AL132796.3	0
AL132800.1	0.366879355
AL132801.1	0
AL132819.1	0
AL132821.1	0.180542717
AL132822.1	0.166394925
AL132838.1	0.052497292
AL132838.2	0.045308172
AL132855.1	0
AL132857.1	0.012747998
AL132875.1	0
AL132875.2	0
AL132989.1	0.938571374
AL132989.2	0.063173917
AL132994.1	0.142267661
AL132994.2	0
AL132996.1	0.009941835
AL133153.1	0
AL133153.2	0
AL133163.1	0.029982647
AL133163.2	0
AL133163.3	0.02822771
AL133166.1	0
AL133167.1	0
AL133173.1	0
AL133173.2	0
AL133215.1	0.041598731
AL133215.2	0.218425273
AL133215.3	0.095268523
AL133216.1	0
AL133216.2	0.621009631
AL133217.1	0
AL133227.1	0.071852354
AL133230.1	0.316357127
AL133232.1	0
AL133240.1	0
AL133241.1	0
AL133243.1	0
AL133243.2	0.631910647
AL133243.3	0.331515854
AL133243.4	0.054911931
AL133244.1	0
AL133245.1	0.010422539
AL133247.1	0.044045715
AL133247.2	0
AL133255.1	0
AL133260.1	0.316150357
AL133260.2	0
AL133264.1	0
AL133264.2	0
AL133268.1	0.030464167
AL133268.2	0
AL133268.3	0
AL133270.1	0
AL133271.1	0
AL133279.1	0
AL133279.2	0.033240108
AL133279.3	0.006048795
AL133284.1	0
AL133297.1	0.176073838
AL133297.2	0.205334768
AL133299.1	0
AL133304.1	0
AL133304.2	0
AL133304.3	0
AL133319.1	0
AL133320.1	0.01209759
AL133325.1	0
AL133325.2	0
AL133325.3	0.003872283
AL133329.1	0.148815545
AL133330.1	0.565837288
AL133330.2	0
AL133338.1	0.562693451
AL133338.2	0.502575976
AL133342.1	0.272096619
AL133343.1	0
AL133343.2	0.060668512
AL133346.1	0.057481883
AL133351.1	0.052789485
AL133351.2	0
AL133351.3	0
AL133351.4	0
AL133352.1	0.033255648
AL133353.1	0.187812094
AL133355.1	0.947259551
AL133367.1	0.161070943
AL133368.1	0
AL133368.2	0
AL133370.1	0
AL133370.2	0
AL133371.1	0.018621422
AL133371.2	0.677465052
AL133371.3	0.097610745
AL133372.1	0
AL133372.2	0.040097988
AL133372.3	0
AL133373.1	0
AL133373.2	0
AL133375.1	0
AL133380.1	0
AL133383.1	0
AL133383.2	0
AL133384.1	0
AL133384.2	0
AL133387.1	0
AL133387.2	0
AL133387.3	0
AL133393.1	0
AL133396.1	0
AL133396.2	0.035835683
AL133399.1	0
AL133406.1	0.057135607
AL133406.2	0.201882323
AL133406.3	0.289268811
AL133410.1	0.07472041
AL133410.2	0
AL133412.1	0
AL133415.1	0.261965948
AL133417.1	0
AL133419.1	0
AL133445.1	0
AL133445.2	0.080987283
AL133453.1	0
AL133456.1	0.049312881
AL133457.1	0
AL133464.1	0
AL133465.1	0
AL133466.1	0
AL133467.1	0.487119886
AL133467.2	0
AL133467.3	0
AL133467.4	0
AL133477.1	0.055357066
AL133480.1	0
AL133481.1	0.02784103
AL133481.2	0
AL133481.3	0
AL133485.1	0
AL133492.1	0
AL133499.1	0
AL133517.1	0.304315852
AL133520.1	0.508098789
AL133523.1	0.257886999
AL133547.1	0
AL133551.1	0.081495387
AL133553.1	0.040302454
AL135744.1	0.09047228
AL135746.1	0
AL135785.1	0
AL135786.1	0.199440646
AL135786.2	0
AL135787.1	0.188433988
AL135790.1	0
AL135790.2	0
AL135791.1	0.051671063
AL135818.1	0.311860217
AL135818.2	0.423776011
AL135838.1	0.023476512
AL135901.1	0.042723021
AL135902.1	0.010483984
AL135902.2	0
AL135903.1	0
AL135905.1	1.378091302
AL135908.1	0
AL135923.1	0
AL135923.2	0
AL135924.1	0.033633017
AL135924.2	0
AL135925.1	0.560372327
AL135929.1	0
AL135929.2	0
AL135934.1	0
AL135936.1	0.014255277
AL135937.1	0.039030908
AL135938.1	0
AL135960.1	0.014099867
AL135978.1	0
AL135999.1	0.298310236
AL135999.2	0.02531453
AL135999.3	0.035041296
AL136018.1	1.20183874
AL136038.1	0
AL136038.2	0
AL136038.3	0.025961252
AL136038.4	0.01128213
AL136038.5	0.051360166
AL136040.1	0.201440936
AL136084.1	0
AL136084.2	0
AL136084.3	0.421293757
AL136087.1	0
AL136088.1	0.015651008
AL136090.1	0.116612837
AL136097.1	0
AL136097.2	0
AL136097.3	0
AL136099.1	0
AL136100.1	0
AL136115.1	0.110071691
AL136115.2	0.121181994
AL136116.1	0
AL136116.2	0.018123269
AL136116.3	1.687709509
AL136126.1	0.601629412
AL136131.1	0
AL136131.2	0
AL136131.3	0
AL136139.1	0.064084532
AL136140.1	0.03007773
AL136140.2	0
AL136141.1	0
AL136146.1	0
AL136146.2	0
AL136162.1	0.197960567
AL136164.1	0
AL136164.2	0
AL136164.3	0.07152723
AL136164.4	0.39315185
AL136172.1	0.020411429
AL136181.1	0
AL136221.1	0.055900849
AL136226.1	0
AL136228.1	0
AL136231.1	0
AL136234.1	0.081528745
AL136295.1	0.00519225
AL136295.2	0.190452023
AL136295.3	0.016737372
AL136295.4	0.006539539
AL136295.5	0.106745223
AL136295.6	0.540530626
AL136295.7	0.841750327
AL136298.1	1.992973698
AL136298.2	0
AL136298.3	0.031970261
AL136301.1	0
AL136304.1	0.195652972
AL136307.1	0
AL136309.1	0
AL136309.2	0.012496062
AL136309.3	0
AL136309.4	0
AL136310.1	0.021753465
AL136311.1	0.054963106
AL136313.1	0
AL136317.1	0
AL136317.2	0
AL136317.3	0
AL136320.1	0
AL136322.1	0
AL136359.1	0
AL136360.1	0
AL136360.2	0.024486689
AL136361.1	0
AL136363.1	0
AL136363.2	0
AL136366.1	0.013497881
AL136368.1	0.283825757
AL136369.1	0
AL136369.2	0
AL136372.1	0
AL136376.1	0
AL136379.1	0.005384847
AL136380.1	0.263458631
AL136418.1	0.131323995
AL136439.1	0.016504369
AL136452.1	0
AL136454.1	0.396884032
AL136455.1	0
AL136460.1	0
AL136501.1	0
AL136520.1	0
AL136526.1	0.012915811
AL136528.1	0
AL136528.2	0
AL136529.1	0.023322567
AL136531.1	0.385308248
AL136531.2	0.082773912
AL136531.3	0.031113759
AL136537.1	0
AL136537.2	0
AL136964.1	0
AL136967.1	0
AL136967.2	0
AL136968.1	0.03007773
AL136968.2	0.040188605
AL136972.1	0
AL136979.1	0.011786882
AL136980.1	0
AL136981.1	0.002942454
AL136981.2	0.348885272
AL136982.1	0.003119905
AL136982.2	0
AL136982.3	0
AL136982.4	0
AL136982.5	0.048390361
AL136982.6	0
AL136982.7	0
AL136984.1	0.045092761
AL136985.1	0.036017129
AL136985.2	0.053184172
AL136987.1	0.124796194
AL136988.1	0
AL136988.2	0.247853068
AL137000.1	0.011436307
AL137001.1	0
AL137002.1	0
AL137003.1	0.754140896
AL137003.2	0.812797905
AL137005.1	0.019786879
AL137013.1	0.127438458
AL137014.1	0
AL137022.1	0
AL137024.1	0.039084522
AL137025.1	0
AL137026.1	0.097980483
AL137026.2	0.016916488
AL137027.1	0
AL137028.1	0
AL137028.2	0
AL137058.1	0
AL137058.2	0.288868347
AL137058.3	0.00459076
AL137060.1	0.075217041
AL137067.1	0
AL137067.2	0
AL137071.1	0.117092725
AL137072.1	0
AL137074.1	0
