	48a39e37-0380-4465-8311-6c5c6aff522a
	tumor
AC002525.1	0.008771126
AC002540.1	0
AC002542.1	0
AC002543.1	0.014561685
AC002545.1	0
AC002546.1	0.024360901
AC002550.1	0
AC002550.2	0.577736694
AC002551.1	0
AC002553.1	0.638607954
AC002553.2	0.300868165
AC002558.1	0.106302113
AC002558.2	0
AC002558.3	0
AC002563.1	0.031544936
AC002984.1	0.031756174
AC002985.1	0
AC002996.1	0
AC003001.1	0
AC003001.2	0
AC003002.1	0
AC003002.2	0.109226611
AC003002.3	0.270426132
AC003005.1	0.094373241
AC003005.2	0.107129263
AC003006.1	0.119552656
AC003009.1	0.041477452
AC003035.1	0.026152144
AC003035.2	0
AC003043.1	0
AC003045.1	0
AC003070.1	0.280177013
AC003070.2	0
AC003071.1	0
AC003071.2	0
AC003072.1	1.906200685
AC003080.1	0.018548587
AC003084.1	0.098115628
AC003087.1	0
AC003092.1	5.361779324
AC003092.2	0.606072995
AC003098.1	0
AC003101.1	0
AC003101.2	0.128749014
AC003101.3	0
AC003102.1	0.657599029
AC003659.1	0
AC003666.1	0
AC003669.1	0
AC003681.1	0.074760736
AC003682.1	0.277144794
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0
AC003687.1	0
AC003688.1	0
AC003688.2	0
AC003956.1	0.079925652
AC003957.1	0.005322397
AC003958.1	0
AC003958.2	0.059467672
AC003965.1	0.042658969
AC003965.2	0.10737182
AC003973.1	0
AC003973.2	0
AC003973.3	0.070579279
AC003975.1	0
AC003976.1	0
AC003982.1	0
AC003984.1	0
AC003985.1	0
AC003985.2	0
AC003986.1	0
AC003986.2	0.19955721
AC003986.3	0.082235642
AC003988.1	0
AC003989.1	0
AC003989.2	0
AC003991.1	0.008821889
AC003991.2	0.07409774
AC004000.1	0.032856273
AC004004.1	0
AC004006.1	0
AC004009.1	0
AC004009.2	0
AC004009.3	0
AC004012.1	0.079925652
AC004014.1	0
AC004014.2	0
AC004022.1	0.013345934
AC004022.2	0
AC004023.1	0
