	c6d03bd4-42cd-445a-9222-7ea265bd103f
	tumor
AC002543.1	0.012423533
AC002545.1	0
AC002546.1	0
AC002550.1	0
AC002550.2	0.184839466
AC002551.1	0
AC002553.1	0.30268807
AC002553.2	0.220020392
AC002558.1	0.090693337
AC002558.2	0.036070703
AC002558.3	0
AC002563.1	0.053826127
AC002984.1	0.05418657
AC002985.1	0
AC002996.1	0.030963754
AC003001.1	0.021388179
AC003001.2	0
AC003002.1	0
AC003002.2	0.04659421
AC003002.3	0.020062465
AC003005.1	0
AC003005.2	0
AC003006.1	0
AC003009.1	0
AC003035.1	0.044624234
AC003035.2	0
AC003043.1	0
AC003045.1	0
AC003070.1	0.318716629
AC003070.2	0.062890112
AC003071.1	0.030767533
AC003071.2	0
AC003072.1	0.991649641
AC003080.1	0.031650043
AC003084.1	0
AC003087.1	0
AC003092.1	0
AC003092.2	0
AC003098.1	0
AC003101.1	0
AC003101.2	0
AC003101.3	0
AC003102.1	1.061755131
AC003659.1	0
AC003666.1	0
AC003669.1	0
AC003681.1	0.03398493
AC003682.1	0
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0
AC003687.1	0
AC003688.1	0
AC003688.2	0
AC003956.1	0.06818984
AC003957.1	0
AC003958.1	0
AC003958.2	0
AC003965.1	0.181975886
AC003965.2	0.274817923
AC003973.1	0
AC003973.2	0
AC003973.3	0.025806786
AC003975.1	0
AC003976.1	0
AC003982.1	0
AC003984.1	0
AC003985.1	0
AC003985.2	0.029089974
AC003986.1	0
AC003986.2	0.070939752
AC003986.3	0
AC003988.1	0
AC003989.1	0
AC003989.2	0
AC003991.1	0.00501769
AC003991.2	0
AC004000.1	0.336382215
AC004004.1	0.097102333
AC004006.1	0
AC004009.1	0
AC004009.2	0
AC004009.3	0
AC004012.1	0
AC004014.1	0
AC004014.2	0
AC004022.1	0
AC004022.2	0
AC004023.1	0
AC004024.1	0.196563427
AC004034.1	0.475991828
AC004039.1	0.040708077
AC004052.1	0
AC004053.1	0
AC004054.1	0
AC004057.1	0.292476906
AC004062.1	0
AC004063.1	0
AC004066.1	0
AC004066.2	0
AC004067.1	0.069358809
AC004069.1	0.17687128
AC004069.2	0
AC004074.1	0
AC004076.1	0.023614381
AC004076.2	0.021915964
AC004080.1	0
AC004080.2	0
AC004080.3	0
AC004080.4	0
AC004080.5	0
AC004080.6	0
AC004112.1	0
AC004129.1	0.030496964
AC004129.2	0
AC004130.1	1.950716509
AC004134.1	0.107891481
AC004147.1	0
AC004147.2	0
AC004147.3	0
AC004147.4	0.22687461
AC004147.5	0
AC004148.1	0
AC004148.2	0.563674533
AC004149.1	0
AC004156.1	0.077392933
AC004158.1	0
AC004160.1	0.180136837
AC004160.2	0.129354795
AC004217.1	0
AC004217.2	0
AC004221.1	0.143812697
AC004223.1	0
AC004223.2	0.223121169
AC004223.3	0.036376998
AC004223.4	0.21935768
AC004224.1	0.213693514
AC004224.2	0
AC004231.1	0.059571983
AC004231.3	0
AC004232.1	0
AC004232.2	0
AC004232.3	0.092478412
AC004233.1	0
AC004233.2	0
AC004233.3	0.114778171
AC004233.4	0.116429656
AC004241.1	0.132082067
AC004241.2	0
AC004241.3	0.704320596
AC004241.4	0.021674628
AC004241.5	0.019832993
AC004253.1	0.447705428
AC004253.2	0
AC004257.1	0
AC004263.1	0
AC004264.1	0.091721347
AC004264.2	0.055902322
AC004381.1	0
AC004383.1	1.007982694
AC004386.1	0.127598335
AC004386.2	0
AC004408.1	0
AC004408.2	0
AC004415.1	0
AC004448.1	0
AC004448.2	0.0115791
AC004448.3	0
AC004449.1	0.056063703
AC004453.1	5.47390602
AC004453.2	0
AC004461.1	0.361423075
AC004466.1	0
AC004466.2	0
AC004466.3	0.044460775
AC004467.1	0
AC004470.1	0
AC004471.1	0.291974369
AC004471.2	0.032068142
AC004477.1	0.124150613
AC004477.2	0
AC004477.3	0.370305507
AC004485.1	0
AC004486.1	0.208374105
AC004490.1	0
AC004491.1	0
AC004492.1	0.163582097
AC004494.1	0.073935786
AC004494.2	0
AC004520.1	0.068720689
AC004522.1	0
AC004522.2	0
AC004528.1	0
AC004528.2	0
AC004540.1	0.328048422
AC004540.2	0.137616685
AC004542.1	0
AC004542.2	0
AC004543.1	0
AC004551.1	0
AC004552.1	1.395148461
AC004554.1	0
AC004584.1	0.26530692
AC004584.2	0
AC004584.3	0.020607456
AC004585.1	1.256332354
AC004585.2	0
AC004590.1	0
AC004593.1	0
AC004594.1	0.02808049
AC004596.1	0.13792945
AC004597.1	0
AC004623.1	0.102717559
AC004637.1	0
AC004656.1	2.103458938
AC004672.1	0
AC004672.2	0
AC004674.1	0
AC004674.2	0
AC004678.1	0.052261751
AC004678.2	0.072681387
AC004687.1	0.149388204
AC004690.1	0
AC004690.2	0
AC004691.1	0.044379494
AC004691.2	0.015856031
AC004692.1	0.114507468
AC004692.2	0
AC004696.1	0
AC004696.2	0
AC004702.1	0
AC004704.1	0.083278159
AC004706.1	0
AC004706.2	0
AC004706.3	0.098681233
AC004707.1	0.475326105
AC004754.1	0.075793525
AC004771.1	0.208195396
