	c6d03bd4-42cd-445a-9222-7ea265bd103f
	tumor
AC136624.1	0.044788899
AC136624.2	0
AC136624.3	0
AC136628.1	0
AC136628.2	0
AC136628.3	1.339342522
AC136628.4	0
AC136632.1	3.080657769
AC136632.2	0.958617688
AC136698.1	0.044460775
AC136759.1	0.123122146
AC136777.1	0
AC136777.2	0
AC136896.1	0
AC136932.1	0
AC136944.1	0
AC136944.2	0
AC136944.3	0.027184304
AC136944.4	0
AC136944.5	0
AC137055.1	0.122914345
AC137056.1	0
AC137056.2	0
AC137499.1	0
AC137499.2	0
AC137527.1	0
AC137549.1	0
AC137579.1	0
AC137579.2	0
AC137590.1	0
AC137590.2	0
AC137627.1	0
AC137630.1	0.124171781
AC137630.2	0.036781187
AC137630.3	0.062085891
AC137630.4	0
AC137675.1	0
AC137695.1	0
AC137695.2	0
AC137723.1	0.034239186
AC137723.2	0
AC137735.1	0
AC137761.1	0
AC137761.2	0
AC137767.1	0.151317082
AC137768.1	0
AC137770.1	0
AC137800.1	0
AC137800.2	0
AC137803.1	0
AC137810.1	0
AC137834.1	0.023042794
AC137834.2	0.069259867
AC137894.1	0.044379494
AC137932.1	0.093909413
AC137932.2	0.107098161
AC137932.3	0.079592076
AC138024.1	0
AC138028.1	0.010846999
AC138028.2	0.035424032
AC138028.3	0
AC138028.4	0.210519963
AC138028.5	0
AC138028.6	0.032760571
AC138035.1	0.066038039
AC138035.2	0
AC138035.3	0
AC138057.1	0
AC138058.1	0
AC138089.1	0
AC138123.1	0.038049503
AC138123.2	0
AC138150.1	0.069757423
AC138150.2	0.367039477
AC138207.1	0.089084709
AC138207.2	0.986812326
AC138207.3	2.047338344
AC138207.4	0.482296355
AC138207.5	1.246423588
AC138207.6	0.048300006
AC138207.7	0.145362774
AC138207.8	1.571637665
AC138230.1	0.073119227
AC138304.1	0
AC138305.1	1.612400361
AC138305.2	0.087322242
AC138305.3	0.202296527
AC138331.1	0
AC138356.1	0.05818692
AC138356.2	0.473137304
AC138356.3	0
AC138360.1	0
AC138392.1	0.685304195
AC138393.1	0.351658253
AC138393.2	0.098681233
AC138393.3	0.381291883
AC138409.1	0
AC138409.2	0.295548114
AC138430.1	0.008975997
AC138430.2	0
AC138466.1	0
AC138466.2	0
AC138466.3	0
AC138466.4	0
AC138466.5	0
AC138470.1	0.102374626
AC138473.1	0
AC138474.1	0
AC138512.1	0.055934524
AC138517.1	0
AC138623.1	0
AC138625.1	0
AC138625.2	0
AC138627.1	0
AC138627.2	0
AC138645.1	0
AC138646.1	0
AC138647.1	0
AC138649.1	0.014802185
AC138649.2	0.068866903
AC138649.3	0
AC138649.4	0
AC138655.1	0
AC138696.1	0
AC138696.2	2.177182351
AC138701.1	0
AC138701.2	0
AC138749.1	0
AC138749.2	0
AC138749.3	0
AC138749.4	0
AC138749.5	0
AC138761.1	1.593266202
AC138761.2	0
AC138761.3	0
AC138761.4	0
AC138761.5	0
AC138761.6	0
AC138781.1	0
AC138811.1	0.201736149
AC138811.2	0.127097294
AC138819.1	0
AC138832.1	0
AC138853.1	0
AC138866.1	0.097688464
AC138866.2	0
AC138869.1	0
AC138869.2	0
AC138869.3	0
AC138894.1	0.01410551
AC138894.2	0
AC138894.3	0
AC138894.4	0
AC138904.1	0.019569192
AC138904.2	0
AC138907.1	0
AC138907.10	0
AC138907.2	0
AC138907.3	0
AC138907.4	0
AC138907.5	0
AC138907.6	0
AC138907.7	0
AC138907.8	0
AC138907.9	0
AC138915.1	0
AC138915.2	0
AC138915.3	0
AC138932.1	0.063976647
AC138932.2	0.016638508
AC138932.3	0.587106639
AC138932.4	0
AC138932.5	0.129354795
AC138938.1	0
AC138951.1	0.009041186
AC138951.2	0
AC138956.1	0
AC138956.2	0.2758589
AC138965.1	0
AC138965.2	0
AC138965.3	0.097492302
AC138969.1	0.009222078
AC138969.2	0.063548647
AC138969.3	0
AC138969.4	0
AC139085.1	0.266764651
AC139099.1	0.027743524
AC139099.2	0
AC139099.3	0
AC139099.4	0
AC139100.1	0.337160878
AC139100.2	0
AC139103.1	0
AC139143.1	0.080449323
AC139149.1	0
AC139256.1	0.018687901
AC139256.2	0.26325805
AC139272.1	0
AC139365.1	0
AC139365.2	0
AC139426.1	0.047994431
AC139426.2	0
AC139426.3	0
AC139451.1	0
AC139453.1	0.365046364
AC139453.2	0.197362465
AC139491.1	0
AC139491.2	0.020823111
AC139491.3	0
AC139491.4	0
AC139491.5	0
AC139493.1	0
AC139495.1	0.045248058
AC139495.2	0
AC139495.3	0.032827023
AC139497.1	0
AC139530.1	0.785856007
AC139530.2	0
AC139530.3	0
AC139697.1	0
AC139700.1	0
AC139712.1	0
AC139712.2	0
AC139712.3	0
AC139713.1	0
AC139713.2	0.025273902
AC139718.1	0
AC139718.2	0
AC139720.1	0.284479491
AC139720.2	0
AC139722.1	0
AC139749.1	0.035253534
AC139768.1	0.378461208
AC139769.1	0.068639726
AC139769.2	0.010596064
AC139769.3	0
AC139783.1	0
AC139783.2	0
AC139792.1	0.075040443
AC139792.2	0
AC139792.3	0
AC139795.1	0.24404785
AC139795.2	0.901149577
AC139795.3	0.358973504
AC139887.1	0.084879662
AC139887.2	0.83230571
AC139887.3	0
AC139887.4	0.168814904
AC140059.1	0
AC140063.1	0
AC140076.1	0.067245383
AC140113.1	0
AC140113.2	0
AC140113.3	0
AC140113.4	0
AC140118.1	0
AC140125.1	0
AC140125.2	0
AC140125.3	0
AC140134.1	0.020549309
AC140172.1	0
AC140479.1	0
AC140479.2	0.054290442
AC140479.3	0
AC140479.4	0.108051557
AC140481.1	0
AC140481.2	0
AC140504.1	0
AC140658.1	0
AC140658.2	0
AC140658.3	0
AC140658.4	0
AC140658.5	0
AC140658.6	0.120774046
AC140725.1	0
AC140725.2	0
AC140725.3	0
AC140847.1	0
AC140847.2	0.032672387
AC140847.3	0
AC140878.1	0
AC140912.1	0.021275708
AC141002.1	0
AC141257.1	0
AC141257.2	0
AC141273.1	0
AC141273.2	0
AC141273.3	0
AC141424.1	0
AC141557.1	1.335157077
AC141557.2	0.151092842
AC141586.1	0.326498211
AC141586.2	0.084879662
AC141586.3	0
AC141586.4	0.015432666
AC141586.5	0.047366992
AC141846.1	0
AC141928.1	0.080471547
AC141930.1	0
AC141930.2	0
AC142086.1	0
AC142086.2	0
AC142086.3	0
AC142086.4	0
AC142086.5	0
AC142086.6	0
AC142381.1	1.548008205
AC142381.2	0
AC142381.3	0.076304033
AC142381.4	0
AC142384.1	0
AC142391.1	0
AC142472.1	0.25098248
AC143336.1	0
AC144450.1	0.044379494
AC144521.1	0
AC144522.1	0
AC144530.1	4.330239169
AC144548.1	0.076983879
AC144568.1	0
AC144568.2	0
AC144652.1	1.031413326
AC144831.1	0.173658163
AC144833.1	0
AC144836.1	0
AC145098.1	0.223738094
AC145098.2	0.080223342
AC145124.1	0.017836578
AC145138.1	0.068118087
AC145141.1	0
AC145141.2	0
AC145146.1	0
AC145207.1	0
AC145207.2	0
AC145207.3	0
AC145207.4	0
AC145207.5	0.280590261
AC145207.6	0
AC145207.7	0
AC145207.8	2.285268047
AC145207.9	0.746941022
AC145285.1	0.349792265
AC145285.2	0.148398879
AC145285.3	0
AC145285.4	0
AC145285.5	0.076218472
AC145285.6	0.1892833
AC145285.7	0
AC145343.1	1.083064482
AC145350.1	0
AC145350.2	0
AC145350.3	0
AC145350.4	0
AC145422.1	0.178496935
AC145423.1	0
AC145423.2	0.101571478
AC145423.3	0.207927908
AC145543.1	0
AC145625.1	0
AC145676.1	0.012113564
AC146507.1	0.068575094
AC146507.2	0
AC146944.1	0
AC146944.2	0.307842541
AC146944.3	0
AC146944.4	0
AC146949.1	0
AC147055.1	0
AC147055.2	0
AC147055.3	0
AC147055.4	0
AC147067.1	0.880461567
AC147067.2	0.083998558
AC147651.1	0.048468078
AC147651.2	0
AC147651.3	0.115598015
AC147651.4	0.963053233
AC147876.1	0
AC148476.1	0.137733805
AC148477.1	0
AC148477.2	0.007988017
AC148477.3	0.013345565
AC148477.4	0
AC148477.5	0
AC148477.6	0
AC148477.7	0
AC148477.8	0
AC148477.9	0
AC152007.1	0
AC152010.1	0
AC156455.1	0.437517338
AC159540.1	0
AC159540.2	0
AC174048.1	0
AC174065.1	0
AC174071.1	0
AC187653.1	0
AC190387.1	0
AC209005.1	0
AC209007.1	0.126623757
AC209154.1	0
AC209154.2	0
AC211429.1	0
AC211433.1	0.034106896
AC211433.2	0
AC211433.3	0
AC211469.1	0
AC211469.2	0
AC211476.1	0.051870904
AC211476.2	0.102862641
AC211476.3	0
AC211476.4	0
AC211485.1	0.065787488
AC211486.1	0.021635992
AC211486.2	0
AC211486.3	0
AC211486.4	0
AC211486.5	0
AC215217.1	0
AC215219.1	1.870435691
AC215522.1	0.108859118
AC217774.1	0
AC217774.2	0
AC226101.1	0
AC226118.1	0.011312015
AC226119.1	0
AC226119.2	0
AC226150.1	0
AC231532.1	0
AC231532.2	0
AC231533.1	0
AC231533.2	0.02482166
AC231657.1	0.305737824
AC231657.2	0
AC231759.1	0
AC231760.1	0
AC231981.1	0.398777548
AC232271.1	0.232473357
AC232323.1	0
AC233263.1	0
AC233263.2	0
AC233263.6	0
AC233266.1	0
AC233266.2	0
AC233279.1	0
AC233280.1	0.057661718
AC233280.2	0.24956207
AC233289.1	0.047786581
AC233290.1	0
AC233290.2	0
AC233296.1	0
AC233300.1	0.029713076
AC233309.1	0
AC233699.1	0.083135559
AC233701.1	0
AC233702.1	0
AC233702.10	0
AC233702.2	0
AC233702.3	0
AC233702.4	0
AC233702.5	0
AC233702.6	0
AC233702.7	0
AC233702.8	0
AC233702.9	0
AC233723.1	0.691119807
AC233723.2	0.818407601
AC233724.1	0
AC233724.10	0
AC233724.11	0
AC233724.12	0
AC233724.13	0
AC233724.14	0
AC233724.2	0
AC233724.3	0
AC233724.4	0
AC233724.5	0
AC233724.6	0
AC233724.7	0
AC233724.8	0
AC233724.9	0
AC233728.1	0.111355886
AC233728.2	0
AC233964.1	0.13374977
AC233968.1	0.037347051
AC233976.1	0.053826127
AC233981.1	0
AC233981.2	0
AC233982.1	0.055677943
AC233992.1	0
AC233992.2	0
AC233992.3	0.150158247
AC234064.1	0
AC234582.1	0.221322496
AC234582.2	0
AC234644.1	0
AC234771.1	0
AC234771.2	0
AC234771.3	0
AC234771.4	0
AC234771.5	0
AC234772.1	0
AC234772.2	0.388409331
AC234772.3	0.091952967
AC234775.1	0
AC234775.2	0.094826497
AC234775.3	0.33304916
AC234778.1	0.393658106
AC234778.2	0
AC234779.1	0
AC234781.1	0.042316531
AC234781.2	0
AC234781.3	0.074847636
AC234781.4	0
AC234781.5	0
AC234782.1	0
AC234782.2	0.129617912
AC234782.3	0.056063703
AC234782.4	0.069491173
AC234782.5	0
AC234783.1	0
AC234791.1	0
AC234917.1	0
AC235097.1	0
AC235565.1	0
AC236430.1	0.032672387
AC236972.1	0
AC236972.2	0
AC236972.3	0
AC236972.4	0
AC237221.1	0
AC237221.2	0
AC239367.1	0
AC239367.2	0
AC239367.3	0
AC239584.1	0
AC239585.1	0
AC239585.2	0
AC239600.1	0.052544552
AC239600.2	0.041674821
AC239727.1	0
AC239798.1	0
AC239798.2	0.013715019
AC239798.3	0
AC239798.4	0
AC239799.1	0
AC239799.2	0.024251332
AC239800.1	0.033762981
AC239800.2	0.018149969
AC239800.3	0
AC239800.4	0
AC239801.1	0
AC239802.1	0
AC239802.2	0
AC239803.1	0.040358409
AC239803.2	0
AC239803.3	0
AC239803.4	0.123855016
AC239804.1	0
AC239804.2	0
AC239809.1	0
AC239809.2	0
AC239809.3	0.155547329
AC239859.1	0
AC239859.2	0
AC239859.3	0
AC239859.4	0
AC239859.5	0.019704207
AC239859.6	1.367638491
AC239860.1	0.019114632
AC239860.2	0
AC239868.1	1.07247993
AC239868.2	0
AC239868.3	0
AC240442.1	0
AC240504.1	0
AC240565.1	0.022415128
AC240565.2	0.011581862
AC241377.1	0
AC241377.2	0.043897981
AC241377.3	0.066936351
AC241520.1	0
AC241584.1	0.19561308
AC241585.1	6.033815482
AC241585.2	0.19240885
AC241585.3	0.223121169
AC241644.1	0
AC241644.2	0
AC241644.3	0
AC241952.1	0.163722511
AC242376.1	0
AC242376.2	0.522351168
AC242426.1	0.151722395
AC242426.2	0.308644784
AC242426.3	0
AC242498.1	0
AC242842.1	1.031848056
AC242843.1	0.042365765
AC242852.1	0
AC242852.2	0
AC242988.1	0
AC243312.1	0
AC243312.2	0
AC243428.1	0.091952967
AC243547.1	0
AC243547.2	0
AC243547.3	0
AC243562.1	0.124810196
AC243562.2	0.200210996
AC243562.3	0.040058718
AC243571.1	0
AC243571.2	0.044338965
AC243585.1	0
AC243585.2	0
AC243591.1	0
AC243654.1	0.08285182
AC243654.2	0.219192625
AC243654.3	0
AC243732.1	0.08429022
AC243756.1	0.03092431
AC243772.1	0
AC243772.2	0.068517029
AC243772.3	0.035516581
AC243773.1	0
AC243773.2	0
AC243829.1	0.121291279
AC243829.2	0.079592076
AC243829.3	0
AC243829.4	0.213442994
AC243829.5	0
AC243829.6	0
AC243830.1	0
AC243830.2	0.154130687
AC243830.3	0
AC243836.1	0
AC243919.1	0.185545859
AC243960.1	0.910334371
AC243960.2	0.292476906
AC243960.3	0.125261007
AC243960.4	0
AC243960.5	0
AC243960.7	0
AC243961.1	0
AC243962.1	0.167706965
AC243964.1	0
AC243964.2	0.291033085
AC243964.3	1.807501512
AC243965.1	0
AC243965.2	0.154505771
AC243967.1	0
AC243967.2	0.256884478
AC243967.3	0
AC243972.1	0.042588742
AC243972.2	0
AC243972.3	0
AC243994.1	0
AC244015.1	0
AC244015.2	0
AC244021.1	0.013258101
AC244021.2	0
AC244023.1	0
AC244033.1	0.027902969
AC244034.1	0.153254945
AC244034.2	0.095385396
AC244034.3	0
AC244035.1	0
AC244035.2	0
AC244090.1	5.155516837
AC244090.2	0
AC244090.3	0.398462856
AC244093.1	0.059645168
AC244093.2	0.231637244
AC244093.3	0
AC244093.4	0
AC244093.5	0
AC244097.1	0
AC244098.1	0
AC244098.2	0
AC244098.3	0
AC244100.1	0.059645168
AC244100.2	0
AC244100.3	0
AC244100.4	0
AC244102.1	0
AC244102.2	0
AC244107.1	0.073119227
AC244107.2	0
AC244131.1	0
AC244131.2	0
AC244153.1	3.07335108
AC244154.1	0.390282688
AC244157.1	0
AC244157.2	0
AC244197.1	0
AC244197.2	0.074123918
AC244197.3	0.205290344
AC244205.1	0.544063231
AC244230.1	0.180085929
AC244250.1	0
AC244250.2	0
AC244250.3	0
AC244255.1	0
AC244394.1	0
AC244394.2	0
AC244452.1	0
AC244453.1	0
AC244453.2	0.027406811
AC244453.3	0
AC244502.1	0.266114798
AC244502.2	0
AC244502.3	0.84991101
AC244505.1	0
AC244505.2	0
AC244505.3	0.129815953
AC244505.4	0
AC244505.5	0
AC244505.6	0
AC244505.7	0
AC244517.1	0
AC244517.10	0
AC244517.11	0
AC244517.12	0
AC244517.2	0.022923119
AC244517.3	0.019656343
AC244517.4	0
AC244517.5	0
AC244517.6	0.076943211
AC244517.7	0.243975711
AC244517.8	0
AC244517.9	0
AC244636.1	0
AC244636.2	0
AC244669.1	2.258703768
AC244669.2	0.085377198
AC244670.1	0
AC245008.1	0
AC245014.1	0
AC245014.2	0
AC245014.3	0.139916906
AC245028.1	0
AC245028.2	0.191901844
AC245028.3	0
AC245033.1	0
AC245033.2	0
AC245033.3	0
AC245036.1	0
AC245036.2	0
AC245036.3	0
AC245036.4	0
AC245036.5	0
AC245041.1	10.84466127
AC245041.2	4.742939242
AC245047.1	0
AC245047.2	0
AC245047.3	0
AC245047.4	0.337160878
AC245047.5	0
AC245047.6	0
AC245047.7	0
AC245047.8	0
AC245052.1	0.05920874
AC245052.2	0
AC245052.3	0.053885867
AC245052.4	0.14595709
AC245052.5	0
AC245052.6	0
AC245052.7	0
AC245054.1	0
AC245054.2	0
AC245056.1	0
AC245060.1	0
AC245060.2	0.185309796
AC245060.3	0
AC245060.4	14.96380732
AC245060.5	0.073718746
AC245060.6	0.037480117
AC245088.1	0
AC245088.2	0
AC245096.1	0
AC245100.1	0.054715815
AC245100.2	0.187958655
AC245100.3	0.34070994
AC245100.4	0.175323657
AC245100.5	0
AC245100.6	0.075940302
AC245100.7	0.439377072
AC245100.8	1.58319021
AC245102.1	0
AC245102.2	0
AC245123.1	0
AC245128.1	0.018760111
AC245128.2	0
AC245128.3	0.259631906
AC245140.1	0.142378787
AC245140.2	0.688580236
AC245164.1	0
AC245177.1	0
AC245187.1	0
AC245291.1	0
AC245291.2	0
AC245291.3	0
AC245297.1	1.092791527
AC245297.2	0
AC245297.3	0.838975829
AC245389.1	0
AC245389.2	0
AC245407.1	0.367017457
AC245407.2	0.353899361
AC245407.3	0
AC245427.1	0
AC245452.1	0.031425118
AC245452.2	0.123855016
AC245452.3	0
AC245452.4	0
AC245452.5	0
AC245505.1	0
AC245505.2	0
AC245505.3	0
AC245517.1	0
AC245517.2	0
AC245517.3	0
AC245517.4	0
AC245517.5	1.948040629
AC245519.1	0
AC245595.1	0.781216623
AC245595.2	0
AC245748.1	0
AC245748.2	0
AC245748.3	0
AC245884.1	0.091779143
AC245884.10	0.072034372
AC245884.11	0.055999039
AC245884.12	0.822901126
AC245884.2	0
AC245884.3	0.779491204
AC245884.4	0
AC245884.5	0
AC245884.6	0
AC245884.7	0
AC245884.8	0.22068712
AC245884.9	0
AC246680.1	0
AC246785.1	0
AC246785.2	0.047320825
AC246785.3	0.077310775
AC246785.4	0
AC246787.1	2.594041588
AC246787.2	0.250263745
AC246793.1	0.140456605
AC246817.1	0.039796038
AC246817.2	0
AC247036.1	0
AC253536.1	0
AC253536.2	0.095573162
AC253536.3	0.043504629
AC253536.4	0
AC253536.5	0
AC253536.6	0.585836096
AC253576.1	0
AC253576.2	0.209272269
AC254562.1	0
AC254562.2	0
AC254562.3	0.423187663
AC254629.1	0.019002413
AC254633.1	1.266552168
ACAA1	4.174607753
ACAA2	3.302474846
ACACA	4.176564825
ACACB	0.150624094
ACAD10	1.087250396
ACAD11	0.051340677
ACAD8	1.536257985
ACAD9	10.83901705
ACADL	0.598166322
ACADM	7.800872132
ACADS	5.124641623
ACADSB	4.719282045
ACADVL	28.10279233
ACAN	0.137980029
ACAP1	1.347734845
ACAP2	12.31465096
ACAP2-IT1	0.387002051
ACAP3	3.615571028
ACAT1	7.460046705
ACAT2	12.46812927
ACBD3	34.71042027
ACBD3-AS1	1.361247657
ACBD4	0.565744524
ACBD5	6.942228099
ACBD6	6.421137361
ACBD7	0.713034487
ACCS	0.716683885
ACCSL	0
ACD	4.172718927
ACE	1.041833159
ACE2	1.582921371
ACE3P	0
ACER1	0.016799712
ACER2	1.854836787
ACER3	5.472214506
ACHE	0.162661372
ACIN1	8.345897545
ACKR1	1.325589777
ACKR2	0.173111674
ACKR3	240.0465997
ACKR4	0.288359326
ACLY	37.05318558
ACMSD	0.017433094
ACO1	5.539524218
ACO2	22.96598729
ACOD1	0.033452802
ACOT1	1.629709323
ACOT11	0.484616987
ACOT12	0
ACOT13	13.60736492
ACOT2	10.55019078
ACOT4	1.613576023
ACOT6	0
ACOT7	13.33273424
ACOT8	3.802963428
ACOT9	8.938571863
ACOX1	6.942839723
ACOX2	0.786330112
ACOX3	4.954844729
ACOXL	0.114049199
ACOXL-AS1	0
ACP1	32.0309318
ACP2	10.89056733
ACP4	0.036043925
ACP5	35.93027864
ACP6	1.771955196
ACP7	0.945396064
ACPP	2.443190107
ACR	0.047159948
ACRBP	0.401319877
ACRV1	0.02194899
ACSBG1	0.035395747
ACSBG2	0.021127575
ACSF2	1.608042773
ACSF3	1.095939564
ACSL1	13.03402574
ACSL3	10.93071841
ACSL4	12.1396837
ACSL5	4.49293136
ACSL6	0.051357611
ACSM1	0.093009897
ACSM2A	0
ACSM2B	0.002975678
ACSM3	0.130347033
ACSM4	0.009800397
ACSM5	0.061255572
ACSM5P1	0
ACSM6	0.008648231
ACSS1	3.402101065
ACSS2	11.61711754
ACSS3	0.273293399
ACTA1	0.259805573
ACTA2	66.79594735
ACTA2-AS1	0.251678997
ACTB	1578.427349
ACTBL2	0.008688469
ACTBP1	0.196298517
ACTBP11	0.388064385
ACTBP12	0.085177485
ACTBP13	0
ACTBP14	0.044583257
ACTBP2	0.562034874
ACTBP6	0.022271177
ACTBP7	0.086389976
ACTBP8	0.19718434
ACTBP9	0.198799135
ACTC1	0.020931738
ACTG1	1070.752254
ACTG1P1	0.451538749
ACTG1P10	0.044871688
ACTG1P11	0
ACTG1P12	0.145736777
ACTG1P13	0
ACTG1P14	0.259631906
ACTG1P15	0.091347444
ACTG1P16	0.022435844
ACTG1P17	0.127400484
ACTG1P18	0.042476961
ACTG1P19	0.087009259
ACTG1P2	0
ACTG1P20	0.414967234
ACTG1P21	0.07282675
ACTG1P22	0.099899519
ACTG1P23	0.135617783
ACTG1P24	0.166081527
ACTG1P3	0.065374102
ACTG1P4	0
ACTG1P9	0.136995391
ACTG2	2.509729674
ACTL10	0.490778556
ACTL6A	53.73656312
ACTL6B	0.010161399
ACTL7A	0
ACTL7B	0
ACTL8	0.664192459
ACTL9	0
ACTN1	21.31709646
ACTN1-AS1	0.025935452
ACTN2	0
ACTN3	0.006902355
ACTN4	51.52092457
ACTN4P1	0.033460487
ACTN4P2	0
ACTP1	0.063382724
ACTR10	23.6445022
ACTR1A	12.01717108
ACTR1B	31.40212891
ACTR2	87.76514052
ACTR3	60.72220123
ACTR3B	0.685067919
ACTR3BP1	0
ACTR3BP2	0
ACTR3BP3	0
ACTR3BP4	0
ACTR3BP5	0
ACTR3BP6	0
ACTR3C	1.089770764
ACTR3P2	0.019312318
ACTR3P3	0
ACTR5	1.779263019
ACTR6	6.582993194
ACTR6P1	0
ACTR8	5.880828694
ACTRT1	0
ACTRT2	0
ACTRT3	2.494149697
ACVR1	19.96803612
ACVR1B	5.891841902
ACVR1C	0.319450307
ACVR2A	2.20882707
ACVR2B	0.519618365
ACVR2B-AS1	0.327918089
ACVRL1	3.69913649
ACY1	0.923728433
ACY3	1.325820314
ACYP1	3.837150851
ACYP2	2.406040883
AD000091.1	0
AD000671.1	0
AD000671.2	0.012610693
AD000671.3	0.035699387
AD000813.1	0
AD000864.1	0.211551923
AD001527.1	0.128103342
AD001527.2	0
ADA	8.528798872
ADA2	5.001607232
ADAD1	0
ADAD1P2	0
ADAD2	0.035430187
ADAL	0.645311061
ADAM10	10.20841726
ADAM11	0.12723052
ADAM12	9.537891418
ADAM15	30.53989304
ADAM17	26.26502275
ADAM18	0
ADAM19	3.258171476
ADAM1A	0
ADAM1B	0.084964541
ADAM2	0
ADAM20	0.008685361
ADAM20P1	0.072010629
ADAM20P2	0.019069586
ADAM20P3	0.011526868
ADAM21	0.09133026
ADAM21P1	0.010504363
ADAM22	0.05173909
ADAM23	71.881586
ADAM24P	0
ADAM28	1.19677509
ADAM29	0
ADAM30	0
ADAM32	0.014501543
ADAM33	0.104026325
ADAM3A	0
ADAM3B	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	1.386450673
ADAM9	44.60765711
ADAMDEC1	9.160597441
ADAMTS1	23.86314233
ADAMTS10	0.468229731
ADAMTS12	4.473777967
ADAMTS13	0.212645263
ADAMTS14	0.893805873
ADAMTS15	0.329494079
ADAMTS16	0.492716084
ADAMTS17	0.521327133
ADAMTS18	0.021810946
ADAMTS19	0.008977657
ADAMTS19-AS1	0
ADAMTS2	8.333974777
ADAMTS20	0.056984937
ADAMTS3	0.232249316
ADAMTS4	3.166584689
ADAMTS5	1.168744952
ADAMTS6	0.153015232
ADAMTS7	0.486767839
ADAMTS7P1	0
ADAMTS7P3	0.006459708
ADAMTS7P4	0.061613155
ADAMTS8	0.075139988
ADAMTS9	0.640984501
ADAMTS9-AS1	0.031440531
ADAMTS9-AS2	0.020140141
ADAMTSL1	0.610022627
ADAMTSL2	1.001750601
ADAMTSL3	0.223990413
ADAMTSL4	1.264353293
ADAMTSL4-AS1	0.083325801
ADAMTSL5	1.091564156
ADAP1	1.007086621
ADAP2	3.087854185
ADAR	57.93776402
ADARB1	0.601312888
ADARB2	0.013854609
ADARB2-AS1	0
ADAT1	5.027199467
ADAT2	0.497353412
ADAT3	0.672814555
ADCK1	1.666463772
ADCK2	18.42544267
ADCK5	2.82418346
ADCY1	0.163272585
ADCY10	2.079973411
ADCY10P1	0.156452984
ADCY2	0.016610047
ADCY3	10.83946065
ADCY4	0.297915302
ADCY5	0.497932621
ADCY6	1.8069578
ADCY7	1.668067306
ADCY8	0.228054464
ADCY9	2.720983985
ADCYAP1	0.382795005
ADCYAP1R1	0.024872524
ADD1	9.818775114
ADD2	4.769683754
ADD3	19.55110417
ADD3-AS1	0.013475954
ADGB	0.015615324
ADGRA1	0.003732982
ADGRA1-AS1	0
ADGRA2	3.056365031
ADGRA3	2.815967653
ADGRB1	0.072602342
ADGRB2	0.413148141
ADGRB3	0.026183218
ADGRD1	0.153392393
ADGRD1-AS1	0.399206928
ADGRD2	0.061279871
ADGRE1	0.438754809
ADGRE2	0.91223486
ADGRE3	0.179692368
ADGRE4P	0.128351691
ADGRE5	4.59170266
ADGRF1	0.461981908
ADGRF2	0.003796026
ADGRF3	0.168551177
ADGRF4	2.369571821
ADGRF5	3.084641777
ADGRF5P1	0.114122957
ADGRF5P2	0.058530641
ADGRG1	15.0632531
ADGRG2	0.052591121
ADGRG3	0.641516914
ADGRG4	0.007229179
ADGRG5	0.522680021
ADGRG6	0.220608982
ADGRG7	0.563720461
ADGRL1	2.402673489
ADGRL2	1.822077564
ADGRL3	0.270538004
ADGRL3-AS1	0
ADGRL4	3.46204093
ADGRV1	0.67767916
ADH1A	0
ADH1B	0.059535459
ADH1C	2.649431932
ADH4	0.02968885
ADH5	85.21897093
ADH5P2	0.043194988
ADH5P3	0.042701114
ADH5P4	0.524877475
ADH6	0.099286639
ADH7	109.7165758
ADHFE1	2.563501588
ADI1	48.33286083
ADI1P1	0
ADI1P2	0
ADI1P3	0
ADIG	0
ADIPOQ	0
ADIPOQ-AS1	0
ADIPOR1	69.46633381
ADIPOR1P1	0
ADIPOR1P2	0
ADIPOR2	17.12258728
ADIRF	0
ADIRF-AS1	0.164709072
ADK	23.71138939
ADM	156.1389793
ADM2	1.606639394
ADM5	0.18369184
ADNP	10.46308148
ADNP2	5.281061884
ADNP-AS1	0.654681317
ADO	12.34862174
ADORA1	0.28382333
ADORA2A	0.02894775
ADORA2A-AS1	0.012062402
ADORA2B	9.33529876
ADORA2BP1	0.028830859
ADPGK	23.48972721
ADPGK-AS1	0.030944019
ADPRH	2.146140401
ADPRHL1	1.7002354
ADPRHL2	19.31276914
ADPRM	3.131849934
ADRA1A	0
ADRA1B	0.19554555
ADRA1D	0.043504629
ADRA2A	0.732480882
ADRA2B	0.26644811
ADRA2C	1.581979264
ADRB1	0.093596711
ADRB2	0.705070671
ADRB3	0
ADRM1	38.31734214
ADSL	20.0601144
ADSS	24.40801957
ADSSL1	1.921028836
ADTRP	0.508909817
AEBP1	31.63909514
AEBP2	6.851979134
AEN	5.98216848
AES	53.93504909
AF001548.1	0.132412272
AF001548.2	2.003606749
AF001548.3	0.334259321
AF001550.1	0
AF003529.1	0
AF013593.1	0
AF015262.1	0.034778773
AF015720.1	0
AF038458.1	0.092654898
AF038458.2	0.040459305
AF038458.3	0
AF064858.1	0.137538715
AF064858.2	0.332542236
AF064858.3	0
AF064860.1	0
AF064860.2	0
AF067845.1	0
AF067845.2	0
AF096876.1	0
AF099810.1	0
AF106564.1	0.152138399
AF107885.1	0
AF107885.2	0
AF111167.1	0.055550534
AF111167.2	0.412666973
AF111169.1	0
AF111169.2	0.06422112
AF111169.3	0.050892208
AF117829.1	0.240127411
AF117829.2	0
