	62ff3cee-843e-4192-a4a6-8489cc2d0508
	tumor
AGAP4	0.794444506
AGAP5	0.116024239
AGAP6	3.379172579
AGAP7P	0.780767115
AGAP9	1.926595672
AGBL1	0
AGBL1-AS1	0
AGBL2	0.617210169
AGBL3	0.224825201
AGBL4	0.083658958
AGBL4-IT1	0
AGBL5	6.225404293
AGBL5-AS1	0
AGBL5-IT1	0
AGER	5.615726528
AGFG1	10.87443632
AGFG2	2.728999542
AGGF1	3.343488583
AGGF1P1	0.079247359
AGGF1P2	0.446743516
AGGF1P3	0
AGGF1P4	0
AGGF1P5	0
AGGF1P6	0
AGGF1P7	0
AGGF1P8	0
AGGF1P9	0
AGK	5.194121483
AGKP1	0.026014216
AGL	3.256767645
AGMAT	0.93310912
AGMO	1.896064307
AGO1	2.412054428
AGO2	6.273198493
AGO3	1.00742779
AGO4	4.254500287
AGPAT1	11.77240357
AGPAT2	31.22960343
AGPAT3	3.618343478
AGPAT4	0.606986509
AGPAT4-IT1	0.034990367
AGPAT5	5.941288177
AGPAT5P1	0
AGPS	3.619486068
AGR2	21.13405888
AGR3	1.954362836
AGRN	13.06847287
AGRP	0.043005177
AGT	0.014341316
AGTPBP1	8.149128323
AGTR1	0.236169889
AGTR2	0.011400401
AGTRAP	20.36124681
AGXT	0.022105374
AGXT2	0
AHCTF1	3.939021758
AHCY	95.80033699
AHCYL1	21.77759266
AHCYL2	1.71034936
AHCYP2	0
AHCYP3	0
AHCYP4	0
AHCYP5	0
AHCYP7	0
AHCYP8	0
AHDC1	5.490529844
AHI1	1.049276906
AHNAK	9.106492516
AHNAK2	0.255552151
AHR	11.41893644
AHRR	0.31666328
AHSA1	34.96239166
AHSA2P	16.09871235
AHSG	0
AHSP	0.116925107
AICDA	0.084381265
AIDA	3.874083532
AIF1	27.60312201
AIF1L	1.959328507
AIFM1	11.75698569
AIFM1P1	0
AIFM2	2.233053217
AIFM3	0.237249073
AIG1	6.564637271
AIG1P1	0
AIM2	3.859634327
AIMP1	21.21618003
AIMP1P1	0
AIMP1P2	0
AIMP2	16.1955904
AIP	69.21788065
AIPL1	0
AIRE	0.049164533
AIRN	0
AJ003147.1	0
AJ003147.2	0
AJ003147.3	0.059765266
AJ006995.1	0
AJ009632.1	0
AJ009632.2	0
AJ011931.1	0
AJ011932.1	0.070657968
AJ239318.1	0
AJ239321.1	0
AJ239322.1	0
AJ239322.2	0
AJ239328.1	0
AJ271736.1	0
AJAP1	0.042377693
AJM1	0.621619389
AJUBA	10.69920459
AK1	3.498721859
AK2	31.62249407
AK2P2	0
AK3	10.73700066
AK3P2	0
AK3P3	0.197927439
AK3P4	0
AK3P5	0
AK4	6.685653536
AK4P1	0.935926752
AK4P2	0
AK4P3	0.04911204
AK4P4	0.050860611
AK4P5	0
AK4P6	0
AK5	0.042737909
AK6	5.911640364
AK6P1	0
AK6P2	0
AK7	0.118257786
AK8	0.613567814
AK9	0.169192875
AKAIN1	0
AKAP1	26.00361093
AKAP10	4.513627471
AKAP11	2.980883007
AKAP12	0.428506906
AKAP13	2.49335871
AKAP14	0.028082013
AKAP17A	12.61829925
AKAP17BP	0
AKAP2	0.045969919
AKAP3	0.170191697
AKAP4	0
AKAP5	0.31053951
AKAP6	0.13143713
AKAP7	2.138553279
AKAP8	11.52558754
AKAP8L	11.01233837
AKAP8P1	0
AKAP9	2.069510176
AKIP1	18.32790877
AKIRIN1	42.8410007
AKIRIN1P1	0
AKIRIN1P2	0
AKIRIN2	16.55124893
AKIRIN2P1	0
AKNA	2.116839658
AKNAD1	0.006684833
AKR1A1	57.92164819
AKR1B1	25.07286396
AKR1B10	0.847774066
AKR1B10P1	0
AKR1B10P2	0
AKR1B15	0.00988149
AKR1B1P1	0.034368154
AKR1B1P2	0
AKR1B1P3	0
AKR1B1P4	0
AKR1B1P6	0
AKR1B1P7	0.03462166
AKR1B1P8	0
AKR1C1	3.191126254
AKR1C2	5.470273862
AKR1C3	1.045908554
AKR1C4	0.017166121
AKR1C5P	0.053950665
AKR1C6P	0
AKR1C7P	1.027895797
AKR1C8P	0.029573317
AKR1D1	0.010622682
AKR1D1P1	0
AKR1E2	0.067968463
AKR7A2	41.82170119
AKR7A2P1	0.179540737
AKR7A3	0.557206253
AKR7L	0.035609778
AKT1	6.743683277
AKT1S1	7.513859659
AKT2	7.430013086
AKT3	0.901588209
AKT3-IT1	0
AKTIP	1.762170593
AL008582.1	0.594677917
AL008626.1	0
AL008627.1	0.270419382
AL008628.1	0
AL008629.1	0
AL008635.1	0
AL008636.1	0
AL008638.1	0.069462907
AL008638.2	0
AL008638.3	0
AL008638.4	0
AL008638.5	0
AL008638.6	0
AL008707.1	0
AL008718.1	0
AL008718.2	0.025023576
AL008718.3	0.307064999
AL008719.1	0
AL008721.1	0.217589105
AL008721.2	0.245063063
AL008723.1	0.055688059
AL008723.2	0.058462553
AL008723.3	0
AL008726.1	0.115486661
AL008727.1	0.006949229
AL008729.1	0.326977401
AL008729.2	0.069462907
AL008733.1	0
AL008987.1	0
AL009028.1	0
AL009048.1	0
AL009050.1	0
AL009172.1	0
AL009174.1	3.712091061
AL009176.1	0.101095246
AL009178.1	0
AL009178.2	0.012083838
AL009181.1	0
AL009183.1	0
AL020989.1	0
AL020991.1	0
AL020993.1	0
AL020994.1	0
AL020994.2	0
AL020994.3	0
AL020995.1	0.019557116
AL020996.1	0.094109431
AL020996.2	0
AL020996.3	0
AL020997.1	0.564858824
AL020997.2	0.535694917
AL020997.3	0.183041532
AL020998.1	0.286951571
AL021026.1	0.041276325
AL021068.1	0.32459231
AL021068.2	0.328559549
AL021153.1	0
AL021154.1	0.360262664
AL021155.1	0
AL021328.1	0
AL021331.1	0
AL021368.1	0
AL021368.2	0.319228262
AL021368.3	2.160080082
AL021391.1	0
AL021392.1	0.211686383
AL021393.1	0
AL021395.1	0.01472041
AL021396.1	0
AL021397.1	0
AL021407.1	0.170238108
AL021407.2	0
AL021407.3	0
AL021408.1	0.044042835
AL021408.2	0
AL021453.1	1.538920605
AL021546.1	0
AL021578.1	0.278047573
AL021707.1	0.591407189
AL021707.2	0.998006969
AL021707.3	0.935178983
AL021707.4	0.080136475
AL021707.5	0
AL021707.6	3.814235093
AL021707.7	0.394903304
AL021707.8	1.615866636
AL021807.1	1.628259713
AL021808.1	0
AL021877.1	0.014975367
AL021877.2	0.009225745
AL021878.2	1.070494772
AL021879.1	0
AL021918.1	0
AL021918.2	0
AL021920.1	0
AL021920.2	0
AL021921.1	0
AL021937.1	0.126531277
AL021937.2	0.817312312
AL021937.3	0
AL021937.4	0.147999797
AL021939.1	0
AL021940.1	0
AL021997.1	0
AL021997.2	0
AL021997.3	0
AL022067.1	0.651329503
AL022068.1	0.042836969
AL022069.1	0.261080326
AL022069.2	0.055220092
AL022097.1	0
AL022099.1	0
AL022100.1	0.119912244
AL022154.1	0
AL022157.1	0.296444706
AL022161.1	0
AL022163.1	0
AL022237.1	0.09177641
AL022238.1	0
AL022238.2	0.036792783
AL022238.3	0.222500823
AL022310.1	0.047617326
AL022311.1	0.291060169
AL022313.1	0
AL022313.2	0.176644919
AL022313.3	0
AL022313.4	0
AL022314.1	0
AL022315.1	0
AL022316.1	0.86160721
AL022318.1	0.048460111
AL022318.2	0
AL022319.1	0.028154203
AL022322.1	0.527346101
AL022322.2	0.027383989
AL022323.1	2.540585856
AL022323.2	0.010951985
AL022323.3	0.006097987
AL022323.4	0.007512795
AL022323.5	0
AL022324.1	0.148669479
AL022324.2	0.168492077
AL022324.3	0.175935502
AL022326.1	0
AL022326.2	0.242777992
AL022328.1	0.824835689
AL022328.2	2.104834612
AL022328.3	0.72583111
AL022328.4	1.28010214
AL022329.1	0.034990367
AL022329.2	0
AL022329.3	0
AL022331.1	0.137760817
AL022332.1	0.055406332
AL022334.1	0.057107685
AL022334.2	0
AL022337.1	0
AL022341.1	2.027102618
AL022341.2	0.139121898
AL022342.1	0.03807179
AL022344.1	0
AL022344.2	0
AL022345.1	0.179540737
AL022345.2	0
AL022345.3	0.144105065
AL022393.1	0.058776306
AL022394.1	0
AL022396.1	0
AL022400.1	0
AL022401.1	0
AL022476.1	0.031546764
AL022578.1	0
AL022718.1	1.564569282
AL022721.1	0.065061297
AL022722.1	0
AL022722.2	0
AL022724.1	4.329394783
AL022725.1	0
AL023280.1	0
AL023284.1	0.119043315
AL023284.2	0.113492072
AL023284.3	0.039442923
AL023284.4	1.054201762
AL023495.1	0
AL023581.1	0
AL023581.2	0.23808663
AL023583.1	0.11498147
AL023584.1	0
AL023584.2	0.147999797
AL023653.1	0.201570276
AL023693.1	0
AL023754.1	0.030735224
AL023755.1	0
AL023773.1	0
AL023773.2	0
AL023775.1	0.056453531
AL023802.1	0.034814257
AL023803.1	0.527100881
AL023803.2	1.699445944
AL023803.3	1.258848848
AL023806.1	0.239097307
AL023806.2	0
AL023806.3	0.063397887
AL023807.1	0.549124595
AL023881.1	0
AL023973.1	0
AL024474.1	0
AL024474.2	0.131161497
AL024493.1	0
AL024497.1	0
AL024497.2	0
AL024498.1	0.357372725
AL024498.2	0.020677127
AL024507.1	0
AL024507.2	0.20423282
AL024508.1	0.065061297
AL024508.2	0.451032116
AL024509.1	0
AL024509.2	0.066644939
AL030996.1	0
AL031003.1	0
AL031005.1	0.181775684
AL031008.1	0
AL031009.1	0.105404072
AL031055.1	0.312417955
AL031056.1	0.047929912
AL031058.1	4.550993757
AL031073.1	0
AL031118.1	0.233494096
AL031119.1	0
AL031121.1	0.129354153
AL031123.1	0.694139893
AL031123.2	0.108696392
AL031123.3	0.053656976
AL031133.1	0.181775684
AL031183.1	0
AL031186.1	2.730884565
AL031229.1	0.586713481
AL031258.1	0
AL031274.1	0.141620495
AL031275.1	0
AL031280.1	0.029546722
AL031281.1	0.067327776
AL031281.2	0.395325661
AL031282.1	0.928874405
AL031282.2	0.459297657
AL031283.1	0.025381193
AL031283.2	0
AL031283.3	0
AL031284.1	0
AL031289.1	0
AL031313.1	0
AL031316.1	1.239847356
AL031320.1	0
AL031320.2	0.03160746
AL031386.1	0
AL031428.1	0.098666531
AL031429.1	0
AL031429.2	0
AL031432.1	0
AL031432.2	0.64423441
AL031432.3	0.406465422
AL031575.1	0
AL031577.1	0.164691503
AL031577.2	0.117342696
AL031584.1	0.043575537
AL031584.2	0
AL031587.1	0
AL031587.2	0.07936221
AL031587.3	0
AL031587.4	0
AL031587.5	0.21323497
AL031593.1	0
AL031594.1	0.013232362
AL031595.1	0.006977268
AL031595.2	0.001722823
AL031595.3	0.023037411
AL031597.1	0
AL031598.1	0
AL031599.1	0.081326621
AL031600.1	1.383408628
AL031600.2	0.107022654
AL031600.3	0
AL031601.1	0
AL031601.2	0
AL031602.1	0.525695279
AL031651.1	0.045696738
AL031651.2	0.119693825
AL031656.1	0
AL031658.1	0.016321885
AL031658.2	0.050469977
AL031659.1	0
AL031663.1	0
AL031663.2	0
AL031663.3	0
AL031665.1	0
AL031665.2	1.100438682
AL031666.1	0.290599933
AL031666.2	0.014583202
AL031666.3	0.032659995
AL031667.1	0
AL031667.2	0
AL031667.3	0.953073502
AL031668.1	0
AL031670.1	1.424249167
AL031673.1	0.634557069
AL031674.1	0.532193643
AL031676.1	0
AL031679.1	0
AL031681.1	0
AL031687.1	0
AL031705.1	0.096351774
AL031708.1	0.024675896
AL031709.1	0.151061862
AL031710.1	0
AL031710.2	0.591589216
AL031713.1	0.049706437
AL031714.1	0.526983461
AL031716.1	0.247969471
AL031717.1	0.755977724
AL031719.1	0.025400816
AL031719.2	0.345125577
AL031722.1	0.298690499
AL031726.1	0.057844991
AL031727.1	2.816224708
AL031727.2	0.63489768
AL031728.1	0.278327976
AL031729.1	3.935869601
AL031733.1	0
AL031733.2	0.052090297
AL031736.1	2.498753854
AL031736.2	0.208741772
AL031737.1	0
AL031767.1	0
AL031768.1	0
AL031770.1	0.193043213
AL031772.1	0.021039032
AL031773.1	0
AL031775.1	0.740833257
AL031775.2	1.05463559
AL031777.1	1.646089926
AL031777.2	0.502897269
AL031779.1	0
AL031846.1	0.256687148
AL031846.2	0.080551238
AL031847.1	0.60844361
AL031848.1	0.280820128
AL031848.2	0
AL031864.1	0
AL031864.2	0.187748314
AL031963.1	0
AL031963.2	0
AL031963.3	0.734427228
AL031985.1	0
AL031985.2	0.410699437
AL031985.3	1.167198072
AL032819.1	0.346764696
AL032819.2	0
AL032821.1	0
AL032822.1	0
AL033379.1	0
AL033380.1	0
AL033381.1	0.019130105
AL033381.2	0
AL033384.1	0.559986836
AL033384.2	0.720525327
AL033397.1	0.032905313
AL033397.2	1.501643278
AL033504.1	0
AL033519.1	0.107022654
AL033519.2	1.843956654
AL033519.3	0.055220092
AL033523.1	0
AL033527.1	0
AL033527.2	0.083709439
AL033527.3	0.137357671
AL033528.1	0.234685392
AL033528.2	0.077399187
AL033529.1	0
AL033539.1	0
AL033543.1	0.031747243
AL034345.1	0
AL034345.2	0.05417305
AL034346.1	0.720412481
AL034347.1	0.078696898
AL034349.1	0
AL034351.1	0
AL034369.1	0
AL034370.1	0
AL034372.1	0
AL034374.1	0.239824489
AL034376.1	0.067884204
AL034376.2	0
AL034379.1	1.688250648
AL034380.1	0
AL034397.1	0.072369945
AL034397.2	0.115015011
AL034397.3	0.905122725
AL034399.1	0
AL034399.2	0.251528842
AL034403.1	0
AL034405.1	0.062463793
AL034417.1	0.082139887
AL034417.2	0
AL034418.1	0
AL034428.1	0.038654065
AL034546.1	0
AL034548.1	0
AL034550.1	0.066644939
AL034550.2	0.03710441
AL034555.1	0.311430852
AL035045.1	0
AL035071.1	1.202611208
AL035071.2	0.143163202
AL035078.1	0.030087871
AL035078.2	0
AL035078.3	0
AL035079.1	0
AL035090.1	0
AL035246.1	0
AL035250.1	0
AL035250.2	0
AL035252.1	0
AL035252.2	0.019447147
AL035252.3	0.035405124
AL035252.4	0.114083177
AL035258.1	1.721382604
AL035398.1	1.122408398
AL035401.1	0.037722107
AL035404.1	0
AL035404.2	0
AL035405.1	0
AL035407.1	0
AL035407.2	0
AL035409.1	0.066108561
AL035410.1	0
AL035410.2	0
AL035411.1	0.809494542
AL035411.2	0
AL035413.1	0.777655738
AL035413.2	0.125165543
AL035414.1	0.191691686
AL035415.1	0
AL035416.1	0
AL035417.1	0
AL035417.2	0.041276325
AL035419.1	0
AL035420.1	0
AL035420.2	0
AL035420.3	0.511774999
AL035423.1	0
AL035425.1	0
AL035425.2	0
AL035425.3	0
AL035425.4	0
AL035427.1	0
AL035443.1	0.044641243
AL035446.1	0.290118807
AL035448.1	0.089721341
AL035454.1	0
AL035456.1	0.215999704
AL035458.1	1.067116485
AL035458.2	0.412417844
AL035460.1	0
AL035461.1	0
AL035461.2	1.316746285
AL035467.1	0
AL035530.1	0.297788111
AL035530.2	0.606260573
AL035541.1	0
AL035551.1	0
AL035555.1	0
AL035563.1	0.683164755
AL035587.1	0.3748666
AL035588.1	0.080529301
AL035604.1	0
AL035633.1	0
AL035634.1	0
AL035658.1	0.092033487
AL035660.1	0
AL035660.2	0
AL035661.1	7.610863685
AL035665.1	0.059058038
AL035666.1	0
AL035681.1	0.420556223
AL035690.1	0
AL035691.1	0
AL035696.1	0
AL035696.2	0
AL035696.3	0
AL035698.1	0
AL035701.1	0.311220141
AL035706.1	0.048105351
AL049536.1	0.031471221
AL049539.1	0.214744803
AL049541.1	0
AL049541.2	0
AL049542.1	0
AL049543.1	0.034296404
AL049544.1	0
AL049545.1	0
AL049548.1	0
AL049552.1	0.341656377
AL049555.1	19.97193328
AL049564.1	0
AL049569.1	0.103320613
AL049594.1	0
AL049597.1	0.591999188
AL049597.2	0.615408105
AL049610.1	0
AL049612.1	0
AL049629.1	0
AL049634.1	0
AL049634.2	0
AL049634.3	0
AL049636.1	0
AL049637.1	0.06531999
AL049641.1	0
AL049646.1	0.012894802
AL049646.2	0.127348663
AL049647.1	0.018365542
AL049648.1	0
AL049649.1	0.252209005
AL049650.1	0.119766543
AL049651.1	0
AL049651.2	0
AL049693.1	0
AL049697.1	0.027922908
AL049697.2	0
AL049697.3	0
AL049712.1	0.075357695
AL049714.1	0
AL049732.1	0
AL049733.1	0
AL049734.1	0
AL049734.2	0
AL049737.1	0.046836714
AL049745.1	0
AL049747.1	0.077126655
AL049748.1	0
AL049749.1	0
AL049757.1	0.123518628
AL049758.1	0
AL049765.1	0.057340235
AL049775.1	0.040264651
AL049775.2	0.117763279
AL049775.3	0
AL049776.1	0.210927118
AL049777.1	0
AL049779.1	0
AL049779.2	0.108435495
AL049779.3	0
AL049780.1	0.134380184
AL049780.2	0.179051525
AL049780.3	0.020755499
AL049781.1	0
AL049792.1	0
AL049794.1	0.297146879
AL049794.2	0
AL049795.1	0.145273198
AL049795.2	0
AL049796.1	0.204652041
AL049812.1	0
AL049812.2	0
AL049812.3	0
AL049820.1	0
AL049829.1	0
AL049829.2	0
AL049830.1	0.231924388
AL049830.2	0.163462462
AL049830.3	0.057091147
AL049830.4	0
AL049833.1	0
AL049833.2	0
AL049833.3	0
AL049835.1	0.063922091
AL049836.1	0.060957245
AL049836.2	0
AL049838.1	0.100476926
AL049839.1	0
AL049839.2	0
AL049840.1	0.86586206
AL049840.2	0.368477999
AL049840.3	0.53774067
AL049840.4	3.524621552
AL049840.5	0.23808663
AL049840.6	0.138340863
AL049844.1	0.043118051
AL049844.2	0.523183996
AL049844.3	0
AL049861.1	0
AL049869.1	0.023435061
AL049869.2	0
AL049869.3	0.05888164
AL049869.4	0
AL049870.1	0
AL049870.2	0
AL049870.3	0.182533083
AL049870.4	0
AL049871.1	0
AL049872.1	1.632594034
AL049873.1	2.621485765
AL049873.2	0.263903252
AL049874.1	0
AL049874.2	0
AL049874.3	0.037852483
AL049874.4	0
AL049875.1	0.163056848
AL050303.1	0
AL050303.2	0
AL050303.3	0
AL050303.4	0
AL050305.1	0
AL050320.1	0.07366806
AL050321.1	0
AL050327.1	0.12960929
AL050331.1	0.05273829
AL050331.2	0
AL050335.1	0
AL050338.1	0
AL050341.1	0
AL050341.2	5.714079118
AL050343.1	0.18062647
AL050343.2	0
AL050344.1	0.03807179
AL050349.1	0
AL050402.1	0
AL050403.1	0
AL050403.2	0.025688784
AL050404.1	0
AL078459.1	0.014429493
AL078581.1	0.773081292
AL078581.2	0
AL078581.3	0
AL078587.1	0.181859529
AL078590.1	0
AL078590.2	0.968026402
AL078590.3	0.304221805
AL078595.1	0.436140995
AL078595.2	0
AL078595.3	0
AL078596.1	0
AL078599.1	0
AL078599.2	0
AL078601.1	0
AL078601.2	0
AL078601.3	0
AL078603.1	0
AL078604.1	0.775569751
AL078604.2	0.049234698
AL078604.3	0
AL078605.1	0.13142382
AL078612.1	0
AL078612.2	0
AL078621.1	0.171124765
AL078621.2	0
AL078621.3	0.209171114
AL078623.1	0
AL078624.1	0
AL078624.2	0
AL078639.1	0
AL078644.1	0.030198488
AL078644.2	0.78644573
AL078645.1	0
AL078645.2	0
AL079301.1	0
AL079303.1	0.540683529
AL079304.1	0
AL079305.1	0.010922857
AL079307.1	0.00549247
AL079307.2	0
AL079307.3	0
AL079341.1	0
AL079342.1	0.246112022
AL079342.2	0
AL079342.3	0
AL079343.1	0.055656615
AL079352.1	0
AL080243.1	0.030996184
AL080243.2	6.548609573
AL080248.1	0
AL080250.1	0.151409931
AL080251.1	0
AL080273.1	0
AL080274.1	0
AL080276.1	0.13302006
AL080276.2	0.247782466
AL080284.1	0
AL080285.1	0
AL080285.2	0
AL080312.1	0
AL080312.2	0
AL080313.1	0
AL080313.2	0.067190092
AL080315.1	0
AL080316.1	0
AL080317.1	0.766835573
AL080317.2	0.094890845
AL080317.3	0.152287161
AL096677.1	0.161454324
AL096678.1	0.139220148
AL096700.1	0
AL096701.1	1.150317897
AL096701.2	0
AL096701.3	0.458649117
AL096711.1	0
AL096711.2	0
AL096712.1	0
AL096772.1	0
AL096799.1	0
AL096800.1	0
AL096803.1	0
AL096803.2	0
AL096803.3	0.123518628
AL096814.1	0
AL096816.1	0.078764276
AL096817.1	0
AL096828.1	0
AL096828.2	0.016720588
AL096828.3	0.782284641
AL096829.1	0
AL096829.2	0.531363152
AL096840.1	0
AL096855.1	0.421230191
AL096855.2	0
AL096861.1	0
AL096865.1	0.318989854
AL096869.1	0
AL096869.2	0
AL096869.3	0
AL096870.1	0
AL096870.2	0.647407979
AL109610.1	0.533623398
AL109613.1	0.033629432
AL109614.1	0.078415167
AL109615.1	0.28884356
AL109615.2	0.061298423
AL109615.3	1.030326113
AL109618.1	0.03904451
AL109618.2	0
AL109618.3	0
AL109620.1	0
AL109628.1	0.653849849
AL109653.1	0
AL109653.2	0
AL109659.1	0
AL109659.2	0.019627213
AL109659.3	0
AL109741.1	0.081528424
AL109741.2	0.766319648
AL109741.3	0
AL109755.1	0
AL109761.1	0.434219669
AL109763.1	0.071271052
AL109766.1	0.178564972
AL109767.1	0
AL109797.1	0.118045347
AL109804.1	0
AL109806.1	0.131634435
AL109807.1	0
AL109809.1	0.042015288
AL109809.2	0.066644939
AL109809.3	0
AL109809.4	0
AL109810.1	0.066375667
AL109810.2	0
AL109811.1	0.073503255
AL109811.2	0.674282657
AL109811.3	2.15263153
AL109811.4	0.02980132
AL109827.1	0.037678847
AL109837.1	0
AL109838.1	0
AL109910.1	0
AL109910.2	0.016823326
AL109913.1	0
AL109914.1	0
AL109917.1	1.341799484
AL109918.1	10.94117354
AL109918.2	0
AL109918.3	3.791071722
AL109923.1	0.056356698
AL109924.1	0
AL109924.2	0.035177682
AL109924.3	0
AL109924.4	0
AL109930.1	0.181524613
AL109933.1	0
AL109933.2	0
AL109933.3	0
AL109933.4	0
AL109935.1	0
AL109935.2	0
AL109936.1	0.142851978
AL109936.2	0.101095246
AL109941.1	0
AL109945.1	0.047825262
AL109947.1	0
AL109954.1	0
AL109954.2	0
AL109954.3	0
AL109955.1	0.14934525
AL109976.1	0.295113368
AL109983.1	0
AL110115.1	0.090263612
AL110115.2	0.303285738
AL110118.1	0
AL110118.2	0.071425989
AL110292.1	0
AL110503.1	0
AL110504.1	0
AL110505.1	0
AL117187.1	0
AL117190.1	0.014820007
AL117190.2	0
AL117190.3	0
AL117192.1	0
AL117209.1	0.23808663
AL117328.1	0.60844361
AL117328.2	0.067744237
AL117329.1	1.530198252
AL117329.2	0.088799878
AL117332.1	1.011990398
AL117335.1	0.245346272
AL117336.1	0
AL117336.2	0.294232432
AL117336.3	1.163454495
AL117337.1	0
AL117338.1	0
AL117339.1	0.028745367
AL117339.2	0
AL117339.3	0.202814537
AL117339.4	0.018607365
AL117341.1	0
AL117342.1	0
AL117344.1	0
AL117348.1	0
AL117348.2	0
AL117350.1	0
AL117351.1	0
AL117351.2	0
AL117372.1	0
AL117378.1	0
AL117378.2	0
AL117379.1	0.436785221
AL117381.1	0.175700294
AL117382.1	0.036264851
AL117382.2	0
AL117692.1	0
AL118496.1	0
AL118496.2	0
AL118505.1	0.136049503
AL118506.1	0.533029768
AL118508.1	0
AL118508.2	0
AL118508.3	0.017721659
AL118508.4	0.027938737
AL118511.1	0.041380296
AL118511.2	0
AL118516.1	15.93759008
AL118520.1	0
AL118522.1	0.234685392
AL118523.1	0
AL118556.1	0
AL118556.2	0
AL118557.1	0
AL118558.1	0.052993476
AL118558.2	0
AL118558.3	1.400717263
AL118558.4	0.405629073
AL121574.1	0
AL121576.1	0
AL121578.1	0
AL121578.2	0
AL121578.3	0
AL121579.1	0
AL121579.2	0
AL121580.1	0.750135957
AL121583.1	0.240879435
AL121584.1	0
AL121590.1	0
AL121594.1	0.264074307
AL121601.1	0.100785138
AL121601.2	0.046472355
AL121603.1	0.231379964
AL121603.2	1.458885103
AL121612.1	0
AL121652.1	0.14667837
AL121655.1	0.106675178
AL121656.1	0
AL121657.1	0
AL121658.1	1.522818136
AL121672.1	0.083461359
AL121672.2	0.378961418
AL121672.3	0.702050319
AL121694.1	0
AL121718.1	0
AL121721.1	0
AL121723.1	0.06488997
AL121748.1	0.059521657
AL121748.2	0
AL121749.1	0
AL121753.1	0.310547778
AL121753.2	0.247375431
AL121757.1	0
AL121757.2	0
AL121758.1	0.0121061
AL121759.1	0
AL121760.1	0
AL121761.1	0.392219848
AL121761.2	2.472171366
AL121768.1	0.012915077
AL121769.1	0.245805149
AL121772.1	0.154781801
AL121772.2	0
AL121772.3	0.292486246
AL121776.1	0
AL121781.1	0
AL121782.1	0.07955437
AL121785.1	0
AL121787.1	0.105420176
AL121790.1	0.400682377
AL121790.2	1.976298041
AL121796.1	0
AL121809.1	0
AL121809.2	0
AL121820.1	0.071271052
AL121820.2	0
AL121821.1	0.061992368
AL121821.2	0
AL121823.1	0
AL121827.1	0
AL121827.2	0.021508219
AL121829.1	0
AL121829.2	0
AL121830.1	0
AL121832.1	0.023705595
AL121832.2	10.37815343
AL121832.3	0.239759671
AL121834.1	0
AL121835.1	0.092813432
AL121835.2	0.009382055
AL121839.1	0
AL121839.2	0.070983627
AL121845.1	0
AL121845.2	0
AL121845.3	0.218761907
AL121845.4	0.536862009
AL121852.1	0.382045988
AL121871.1	0.226073084
AL121872.1	0
AL121873.1	0
AL121877.1	0.052823079
AL121878.1	0
AL121882.1	0
AL121885.1	0
AL121885.2	0
AL121885.3	0
AL121890.1	0
AL121890.2	0.070657968
AL121890.3	0.063674331
AL121890.4	0
AL121890.5	0
AL121892.1	0
AL121894.1	0
AL121894.2	0.066916405
AL121895.1	0
AL121895.2	0.073503255
AL121899.1	1.022987608
AL121900.1	0
AL121901.1	0
AL121902.1	0
AL121904.1	0.024301742
AL121906.1	0
AL121906.2	0.181775684
AL121908.1	0
AL121910.1	0
AL121912.1	0
AL121916.1	0
AL121917.1	0.388827869
AL121917.2	0.084246038
AL121928.1	0
AL121929.1	0
AL121929.2	0.160608718
AL121932.1	0
AL121944.1	2.634223791
AL121949.1	0
AL121949.2	0
AL121949.3	0
AL121950.1	0
AL121952.1	0
AL121955.1	0
AL121956.1	0.042449554
AL121956.4	0
AL121956.5	0
AL121957.1	0
AL121970.1	0.070734026
AL121972.1	0.163462462
AL121974.1	0
AL121977.1	0
AL121978.1	0
AL121983.1	0
AL121983.2	0.113492072
AL121985.1	0.183374657
AL121985.2	0
AL121985.3	0.125644187
AL121987.1	0.10187893
AL121987.2	0.208212642
AL121988.1	0
AL121989.1	0.17617134
AL121990.1	0
AL121992.1	0.034645998
AL121992.2	0
AL121992.3	0
AL121994.1	0
AL121999.1	0
AL122001.1	0
AL122003.1	0
AL122008.1	0
AL122008.2	0
AL122008.3	0
AL122008.4	0
AL122010.1	0.821398873
AL122013.1	0.082037341
AL122016.1	0
AL122017.1	0
AL122018.1	0.014223357
AL122019.1	0
AL122020.1	6.2275993
AL122023.1	0.185977103
AL122034.1	0
AL122035.1	0.716857198
AL122035.2	0.263550441
AL122058.1	0.940193606
AL122125.1	0.273799624
AL122126.1	0
AL122127.1	0
AL132639.1	0
AL132639.2	0.580237615
AL132639.3	0.433946575
AL132640.1	0.159237261
AL132640.2	0.077399187
AL132640.3	0
AL132642.1	0.118828047
AL132642.2	0
AL132655.1	0.256464522
AL132655.2	0.387191388
AL132655.3	0
AL132656.1	0
AL132656.2	0.053656976
AL132656.3	0
AL132656.4	0.015483485
AL132657.1	0.276876025
AL132657.2	0
AL132671.1	0
AL132708.1	0
AL132709.1	0
AL132711.1	0
AL132712.1	2.201687701
AL132712.2	1.552249839
AL132719.1	0
AL132765.1	0.118828047
AL132765.2	0.187213418
AL132777.1	0.159494927
AL132780.1	1.195970048
AL132780.2	0.337099401
AL132780.3	0
AL132780.4	0.231583823
AL132780.5	0.262847639
AL132796.1	0
AL132796.2	0
AL132796.3	0
AL132800.1	0.70607353
AL132801.1	0
AL132819.1	0
AL132821.1	0
AL132822.1	0.064046696
AL132838.1	0.484958744
