	62ff3cee-843e-4192-a4a6-8489cc2d0508
	tumor
AC002550.2	0.750516737
AC002551.1	0
AC002553.1	0.573545348
AC002553.2	0.297788111
AC002558.1	0.245499041
AC002558.2	0.097640282
AC002558.3	0
AC002563.1	0.218554024
AC002984.1	0
AC002985.1	0
AC002996.1	0
AC003001.1	0.028947978
AC003001.2	0
AC003002.1	0
AC003002.2	0.063063253
AC003002.3	0.027153682
AC003005.1	0
AC003005.2	0.04948186
AC003006.1	0.039442923
AC003009.1	0
AC003035.1	0
AC003035.2	0
AC003043.1	0
AC003045.1	0
AC003070.1	1.222212765
AC003070.2	0
AC003071.1	0.083285057
AC003071.2	0
AC003072.1	1.342155022
AC003080.1	0
AC003084.1	0
AC003087.1	0
AC003092.1	0
AC003092.2	0.147336121
AC003098.1	0
AC003101.1	0
AC003101.2	0.07433474
AC003101.3	0
AC003102.1	0.800169876
AC003659.1	0
AC003666.1	0
AC003669.1	0
AC003681.1	0.09666065
AC003682.1	0
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0
AC003687.1	0
AC003688.1	0
AC003688.2	0
AC003956.1	0.369168033
AC003957.1	0
AC003958.1	0.078042648
AC003958.2	0.08078671
AC003965.1	0.54185233
AC003965.2	0.123984736
AC003973.1	0
AC003973.2	0
AC003973.3	0.034928372
AC003975.1	0
AC003976.1	0
AC003982.1	0
AC003984.1	0
AC003985.1	0
AC003985.2	0
AC003986.1	0
AC003986.2	0
AC003986.3	0
AC003988.1	0
AC003989.1	0
AC003989.2	0
AC003991.1	0
AC003991.2	0
AC004000.1	0.151759607
AC004004.1	0
AC004006.1	0.087151074
AC004009.1	0
AC004009.2	0
AC004009.3	0
AC004012.1	0.061528005
AC004014.1	0
AC004014.2	0
AC004022.1	0
AC004022.2	0
AC004023.1	0
AC004024.1	0.13302006
AC004034.1	0.193270323
AC004039.1	0.073462169
AC004052.1	0
AC004053.1	0
AC004054.1	0
AC004057.1	0.395854879
AC004062.1	0
AC004063.1	0
AC004066.1	0
AC004066.2	0
AC004067.1	0.328559549
AC004069.1	0.957550599
AC004069.2	0
AC004074.1	0
AC004076.1	0
AC004076.2	0.03954975
AC004080.1	0
AC004080.2	0
AC004080.3	0
AC004080.4	0.051905142
AC004080.5	0
AC004080.6	0
AC004112.1	0.09294471
AC004129.1	0.082552651
AC004129.2	0
AC004130.1	2.640210664
AC004134.1	0
AC004147.1	0
AC004147.2	0
AC004147.3	0
AC004147.4	0
AC004147.5	0
AC004148.1	0
AC004148.2	0.864630393
AC004149.1	0
AC004156.1	0.017457999
AC004158.1	0
AC004160.1	0.023219756
AC004160.2	0.058358712
AC004217.1	0
AC004217.2	0
AC004221.1	0.272501996
AC004223.1	0
AC004223.2	0
AC004223.3	0.016411566
AC004223.4	0.197927439
AC004224.1	0
AC004224.2	0.062109556
AC004231.1	0.040314055
AC004231.3	0
AC004232.1	0
AC004232.2	0
AC004232.3	0.375496628
AC004233.1	0
AC004233.2	0.066916405
AC004233.3	0
AC004233.4	0
AC004241.1	0.230907867
AC004241.2	0
AC004241.3	1.842983932
AC004241.4	0
AC004241.5	0.093950852
AC004253.1	0.875261094
AC004253.2	0
AC004257.1	0
AC004263.1	0.145380332
AC004264.1	0.289662071
AC004264.2	0
AC004381.1	0
AC004383.1	0.113688425
AC004386.1	0.043174711
AC004386.2	0
AC004408.1	0
AC004408.2	0.011831457
AC004415.1	0
AC004448.1	0
AC004448.2	0.023507719
AC004448.3	0
AC004449.1	0.151759607
AC004453.1	19.0049151
AC004453.2	0
AC004461.1	0.407642121
AC004466.1	0.152110902
AC004466.2	0.318371656
AC004466.3	0
AC004467.1	0
AC004470.1	0
AC004471.1	1.750059455
AC004471.2	0.19531281
AC004477.1	0.246447667
AC004477.2	0
AC004477.3	0.389816414
AC004485.1	0
AC004486.1	0
AC004490.1	0.023999967
AC004491.1	0
AC004492.1	0.132840788
AC004494.1	0.122306431
AC004494.2	0
AC004520.1	0.302284086
AC004522.1	0
AC004522.2	0
AC004528.1	0
AC004528.2	0
AC004540.1	0.193043213
AC004540.2	0.149006598
AC004542.1	0
AC004542.2	0
AC004543.1	0
AC004551.1	0
AC004552.1	1.132963963
AC004554.1	0
AC004584.1	0.059846912
AC004584.2	0.080136475
AC004584.3	0.027891303
AC004585.1	2.687715845
AC004585.2	0
AC004590.1	0
AC004593.1	0
AC004594.1	0
AC004596.1	0.435590312
AC004597.1	0
AC004623.1	0.139023787
AC004637.1	0
AC004656.1	1.39360746
AC004672.1	0
AC004672.2	0.05724034
AC004674.1	0
AC004674.2	0
AC004678.1	1.096377398
AC004678.2	0.295113368
AC004687.1	0.849200066
AC004690.1	0
AC004690.2	0
AC004691.1	0
AC004691.2	0.021460454
AC004692.1	0.309961839
AC004692.2	0
AC004696.1	0
AC004696.2	0
AC004702.1	0
AC004704.1	0.056356698
AC004706.1	0.373787883
AC004706.2	0
AC004706.3	0.434072575
AC004707.1	0.045952385
AC004754.1	0.043964257
AC004771.1	0.788993772
AC004771.2	0.074842722
AC004771.3	0.119259365
AC004771.4	0
AC004771.5	0.303099215
AC004775.1	0
AC004777.1	0
AC004790.1	0
AC004790.2	0
AC004792.1	0
AC004797.1	0
AC004801.1	0
AC004801.2	0.463948016
AC004801.3	0
AC004801.4	0
AC004801.5	0
AC004801.6	0.235165322
AC004801.7	0
AC004803.1	0.886546617
AC004805.1	0
AC004805.2	0.068165882
AC004805.3	0
AC004808.1	0
AC004808.2	0.085008939
AC004812.1	0.225040787
AC004812.2	1.349384968
AC004816.1	3.212174364
AC004816.2	0
AC004817.1	0
AC004817.2	0
AC004817.3	0
AC004817.4	0
AC004824.1	0
AC004825.1	0
AC004825.2	0.43326534
AC004828.1	0
AC004830.1	0.180329061
AC004832.1	0
AC004832.2	0
AC004832.3	0
AC004832.4	0.099262704
AC004832.5	0.245805149
AC004832.6	0.186681562
AC004835.1	0
AC004835.2	0
AC004836.1	0
AC004837.1	0
AC004837.2	0.179786347
AC004837.3	0
AC004839.1	0.131161497
AC004840.1	0.0540394
AC004840.2	0
AC004846.1	0.592484433
AC004846.2	0.211428281
AC004847.1	0.343861381
AC004852.1	0
AC004852.2	0
AC004852.3	0
AC004853.1	0
AC004854.1	0.188286275
AC004854.2	0.228008015
AC004858.1	0
AC004862.1	0
AC004865.1	0
AC004865.2	0.988868546
AC004866.1	0
AC004866.2	0
AC004869.1	0
AC004869.2	0
AC004870.1	0
AC004870.2	0
AC004870.3	0
AC004870.4	0
AC004872.1	0
AC004875.1	0.260761547
AC004877.1	0.008027353
AC004877.2	0.219405375
AC004882.1	0
AC004882.2	0
AC004884.1	0.205993448
AC004884.2	0.481405933
AC004888.1	0
AC004889.1	0.219137094
AC004890.1	2.904393806
AC004890.2	0.223091242
AC004890.3	0.18003263
AC004893.1	0
AC004895.1	0.160272951
AC004898.1	0
AC004899.1	0
AC004899.2	0
AC004906.1	0.033907074
AC004908.1	0.546587051
AC004908.2	0.801364754
AC004908.3	0.210278112
AC004910.1	0.041748354
AC004911.1	0
AC004917.1	0.015780958
AC004918.1	1.792142996
AC004918.3	1.66943771
AC004920.1	0.068165882
AC004921.1	0.224119747
AC004923.1	0.43326534
AC004923.2	0
AC004923.3	0
AC004923.4	0.08892004
AC004925.1	0.048567561
AC004930.1	0
AC004936.1	0
AC004938.1	0
AC004941.1	0
AC004941.2	0
AC004943.1	0.077444797
AC004943.2	0.454636303
