	54e1ee85-dbfa-499a-9bdd-6935a7661970
	tumor
AC002525.1	0.542030886
AC002540.1	0
AC002542.1	0
AC002543.1	0.013041611
AC002545.1	0
AC002546.1	0.0218179
AC002550.1	0
AC002550.2	0.549766779
AC002551.1	0.021523063
AC002553.1	0.254197578
AC002553.2	0.307955374
AC002558.1	0.031735127
AC002558.2	0.037865241
AC002558.3	0
AC002563.1	0.056504007
AC002984.1	0.056882382
AC002985.1	0.037201908
AC002996.1	0
AC003001.1	0
AC003001.2	0
AC003002.1	0
AC003002.2	0.048912298
AC003002.3	0.126363507
AC003005.1	0
AC003005.2	0.153513899
AC003006.1	0.015296103
AC003009.1	0
AC003035.1	0.163955101
AC003035.2	0.036613947
AC003043.1	0
AC003045.1	0
AC003070.1	0.362454041
AC003070.2	0
AC003071.1	0
AC003071.2	0
AC003072.1	3.726725476
AC003080.1	0.016612325
AC003084.1	0
AC003087.1	0
AC003092.1	0.011975238
AC003092.2	0.02856873
AC003098.1	0
AC003101.1	0
AC003101.2	0
AC003101.3	0
AC003102.1	0.601618832
AC003659.1	0
AC003666.1	0
AC003669.1	0
AC003681.1	0.1176264
AC003682.1	0.055158674
AC003684.1	0
AC003685.1	0
AC003685.2	0
AC003686.1	0
AC003687.1	0
AC003688.1	0.026056551
AC003688.2	0
AC003956.1	0.143164647
AC003957.1	0.019067196
AC003958.1	0
AC003958.2	0.01879762
AC003965.1	1.719263602
AC003965.2	0.240408558
AC003973.1	0
AC003973.2	0.009140354
AC003973.3	0.564389333
AC003975.1	0
AC003976.1	0
AC003982.1	0
AC003984.1	0
AC003985.1	0.035197938
AC003985.2	0.007634304
AC003986.1	0
AC003986.2	0
AC003986.3	0
AC003988.1	0
AC003989.1	0
AC003989.2	0
AC003991.1	0.060574211
AC003991.2	0.110604632
AC004000.1	0.058852903
AC004004.1	0.254833072
AC004006.1	0
AC004009.1	0
AC004009.2	0
AC004009.3	0
AC004012.1	0.047721549
AC004014.1	0
AC004014.2	0
AC004022.1	0
AC004022.2	0
AC004023.1	0.014611988
AC004024.1	0.154756926
AC004034.1	0.099934538
AC004039.1	0.021366663
AC004052.1	0
AC004053.1	0.022159398
AC004054.1	0
AC004057.1	0.127928249
AC004062.1	0
AC004063.1	0
AC004066.1	0.015887349
AC004066.2	0.222756182
AC004067.1	0.218428347
AC004069.1	1.346112765
AC004069.2	0
AC004074.1	0
AC004076.1	0.024789209
AC004076.2	0.080522036
AC004080.1	0
AC004080.2	0.068749929
AC004080.3	0.016655756
AC004080.4	0
AC004080.5	0
AC004080.6	0
AC004112.1	0.162199268
AC004129.1	0
AC004129.2	0
AC004130.1	0.312853101
AC004134.1	0.169888714
AC004147.1	0
AC004147.2	0
AC004147.3	0
AC004147.4	0
AC004147.5	0
AC004148.1	0
AC004148.2	0.519396611
AC004149.1	0.092835363
AC004156.1	0.054162183
AC004158.1	0.002425596
AC004160.1	1.470017631
AC004160.2	1.968958902
AC004217.1	0
AC004217.2	0
AC004221.1	0.090580476
AC004223.1	0
AC004223.2	0
AC004223.3	0
AC004223.4	0.191892373
AC004224.1	0.067297466
AC004224.2	0
AC004231.1	0.109437515
AC004231.3	0
AC004232.1	0
AC004232.2	0
AC004232.3	0.412586878
AC004233.1	0.565830011
AC004233.2	0.207603317
AC004233.3	9.016552338
AC004233.4	0.519443911
AC004241.1	0.077992439
AC004241.2	0.086092254
AC004241.3	0.369680471
AC004241.4	0.011376476
AC004241.5	0.083278782
AC004253.1	0.31331935
AC004253.2	0
AC004257.1	0
AC004263.1	0.018792999
AC004264.1	0.256758762
AC004264.2	0.220063102
AC004381.1	0.072602015
AC004383.1	0.176355067
AC004386.1	0
AC004386.2	0
AC004408.1	0
AC004408.2	0.03211796
AC004415.1	0
AC004448.1	0
AC004448.2	0.015193958
AC004448.3	0
AC004449.1	0.029426452
AC004453.1	1.873772586
AC004453.2	0
AC004461.1	0.252936051
AC004466.1	0.035393482
AC004466.2	0.024693127
AC004466.3	0
AC004467.1	0
AC004470.1	0
AC004471.1	0.613000516
AC004471.2	0.117822424
AC004477.1	0.208523482
AC004477.2	0
AC004477.3	0.280748299
AC004485.1	0
AC004486.1	0.710907711
AC004490.1	0.013960906
AC004491.1	0
AC004492.1	0.206064478
AC004494.1	0.155228267
AC004494.2	0
AC004520.1	0.532029414
AC004522.1	0
AC004522.2	0
AC004528.1	0.019877775
AC004528.2	0
AC004540.1	0.262019903
AC004540.2	0.115570554
AC004542.1	0
AC004542.2	0
AC004543.1	0
AC004551.1	0.066478193
AC004552.1	0.292911577
AC004554.1	0
AC004584.1	0.116044204
AC004584.2	0
AC004584.3	0.048673549
AC004585.1	1.70172335
AC004585.2	0
AC004590.1	0
AC004593.1	0
AC004594.1	0.018423444
AC004596.1	0.555034152
AC004597.1	0
AC004623.1	0.017971303
AC004637.1	0
AC004656.1	4.068784956
AC004672.1	0.006102325
AC004672.2	0
AC004674.1	0
AC004674.2	0
AC004678.1	0.068577253
AC004678.2	0.025432442
AC004687.1	0.61944039
AC004690.1	0
AC004690.2	0
AC004691.1	0.093174798
AC004691.2	0.008322439
AC004692.1	0.03005107
AC004692.2	0
AC004696.1	0.020991192
AC004696.2	0.038494422
AC004702.1	0
AC004704.1	0
AC004706.1	0.202938737
AC004706.2	0
AC004706.3	0.155386019
AC004707.1	0.285127912
AC004754.1	0.335306673
AC004771.1	0.50267244
AC004771.2	0
AC004771.3	0.763111739
AC004771.4	0
AC004771.5	0.188068688
AC004775.1	0
AC004777.1	0
AC004790.1	0
AC004790.2	0
AC004792.1	0
AC004797.1	0
AC004801.1	0.035393482
AC004801.2	0.065425692
AC004801.3	0
AC004801.4	0
AC004801.5	0
AC004801.6	0.195424135
AC004801.7	0
AC004803.1	1.903086989
AC004805.1	0.02365406
AC004805.2	0.026434966
AC004805.3	0
AC004808.1	0
AC004808.2	0
AC004812.1	0
AC004812.2	1.551634032
AC004816.1	9.680809426
AC004816.2	0.134594932
AC004817.1	0
AC004817.2	0
AC004817.3	0.011969614
AC004817.4	0
AC004824.1	0
AC004825.1	0
AC004825.2	0.868112662
AC004828.1	0
AC004830.1	0
AC004832.1	0.084172773
AC004832.2	0
AC004832.3	0
AC004832.4	0.192472109
AC004832.5	0.317746972
AC004832.6	0.108593638
AC004835.1	0
AC004835.2	0
AC004836.1	0
AC004837.1	0
AC004837.2	0.087152213
AC004837.3	0
AC004839.1	0.076297327
AC004840.1	0.041913334
AC004840.2	0.044707556
AC004846.1	0.21723475
AC004846.2	0.114789672
AC004847.1	0.980127199
AC004852.1	0
AC004852.2	0
AC004852.3	0
AC004853.1	0
AC004854.1	0.073018072
AC004854.2	0.150317912
AC004858.1	0
AC004862.1	0
AC004865.1	0.012703543
AC004865.2	0.952531384
AC004866.1	0
AC004866.2	0
AC004869.1	0
AC004869.2	0
AC004870.1	0
AC004870.2	0.256988459
AC004870.3	0
AC004870.4	0.019276329
AC004872.1	0
AC004875.1	0
AC004877.1	0.018678212
AC004877.2	0.425430837
AC004882.1	0
AC004882.2	0
AC004884.1	0
AC004884.2	0.350045428
AC004888.1	0.046587399
AC004889.1	0.390917784
AC004890.1	0.844750514
AC004890.2	0.167064528
AC004890.3	0.081453493
AC004893.1	0.036587663
AC004895.1	0.155386019
AC004898.1	0.049902038
AC004899.1	0
AC004899.2	0
AC004906.1	0.039447844
AC004908.1	0.259072439
AC004908.2	0.532752066
AC004908.3	0.101933229
AC004910.1	0.016190157
AC004911.1	0
AC004917.1	0.012239821
AC004918.1	0.546070868
AC004918.3	0.964233244
AC004920.1	0
AC004921.1	0.730081106
AC004923.1	1.400181712
AC004923.2	0
AC004923.3	0
AC004923.4	1.586241041
AC004925.1	0.042378005
AC004930.1	0.05016399
AC004936.1	0
AC004938.1	0
AC004941.1	0.004083863
AC004941.2	0
AC004943.1	0.105116765
AC004943.2	0.642082502
AC004943.3	0
AC004944.1	0
AC004945.1	0
AC004946.1	0
AC004947.1	0
AC004947.2	0.004770368
AC004948.1	0.018960794
AC004951.1	0.136566491
AC004951.2	1.12900728
AC004951.3	0.163354533
AC004951.4	0.092063971
AC004965.1	0
AC004967.1	3.563102232
AC004969.1	0.022044383
AC004972.1	0
AC004973.1	0
AC004975.1	0.1225159
AC004975.2	0.112757996
AC004980.1	0.413796467
AC004980.2	0.12818565
AC004980.3	0.27926912
AC004980.4	0.062766766
AC004982.1	0.76218955
AC004982.2	2.47467954
AC004986.1	0
AC004987.1	0
AC004987.2	0.344069043
AC004987.3	0.033052279
AC004987.4	0
AC004988.1	0.777017836
AC004990.1	0.005544671
AC004994.1	0
AC004997.1	0.148662949
AC005000.1	0.398176674
AC005000.2	0
AC005002.1	0
AC005002.2	0
AC005005.1	0.037365553
AC005005.2	0.067061335
AC005005.3	0.171696041
AC005005.4	0.006867582
AC005006.1	0
AC005008.1	0
AC005008.2	0
AC005009.1	0.094733484
AC005009.2	0.013789668
AC005011.1	0.060674541
AC005013.1	0.368381141
AC005014.1	0.021407348
AC005014.2	0.063814626
AC005014.3	0.134122669
AC005019.1	0.029563001
AC005019.2	0.070984143
AC005020.1	0.169565732
AC005020.2	0.047017172
AC005021.1	0
AC005033.1	0
AC005034.1	0
AC005034.2	0.092330823
AC005034.3	3.478974676
AC005034.4	0.18425083
AC005034.5	0.710907711
AC005037.1	0.144047471
AC005040.1	0
AC005041.1	3.480024251
AC005041.2	0.083278782
AC005041.3	1.060168403
AC005042.1	0.302614273
AC005042.2	0
AC005042.3	0
AC005046.1	0.224253103
AC005050.1	0
AC005052.1	0.163616739
AC005062.1	0.064602768
AC005064.1	0.229115973
AC005066.1	0
AC005070.1	0.03490864
AC005070.2	0.04900636
AC005070.3	0.033708078
AC005072.1	0.014324512
AC005076.1	0.516553524
AC005077.1	0
AC005077.2	0.181735154
AC005077.3	0
AC005077.4	1.531185838
AC005082.1	0.037604487
AC005083.1	2.347518862
AC005084.1	0
AC005086.1	0
AC005086.2	0
AC005086.3	0.058181067
AC005086.4	0.05981997
AC005088.1	0
AC005089.1	0.0113714
AC005090.1	0
AC005091.1	0.032121816
AC005094.1	0
AC005096.1	0
AC005099.1	0.229767524
AC005102.1	0.026600529
AC005104.1	0.51889087
AC005104.2	0.244308992
AC005105.1	0
AC005150.1	0
AC005154.1	0.452185834
AC005154.2	0.033619139
AC005154.3	0.137203736
AC005154.4	0
AC005154.5	0.138496235
AC005154.6	0
AC005156.1	0
AC005160.1	0.03344266
AC005162.1	0
AC005162.2	0.220443834
AC005162.3	0.018143119
AC005165.1	3.309910685
AC005165.2	0.435898675
AC005176.1	0
AC005176.2	0
AC005178.1	0
AC005180.1	0.043412789
AC005180.2	0
AC005181.1	0
AC005183.1	0.00643843
AC005185.1	0
AC005186.1	0
AC005189.1	0
AC005191.1	0
AC005197.1	0.07462169
AC005208.1	0
AC005209.1	0
AC005220.1	0.043240906
AC005224.1	0.165799006
AC005224.2	0.006759498
AC005224.3	0.011908087
AC005224.4	0.694157883
AC005225.1	0.122385146
AC005225.2	0.318887957
AC005225.3	0.024550392
AC005225.4	0.120258303
AC005229.1	0.031153187
AC005229.2	0
AC005229.3	0
AC005229.4	0.823164153
AC005230.1	0
AC005234.1	0
AC005237.1	0.068380967
AC005237.2	0.058181067
AC005244.1	0
AC005244.2	0
AC005252.1	0
AC005252.2	0
AC005252.3	0
AC005253.1	0.604926082
AC005253.2	0
AC005255.1	2.477543752
AC005256.1	0
AC005258.1	0
AC005261.1	9.387169396
AC005261.2	0.243859399
AC005261.3	4.121487946
AC005261.4	0
AC005261.5	0.863529515
AC005262.1	0.035197938
AC005262.2	0
AC005264.1	0.016483381
AC005274.1	0.11121144
AC005277.1	0
AC005277.2	0.032670907
AC005280.1	0.037475452
AC005281.1	0
AC005288.1	17.71978801
AC005291.1	0.059633324
AC005291.2	0.170538384
AC005294.1	0
AC005296.1	0
AC005297.1	0
AC005297.2	0
AC005297.3	0
AC005300.1	0
AC005301.1	0
AC005303.1	0
AC005304.1	0
AC005304.2	0
AC005304.3	0
AC005306.1	0.068137185
AC005307.1	0
AC005323.1	0
AC005323.2	0
AC005324.1	0.153028709
AC005324.2	0
AC005324.3	0.018486258
AC005324.4	0
AC005324.5	0
AC005324.6	0
AC005326.1	0
AC005329.1	0
AC005329.2	0
AC005329.3	0.018655423
AC005330.1	0.010292127
AC005332.1	0.15562325
AC005332.2	0.06601893
AC005332.3	0.261904493
AC005332.4	3.199697761
AC005332.5	4.651815672
AC005332.6	1.253201029
AC005332.7	24.84208051
AC005332.8	0.514606364
AC005336.1	0.051253635
AC005336.2	0.013569386
AC005336.3	0.009512246
AC005339.1	0
AC005341.1	0
AC005342.1	0.020257001
AC005342.2	0
AC005344.1	0
AC005345.1	0
AC005351.1	0
AC005355.1	0.267681798
AC005355.2	0.026325731
AC005357.1	0
AC005357.2	0.008120875
AC005358.1	0
AC005358.2	0.003463347
AC005363.1	0
AC005363.2	0.105302922
AC005377.1	0.055884446
AC005379.1	0
AC005381.1	0.01593105
AC005383.1	0.071582324
AC005387.1	0.289583036
AC005387.2	0.173749822
AC005391.1	0.037365553
AC005392.1	0
AC005392.2	0.042331075
AC005392.3	0
AC005393.1	0.392722199
AC005394.1	0
AC005410.1	0.247677931
AC005412.1	0.017820495
AC005476.1	0
AC005476.2	4.373805033
AC005479.1	0.194694197
AC005479.2	0.206941009
AC005480.1	0.029009583
AC005480.2	0.031153187
AC005481.1	0
AC005482.1	0
AC005486.1	0.058989137
AC005487.1	0
AC005495.1	0
AC005498.1	0.027401406
AC005498.2	0.784101759
AC005498.3	0.311531872
AC005514.1	0
AC005515.1	0.064451944
AC005515.2	0
AC005518.1	0
AC005518.2	0
AC005519.1	0.16777598
AC005520.1	0.00344835
AC005520.2	1.518627317
AC005520.3	0.068873803
AC005520.4	0
AC005520.5	0
AC005521.1	0.014611988
AC005522.1	0
AC005523.1	0.274341824
AC005523.2	0
AC005529.1	0
AC005531.1	0.009368863
AC005532.1	0.154506713
AC005532.2	0.068319858
AC005534.1	0.03434408
AC005534.2	0.029426452
AC005537.1	0.00845685
AC005538.1	0
AC005538.2	0
AC005539.1	0
AC005540.1	0.041594081
AC005544.1	0.221593975
AC005544.2	0
AC005546.1	0.423635541
AC005549.1	0
AC005550.1	0.040838633
AC005550.2	0.006808257
AC005552.1	0
AC005559.1	0
AC005562.1	0.806380329
AC005562.2	0.229579344
AC005578.1	0.037475452
AC005580.1	0
AC005586.1	0.618312479
AC005586.2	0.532805108
AC005587.1	0
AC005588.1	0
AC005592.1	0
AC005593.1	0.0989643
AC005597.1	0
AC005606.1	0
AC005606.2	0
AC005609.1	0.041301957
AC005609.2	0
AC005609.3	0
AC005609.4	0
AC005609.5	0.033464619
AC005614.1	0.108127912
AC005614.2	0
AC005616.1	0
AC005618.1	1.432828897
AC005618.2	0
AC005618.3	0
AC005625.1	0.269950288
AC005632.1	0
AC005632.2	0.569373409
AC005632.3	0
AC005632.4	0
AC005670.1	0.096772053
AC005670.2	0
AC005674.1	0.166557563
AC005674.2	0.286777958
AC005682.1	0.112911722
AC005691.1	0
AC005692.1	0
AC005692.2	0
AC005695.1	0.121306293
AC005695.2	0
AC005695.3	0
AC005696.1	0.661530547
AC005696.2	0
AC005696.3	0.126154986
AC005696.4	0.182197144
AC005697.1	0
AC005697.2	0.005622972
AC005699.1	0
AC005702.1	0.052979849
AC005702.2	0.008805566
AC005702.3	0
AC005702.4	0.03026521
AC005703.1	0
AC005703.2	0
AC005703.3	0
AC005703.4	0.023683371
AC005703.5	0
AC005703.6	0.038349597
AC005722.1	0
AC005722.2	0.211730742
AC005722.3	0
AC005725.1	0
AC005726.1	0.209853213
AC005726.2	0.050461994
AC005726.3	0.556404087
AC005726.4	0
AC005726.5	0
AC005730.1	0
AC005730.2	0.570361182
AC005730.3	0.174066306
AC005736.1	1.590421609
AC005736.2	0.888952576
AC005736.3	0
AC005740.1	0.024409298
AC005740.2	0.334506419
AC005740.3	0.074079381
AC005740.4	0.05325665
AC005741.1	0
AC005746.1	0.057524395
AC005746.2	0.081329704
AC005746.3	0.03242151
AC005753.1	0.061852687
AC005757.1	0.107980115
AC005758.1	0
AC005759.1	0.231284141
AC005771.1	0
AC005772.1	0.013054973
AC005774.1	0
AC005775.1	0.284813433
AC005776.1	0.307557155
AC005776.2	0.237690542
AC005777.1	0
AC005779.1	0.141573929
AC005779.2	0.069499929
AC005785.1	0.293371406
AC005785.2	0.323084718
AC005786.1	0
AC005786.2	0
AC005786.3	0
AC005786.4	0
AC005789.1	0
AC005790.1	0.424721786
AC005796.1	0.205985162
AC005798.1	0
AC005808.1	0
AC005821.1	0
AC005822.1	0.073936094
AC005823.1	0
AC005823.2	0
AC005828.1	0
AC005828.2	0
AC005828.3	0.021559482
AC005828.4	0.115413529
AC005828.5	0.035891982
AC005828.6	0
AC005828.7	0
AC005829.1	0.69946763
AC005829.2	0.084461719
AC005831.1	0.833425779
AC005832.1	0.022275618
AC005832.2	0
AC005832.3	0.04038559
AC005832.4	0
AC005833.1	0.010201484
AC005833.2	0
AC005833.3	0
AC005837.1	0.215205564
AC005837.2	0
AC005837.3	0.044551236
AC005838.1	0
AC005838.2	0.080388982
AC005839.1	0.230008063
AC005840.1	0.304177406
AC005840.2	0.275609811
AC005840.3	0.030653537
AC005840.4	0.255258502
AC005841.1	0.177584022
AC005842.1	0.117615264
AC005845.1	0.058537459
AC005856.1	0.044551236
AC005858.1	0
AC005858.2	0
AC005858.3	0
AC005863.1	0
AC005865.1	0.17390406
AC005865.2	0.049793696
AC005868.1	0
AC005871.1	0
AC005871.2	0
AC005884.1	0.089102473
AC005884.2	0
AC005899.1	0.022631712
AC005899.2	0
AC005899.3	0
AC005899.4	0
AC005899.5	0.023082706
AC005899.6	0.257407143
AC005899.7	0.043338958
AC005899.8	0.003694304
AC005901.1	0
AC005906.1	0
AC005906.2	0
AC005908.1	0
AC005908.2	0.168285991
AC005909.1	0
AC005911.1	1.00592002
AC005912.1	15.98952606
AC005912.2	0.015927067
AC005915.1	0
AC005920.1	0.006203337
AC005920.2	0
AC005920.3	0
AC005920.4	0.05179534
AC005921.1	0
AC005921.2	0
AC005921.3	0.017770786
AC005943.1	0
AC005943.2	0
AC005944.1	0
AC005951.1	0
AC005954.1	0.037809061
AC005954.2	0
AC005962.1	0.019542413
AC005972.1	0.013971111
AC005972.2	0
AC005972.3	0
AC005993.1	0
AC005996.1	0.090366337
AC005999.1	0
AC006001.1	0
AC006001.2	2.988447535
AC006001.3	1.178289946
AC006001.4	7.870793606
AC006003.1	0
AC006004.1	0
AC006006.1	0
AC006007.1	0
AC006011.1	0
AC006011.2	0.088025241
AC006012.1	0
AC006013.1	0.016809569
AC006015.1	0
AC006017.1	0.037865241
AC006019.1	0
AC006019.2	0
AC006019.3	0
AC006020.1	0
AC006022.1	0
AC006023.1	0
AC006023.2	0
AC006026.1	0
AC006026.2	0
AC006026.3	1.425639562
AC006027.1	0
AC006028.1	0
AC006030.1	0.010074444
AC006033.1	0.05981997
AC006033.2	0.647441747
AC006037.1	0
AC006037.2	0
AC006041.1	0
AC006042.1	0.899696913
AC006042.2	0.381352308
AC006042.3	0.121431688
AC006042.4	0.22095353
AC006055.1	0
AC006058.1	0.035204885
AC006058.2	0
AC006058.3	0
AC006058.4	0.030518931
AC006059.1	0.097388435
AC006063.1	0
AC006064.1	0.045505906
AC006064.2	0.156659675
AC006064.3	0.160272372
AC006064.4	0
AC006064.5	0
AC006065.1	0
AC006065.2	0
AC006065.3	0
AC006065.4	0.010689307
AC006065.5	0.036509036
AC006065.6	0
AC006070.1	0
AC006076.1	0
AC006077.1	0
AC006077.2	0.446097281
AC006111.1	0
AC006111.2	0.119303873
AC006111.3	0.033268025
AC006115.1	0.024645365
AC006115.2	0
AC006116.1	0.046952201
AC006116.10	0.328958354
AC006116.2	0.038689232
AC006116.3	0
AC006116.4	0.084568497
AC006116.5	0
AC006116.6	0.046207266
AC006116.7	0
AC006116.8	0.210937899
AC006116.9	0.04900636
AC006122.1	0.057916607
AC006128.1	0.629028052
AC006130.1	0
AC006130.2	0
AC006133.1	0
AC006141.1	0.00587173
AC006144.1	0.015927067
AC006145.1	0
AC006146.1	0
AC006148.1	0
AC006148.2	0
AC006150.1	0
AC006153.1	0
AC006157.1	0.348132612
AC006158.1	0
AC006159.1	0.033009465
AC006159.2	0
AC006160.1	0.288810815
AC006195.1	0.041413825
AC006197.1	0
AC006199.1	0
AC006205.1	0
AC006205.2	0
AC006206.1	0
AC006206.2	0
AC006210.1	0
AC006210.2	0.016536864
AC006213.1	0.201483694
AC006213.2	0.081342066
AC006213.3	0.024645365
AC006213.4	1.52739065
AC006213.5	0.840595202
AC006213.6	0.033538691
AC006236.1	0.015987018
AC006237.1	0.132725558
AC006238.1	0.095443098
AC006249.1	0.054104686
AC006252.1	0.601785637
AC006254.1	0.090795631
AC006254.2	0.137007028
AC006254.3	0
AC006262.1	1.17910413
AC006262.2	0.360188087
AC006262.3	0.839566321
AC006262.4	5.613455774
AC006270.1	0
AC006270.2	0
AC006270.3	0
AC006272.1	0.115413529
AC006272.2	0.060244225
AC006273.1	0.029597337
AC006277.1	0.071226635
AC006288.1	0
AC006296.1	0
AC006296.2	0
AC006299.1	0.031577828
AC006305.1	0
AC006305.2	0
AC006305.3	0
AC006326.1	0
AC006328.1	0.067238277
AC006329.1	0.036146535
AC006329.2	0
AC006330.1	0.064125081
AC006333.1	0.014755823
