	54e1ee85-dbfa-499a-9bdd-6935a7661970
	tumor
AC025465.4	0
AC025470.1	0
AC025470.2	0
AC025475.1	0
AC025518.1	0
AC025521.1	0
AC025524.1	0
AC025524.2	0.012115677
AC025538.1	0.008574464
AC025539.1	0.009511063
AC025554.1	0
AC025566.1	0
AC025569.1	0.048021307
AC025572.1	0
AC025574.1	0
AC025574.2	0
AC025575.1	0
AC025575.2	0
AC025576.1	0
AC025576.2	0.032670907
AC025578.1	0
AC025580.1	0.227217416
AC025580.2	0.065577219
AC025580.3	0.017895581
AC025588.1	0.614944671
AC025588.2	0
AC025588.3	0
AC025588.4	0
AC025594.1	0
AC025594.2	0.221075234
AC025594.3	0.145158079
AC025627.1	0.05236296
AC025627.2	0
AC025627.3	0
AC025627.4	0
AC025647.1	0
AC025674.1	0
AC025674.2	0
AC025678.1	0
AC025678.2	0
AC025678.3	0.015847828
AC025682.1	0.28725145
AC025741.1	0
AC025750.1	0
AC025750.2	0
AC025752.1	0
AC025754.1	0
AC025754.2	0.088483705
AC025755.1	0
AC025766.1	0.34268506
AC025768.1	0
AC025773.1	0
AC025809.1	0.022752953
AC025809.2	0.00707084
AC025810.1	0
AC025811.1	0.944826007
AC025822.1	0
AC025822.2	0.027856698
AC025857.1	0
AC025857.2	2.194990743
AC025871.1	0
AC025871.2	0
AC025881.1	0.049772084
AC025884.1	0.370788861
AC025884.2	0
AC025884.3	0
AC025887.1	0
AC025917.1	0.336691094
AC025918.1	0
AC025918.2	0
AC025946.1	0
AC025946.2	0
AC025947.1	0
AC026111.1	0.021324943
AC026116.1	0
AC026117.1	0
AC026120.1	0.013759885
AC026120.2	0
AC026124.1	0
AC026124.2	0.174809272
AC026150.1	0.018176396
AC026150.2	0
AC026150.3	0.076603128
AC026167.1	0
AC026185.1	0
AC026191.1	0.08499587
AC026202.1	0
AC026202.2	0.246490322
AC026202.3	0
AC026250.1	0.130708452
AC026254.1	0
AC026254.2	0.589371642
AC026271.1	1.209889954
AC026271.2	0
AC026271.3	0.7229307
AC026271.4	0
AC026304.1	0.704084244
AC026310.1	0
AC026310.2	0.210027257
AC026310.3	0.010738857
AC026316.1	0.030776941
AC026316.2	0
AC026316.3	0
AC026320.1	0
AC026320.2	0
AC026333.1	0
AC026333.2	0
AC026333.3	0
AC026333.4	0.046844315
AC026336.1	0
AC026336.2	0
AC026336.3	0
AC026336.4	0
AC026336.5	0
AC026347.1	0
AC026348.1	0.012100336
AC026353.1	0
AC026355.1	0.347302312
AC026355.2	0.052869932
AC026355.3	0.140210768
AC026356.1	0.676049416
AC026356.2	0.085133543
AC026358.1	0.011295792
AC026362.1	0.058968137
AC026362.2	0.006867582
AC026367.1	0.125122621
AC026367.2	0.115204824
AC026367.3	0.043192046
AC026368.1	0.369323292
AC026369.1	0.004685293
AC026369.2	0.254601616
AC026369.3	0.630559648
AC026371.1	0
AC026391.1	0
AC026396.1	0
AC026401.1	0.024040856
AC026401.2	0
AC026401.3	8.884486342
AC026402.1	0
AC026403.1	1.295761381
AC026407.1	0
AC026410.1	0.069436804
AC026410.2	0
AC026410.3	0.857611299
AC026412.1	3.219502243
AC026412.2	0.082968907
AC026412.3	0.337527247
AC026414.1	0
AC026415.1	0
AC026421.1	0
AC026422.1	0
AC026427.1	0.022957934
AC026427.2	0
AC026434.1	0
AC026434.2	0
AC026436.1	0.377530477
AC026444.1	0
AC026458.1	0
AC026458.2	0
AC026461.1	0
AC026461.2	0
AC026461.3	0
AC026461.4	0
AC026462.1	0.103450503
AC026462.2	0
AC026462.3	0
AC026462.4	0
AC026464.1	0
AC026464.2	0
AC026464.3	0
AC026464.4	0.019846812
AC026464.5	0.035295439
AC026468.1	0
AC026469.1	0.053957396
AC026470.1	0
AC026470.2	0.232724266
AC026470.3	0
AC026471.1	3.819127495
AC026471.2	0.408511031
AC026471.3	0.418843284
AC026471.4	2.837784762
AC026471.5	0
AC026471.6	0.127082109
AC026474.1	0
AC026477.1	0
AC026495.1	0.024239037
AC026523.1	0
AC026523.2	0
AC026583.1	0
AC026585.1	0
AC026616.1	0
AC026620.1	0
AC026688.1	0
AC026688.2	0
AC026691.1	0.21478246
AC026700.1	0.023422157
AC026704.1	0.132380816
AC026719.1	0
AC026719.2	0
AC026725.1	0
AC026726.1	0.021200755
AC026740.1	1.659153374
AC026741.1	0.079304898
AC026746.1	0
AC026748.1	0.627088457
AC026765.1	0
AC026765.2	0.009580191
AC026770.1	0
AC026771.1	0.061405559
AC026774.1	0
AC026774.2	0
AC026780.1	0
AC026780.2	0.01745432
AC026782.1	0
AC026782.2	0
AC026784.1	0.651561831
AC026785.1	0
AC026785.2	0
AC026785.3	0
AC026786.1	0
AC026786.2	0
AC026787.1	0
AC026790.1	0
AC026797.1	0
AC026798.1	0
AC026801.1	0
AC026801.2	1.864433655
AC026803.1	0.418521468
AC026803.2	0.794669727
AC026826.1	0
AC026826.2	0
AC026826.3	0
AC026877.1	1.065567061
AC026884.1	0
AC026887.1	0
AC026888.1	0
AC026894.1	0
AC026898.1	0
AC026904.1	0.007180419
AC026904.2	0.047454948
AC026904.3	0.016677557
AC026904.4	0
AC026951.1	0
AC026951.2	0
AC026954.1	0.019708668
AC026954.2	0
AC026954.3	0
AC026956.1	0.032175893
AC026979.1	0.043710647
AC026979.2	4.110210833
AC026979.3	0.177790515
AC026991.1	0
AC026992.1	0.101009711
AC026992.2	0.079304898
AC027013.1	0
AC027018.1	0.054066423
AC027020.1	0.020160844
AC027020.2	0.309341108
AC027026.1	0
AC027031.1	0
AC027031.2	0.080813871
AC027045.1	0
AC027088.1	0
AC027088.2	0
AC027088.3	0.014611988
AC027088.4	0
AC027097.1	0.451831687
AC027097.2	0.482828408
AC027104.1	0.018710211
AC027117.1	0.556615446
AC027117.2	0.249836345
AC027119.1	0
AC027124.1	0
AC027124.2	0
AC027130.1	0.064092825
AC027139.1	0
AC027139.2	0
AC027176.1	0
AC027176.2	0.085399823
AC027176.3	0
AC027216.1	0
AC027228.1	0
AC027228.2	0.14788363
AC027228.3	0.060386984
AC027229.1	0
AC027237.1	0.019452906
AC027237.2	0.45622289
AC027237.3	0.25877089
AC027237.4	0.018359731
AC027243.1	0.033619139
AC027243.2	0.035197938
AC027250.1	0
AC027271.1	0.020887957
AC027277.1	0
AC027277.2	0.087873473
AC027279.1	0.008922727
AC027279.2	0.032135318
AC027279.3	0
AC027279.4	0
AC027281.1	0
AC027281.2	0
AC027287.1	0
AC027287.2	0
AC027288.1	0.018280708
AC027288.2	0
AC027288.3	0.073520416
AC027290.1	0
AC027290.2	0.092172502
AC027306.1	0
AC027307.1	0.02788108
AC027307.2	1.902156847
AC027307.3	0.08108325
AC027308.1	0
AC027309.1	0.048263839
AC027309.2	3.052687838
AC027309.3	0
AC027312.1	0
AC027313.1	0
AC027315.1	0
AC027319.1	0
AC027328.1	0
AC027334.1	0
AC027335.1	0
AC027335.2	0
AC027338.1	0
AC027338.2	0
AC027343.1	0
AC027343.2	0
AC027343.3	0
AC027345.1	0
AC027348.1	0.041436272
AC027348.2	0
AC027369.1	0
AC027369.2	0
AC027369.3	0.013748749
AC027369.4	0
AC027369.5	0
AC027369.6	0
AC027373.1	0.055786574
AC027419.1	0
AC027419.2	0
AC027449.1	0.093918822
AC027451.1	0
AC027455.1	0
AC027458.1	0
AC027506.1	0
AC027514.1	0.00794863
AC027514.2	0.140018171
AC027541.1	0
AC027544.1	0.029426452
AC027544.2	0.020224847
AC027544.3	0
AC027559.1	0.197128255
AC027575.1	0.004638389
AC027575.2	0.891480882
AC027601.1	0.178145623
AC027601.2	0.079140705
AC027601.3	0.050065436
AC027601.4	0
AC027601.5	0.041068988
AC027607.1	0.310190069
AC027612.1	0
AC027612.2	0
AC027612.3	0
AC027612.4	0
AC027613.1	0
AC027627.1	0.033842373
AC027644.1	0.769630082
AC027644.2	0.15927067
AC027644.3	1.120899507
AC027667.1	0
AC027673.1	0
AC027682.1	0.085038845
AC027682.2	0
AC027682.3	0
AC027682.4	0.06456919
AC027682.5	0
AC027682.6	0.490618598
AC027682.7	0.072088563
AC027688.1	0
AC027688.2	0
AC027698.1	0
AC027701.1	0
AC027702.1	0.273549625
AC027763.1	0.123877188
AC027763.2	0.023639432
AC027779.1	0
AC027796.1	0.049772084
AC027796.2	0.259277835
AC027796.3	0.034436902
AC027796.4	0.276992469
AC027796.5	0.068258858
AC027801.1	0.121349082
AC027801.2	0.028065316
AC027801.3	0
AC027801.4	0.096772053
AC027801.5	0.030628975
AC027804.1	0
AC027807.1	0
AC027807.2	0.031229543
AC027808.1	0
AC027808.2	0
AC032011.1	0.024677186
AC032019.1	0
AC032019.2	0
AC032044.1	0.147515526
AC032044.2	0.068503514
AC034102.1	0.274240888
AC034102.2	0
AC034102.3	0.084944357
AC034102.4	0
AC034102.5	0.04719131
AC034102.6	0.088620465
AC034102.7	0
AC034102.8	0.078977192
AC034105.1	0.51925234
AC034105.2	0
AC034105.3	0.028827271
AC034105.4	0
AC034105.5	0.040578515
AC034111.1	0
AC034114.1	0
AC034114.2	0
AC034154.1	0
AC034159.1	0
AC034187.1	0
AC034195.1	0
AC034198.1	0
AC034198.2	0.099934538
AC034199.1	0.087591569
AC034205.1	0
AC034205.2	0.010834739
AC034205.3	0
AC034206.1	0.028729771
AC034207.1	0
AC034213.1	0.015808503
AC034222.1	0
AC034223.1	0.042543084
AC034223.2	0.20986253
AC034226.1	0
AC034228.1	0
AC034228.2	0
AC034228.3	0
AC034229.1	0
AC034229.2	0
AC034229.3	0
AC034229.4	0
AC034229.5	0
AC034229.6	0
AC034231.1	2.799841942
AC034232.1	0.011975238
AC034232.2	0
AC034234.1	0
AC034236.1	8.642462082
AC034236.2	0.680610067
AC034236.3	0.027639162
AC034238.1	0.055398494
AC034238.2	0
AC034238.3	0
AC034243.1	0.043412789
AC034244.1	0
AC034244.2	0
AC034245.1	0
AC034268.1	0
AC035139.1	0
AC035140.1	0.051690278
AC036101.1	0
AC036103.1	0.038689232
AC036108.1	0
AC036108.2	0.004973323
AC036108.3	0.038077411
AC036108.4	0.091156504
AC036111.1	0
AC036111.2	0
AC036111.3	0
AC036164.1	0
AC036176.1	1.152429815
AC036176.2	0.01105087
AC036176.3	0
AC036214.1	0.031140498
AC036214.2	1.417283168
AC036214.3	0.039992635
AC036222.1	0
AC036222.2	0
AC037198.1	0.121680184
AC037198.2	0.218013084
AC037441.1	0
AC037441.2	0
AC037450.1	0
AC037459.1	0.010635771
AC037459.2	0.212569294
AC037459.3	0.338232986
AC037459.4	0.021780604
AC037471.1	0
AC037471.2	0
AC037479.1	0.040773291
AC037486.1	0
AC037487.1	0.159656937
AC037487.2	0
AC037487.3	2.047765754
AC037487.4	0.101933229
AC039056.1	0
AC039056.2	0.099738971
AC040160.1	0.894819153
AC040160.2	0.053248702
AC040162.1	0.138959107
AC040162.2	0.081157029
AC040162.3	0.101098352
AC040168.1	0
AC040169.1	2.518983338
AC040169.2	0
AC040169.3	0.083278782
AC040170.1	0.067774753
AC040173.1	0
AC040174.1	0.003331151
AC040174.2	0
AC040896.1	0.026600529
AC040904.1	0.05713746
AC040914.1	0
AC040918.1	0.020160844
AC040926.1	0
AC040934.1	0.198700251
AC040936.1	0
AC040958.1	0
AC040963.1	0
AC040970.1	1.38942443
AC040975.1	0.120965066
AC040977.1	1.93167926
AC040977.2	0.02558565
AC040978.1	0.009938887
AC041039.1	0
AC041040.1	0.030766325
AC044781.1	0
AC044784.1	0
AC044784.2	0
AC044787.1	0.160879464
AC044792.1	0
AC044797.1	0.09382661
AC044798.1	0
AC044798.2	0
AC044802.1	0.026416697
AC044802.2	0.557814327
AC044810.1	0
AC044810.2	0
AC044810.3	0
AC044836.1	0
AC044839.1	0.078530993
AC044839.2	0.008985651
AC044839.3	0.085371213
AC044839.4	0
AC044839.5	0.027167705
AC044840.1	0
AC044849.1	0.340973828
AC044860.1	0.00774098
AC044860.2	0.071182422
AC044860.3	0.034624059
AC044873.1	0
AC044913.1	0
AC046130.1	0
AC046130.2	0.016047423
AC046134.1	0.057394836
AC046136.1	0.023905541
AC046143.1	0.288391336
AC046143.2	0.955624019
AC046144.1	0
AC046158.1	0
AC046158.2	0
AC046158.3	0.0049811
AC046158.4	0
AC046168.1	0.033407587
AC046168.2	0.062459086
AC046176.1	0.283147857
AC046185.1	0
AC046185.2	2.406413994
AC046185.3	7.104310139
AC046195.1	0.00610964
AC046195.2	0
AC048334.1	0
AC048337.1	0.069248117
AC048338.1	0
AC048341.1	0.121656189
AC048341.2	0.415206634
AC048344.1	0
AC048344.2	0
AC048344.3	0
AC048344.4	0.531909637
AC048346.1	0
AC048347.1	0
AC048351.1	0.110317347
AC048380.1	0.054802811
AC048380.2	0.035912214
AC048380.3	0
AC048382.1	0.087614514
AC048382.2	0.02589767
AC048382.3	0
AC048382.4	0
AC048382.5	0.532677825
AC048382.6	0
AC048383.1	0
AC048387.1	0
AC051618.1	0
AC051619.1	0
AC051619.2	0.032094845
AC051619.3	0
AC051619.4	0.1309074
AC051619.5	0.043785751
AC051619.6	0.042829088
AC051619.7	0.143164647
AC051619.8	0.041369005
AC051619.9	0
AC051649.1	0
AC053481.1	0
AC053481.2	0
AC053481.3	0
AC053481.4	0
AC053503.1	0
AC053503.2	0.095682004
AC053503.3	0
AC053503.4	0
AC053503.5	0.200340465
AC053503.6	0
AC053513.1	0.10359068
AC053527.1	0.706836257
AC055713.1	0.167754589
AC055716.1	0
AC055716.2	0.00521985
AC055716.3	0
AC055717.1	0
AC055717.2	0
AC055717.3	0
AC055720.1	0.026824534
AC055720.2	0.888952576
AC055731.1	0
AC055733.1	0
AC055733.2	0
AC055733.3	0.024362626
AC055736.1	0
AC055748.1	0.093004771
AC055753.1	0
AC055758.1	0
AC055758.2	0
AC055764.1	0
AC055764.2	0.019017393
AC055811.1	0.062103917
AC055811.2	0.02257824
AC055811.3	0
AC055811.4	0.363217035
AC055813.1	0.012003442
AC055822.1	0.4867598
AC055854.1	0.011630902
AC055855.1	0.17838315
AC055855.2	0
AC055860.1	0
AC055872.1	0
AC055874.1	0
AC055876.1	0.013203786
AC055876.2	0.093345447
AC055876.3	0
AC055876.4	0.017895581
AC055876.5	0
AC055878.1	0
AC058791.1	0.003984257
AC058823.1	0
AC060234.1	0.026881126
AC060234.2	0.058958808
AC060234.3	0
AC060764.1	0.028065316
AC060765.1	0
AC060766.1	3.983036846
AC060766.2	0
AC060766.3	0.048447352
AC060766.4	1.233828652
AC060766.5	0.731438208
AC060766.6	0.258713778
AC060766.7	1.335140268
AC060771.1	0
AC060773.1	0
AC060780.1	2.535492778
AC060780.2	0.579166072
AC060780.3	0.955624019
AC060788.1	0
AC060809.1	0
AC060814.1	0
AC060814.2	0
AC060814.3	0.011781464
AC060814.4	0
AC060814.5	0
AC060834.1	0.169303468
AC060834.2	0
AC061709.1	0
AC061709.2	0.014188924
AC061961.1	0
AC061965.1	0
AC061975.1	0
AC061975.2	0
AC061975.3	0
AC061975.4	0
AC061975.5	0.00884223
AC061975.6	0.787636023
AC061975.7	0.053016589
AC061979.1	0
AC061992.1	1.018903275
AC061999.1	0.143973487
AC062004.1	0.988068044
AC062015.1	0
AC062016.1	0
AC062016.2	0
AC062017.1	0.394928904
AC062020.1	0
AC062021.1	0
AC062022.1	0
AC062028.1	0.07065612
AC062028.2	0.014885109
AC062029.1	0.514664037
AC062031.1	0.0341142
AC062032.1	0
AC062037.1	0
AC062037.2	0.1745432
AC062039.1	0
AC063919.1	0.250819952
AC063923.1	0
AC063923.2	0
AC063924.1	0
AC063926.1	0
AC063926.2	0
AC063926.3	0
AC063943.1	0.250538132
AC063944.1	0
AC063944.2	0.055884446
AC063944.3	0
AC063947.1	0
AC063947.2	0
AC063948.1	0.336191387
AC063949.1	0
AC063949.2	0
AC063950.1	0.198468124
AC063952.1	0.156723906
AC063952.2	0.020768791
AC063952.3	0
AC063955.1	0.018600954
AC063961.1	0.144791518
AC063962.1	0
AC063965.1	0.229809383
AC063976.1	1.906231638
AC063976.2	0.017915711
AC063976.3	0
AC063976.4	0.078169654
AC063977.1	0.03434408
AC063977.2	0.090795631
AC063977.3	0
AC063977.4	0
AC063977.5	0
AC063977.6	0.036136284
AC063977.7	0
AC063979.1	0
AC063979.2	0.058934568
AC063980.1	0
AC064799.1	0.160705541
AC064799.2	0.073018072
AC064801.1	0.219143919
AC064801.2	0.009778706
AC064802.1	0.010689307
AC064805.1	0.017686915
AC064805.2	0
AC064807.1	3.186963475
AC064807.2	0.113764764
AC064807.3	0.027109901
AC064807.4	0.469594112
AC064834.1	0
AC064836.1	0.054296819
AC064836.2	0.027579337
AC064836.3	3.994782921
AC064847.1	0.025181134
AC064850.1	0.328111251
AC064852.1	0
AC064853.1	0.023595655
AC064859.1	0
AC064862.1	0
AC064862.2	0
AC064862.3	0
AC064862.4	0
AC064862.5	0
AC064862.6	0
AC064862.7	0
AC064871.1	0
AC064872.1	0
AC064874.1	0.021236089
AC064875.1	0.004477039
AC066595.1	0.191603813
AC066612.1	0
AC066612.2	0
AC066613.1	0.181591262
AC066613.2	0.045505906
AC066616.1	0
AC066616.2	0
AC066692.1	0
AC067735.1	0.944723365
AC067747.1	0.050966614
AC067750.1	0.064243632
AC067773.1	0
AC067805.1	0
AC067817.1	0
AC067817.2	0.098772508
AC067819.1	0
AC067838.1	0.198743297
AC067852.1	0
AC067852.2	3.409893458
AC067852.3	0.227529528
AC067852.4	0.023816175
AC067863.1	0
AC067863.2	0
AC067904.1	0
AC067904.2	0
AC067904.3	0
AC067930.1	0.131357253
AC067930.2	0
AC067930.3	0.054529188
AC067930.4	0.409370396
AC067930.5	0.01086245
AC067930.6	0.087571502
AC067931.1	0.170901464
AC067931.2	0.008393711
AC067940.1	0.254833072
AC067942.1	0.051205574
AC067942.2	0.010048623
AC067942.3	0
AC067945.1	0.020617562
AC067945.2	0
AC067945.3	0.1225159
AC067956.1	0
AC067959.1	0
AC067960.1	0
AC067968.1	0
AC067968.2	0.045023511
AC067969.1	0
AC067969.2	0
AC068014.1	0.092554384
AC068020.1	0
AC068025.1	0.819345178
AC068025.2	0.091229023
AC068042.1	0.011099001
AC068044.1	0.006441685
AC068050.1	0
AC068051.1	0.070105384
AC068057.1	0
AC068057.2	0
AC068058.1	0
AC068075.1	0
AC068112.1	0
AC068134.1	0.018737726
AC068134.2	0.110604632
AC068134.3	0.242544167
AC068134.4	0
AC068135.1	0
AC068135.2	0
AC068137.1	0.0218179
AC068137.2	0
AC068138.1	0
AC068152.1	3.546959719
AC068189.1	0.048142268
AC068196.1	0.015296103
AC068213.1	0
AC068228.1	0.245977868
AC068228.2	0
AC068234.1	0
AC068234.2	0.160834337
AC068234.3	0
AC068254.1	0
AC068254.2	0
AC068276.1	0
AC068279.1	0
AC068282.1	1.065751694
AC068286.1	0
AC068287.1	0
AC068295.1	0
AC068298.1	0
AC068299.1	0
AC068305.1	0.021147973
AC068305.2	0.206621409
AC068313.1	0
AC068338.1	0
AC068338.2	1.434549809
AC068338.3	0.548683647
AC068385.1	0
AC068389.1	0.006730932
AC068389.2	0.029631753
AC068389.3	0
AC068389.4	0
AC068397.1	0.023995581
AC068397.2	0
AC068408.1	0
AC068413.1	0.016419657
AC068418.1	0
AC068418.2	0
AC068446.1	0
AC068446.2	0
AC068446.3	0
AC068448.1	0
AC068472.1	0
AC068473.1	0.034405905
AC068473.2	0
AC068473.3	0.035175075
AC068473.4	0.043561209
AC068473.5	2.613514852
AC068481.1	0
AC068483.1	0
AC068489.1	0
AC068490.1	0
AC068491.1	0.051336235
AC068491.2	0
AC068491.3	0.042051662
AC068491.4	0.00753944
AC068492.1	0
AC068506.1	0
AC068512.1	0
AC068522.1	0.036932329
AC068531.1	0
AC068533.1	0
AC068533.2	2.040330149
AC068533.3	0.063077493
AC068533.4	0.069097904
AC068535.1	0
AC068538.1	0
AC068580.1	0.303372704
AC068580.2	0
AC068580.3	0.531165708
AC068580.4	0.779579607
AC068587.1	0
AC068587.2	0.274014056
AC068587.3	0
AC068594.1	0.037809061
AC068594.2	0
AC068599.1	0
AC068620.1	1.348832893
AC068620.2	0.204776575
AC068631.1	0.017220002
AC068633.1	0
AC068643.1	0.015444429
AC068643.2	0
AC068647.1	0.011250908
AC068647.2	0.163354533
AC068657.1	0.083278782
AC068658.1	0
AC068669.1	0.0228755
AC068672.1	0
AC068672.2	0
AC068672.3	0
AC068675.1	0.022712395
AC068700.1	0.020364923
AC068707.1	0
AC068714.1	0
AC068721.1	0
AC068722.1	0
AC068722.2	0.117110787
AC068724.1	0
AC068724.2	0
AC068726.1	0
AC068733.1	0
AC068733.2	0
AC068756.1	0
AC068759.1	0
AC068760.1	0
AC068768.1	1.182738915
AC068768.2	0.111443034
AC068769.1	0.099790362
AC068775.1	0
AC068781.1	0.020617562
AC068787.1	0
AC068789.1	0
AC068790.1	0.107675946
AC068790.2	0.137253001
AC068790.3	0.184327719
AC068790.4	0.048447352
AC068790.5	0.287135855
AC068790.6	0
AC068790.7	0.072395759
AC068790.8	0.050562117
AC068790.9	0.035917276
AC068792.1	0.244444193
AC068802.1	0.017406631
AC068831.1	0.089150429
AC068831.2	0
AC068831.3	0
AC068831.4	0
AC068831.5	0.070201948
AC068831.6	0.117164631
AC068858.1	0.020567641
AC068860.1	0.017052534
AC068867.1	0
AC068870.1	0
AC068870.2	2.423862121
AC068870.3	0
AC068875.1	0
AC068880.1	0
AC068880.2	0
AC068880.3	0
AC068880.4	0
AC068880.5	0
AC068888.1	1.468621758
AC068888.2	0.095086967
AC068896.1	0.059575236
AC068898.1	0.152139147
AC068898.2	0
AC068944.1	0
AC068944.2	0
AC068946.1	0.021921124
AC068985.1	0.018124685
AC068987.1	0.029839938
AC068987.2	0
AC068987.3	0.024813347
AC068987.4	0.334666164
AC068992.1	0
AC068993.1	0
AC068993.2	0
AC069023.1	0
AC069029.1	0
AC069061.1	0
AC069061.2	0.371631563
AC069079.1	0
AC069113.1	0
AC069113.2	0
AC069113.3	0
AC069114.1	0
AC069114.2	0
AC069120.1	0
AC069133.1	0
AC069148.1	0.03318139
AC069152.1	0.023422157
AC069154.1	0.023508586
AC069155.1	0
AC069157.1	0
AC069185.1	0.105109883
AC069200.1	0.315582751
AC069209.1	0.313158921
AC069213.1	0.159117672
AC069213.2	0
AC069213.3	0.026881126
AC069218.1	0.150491971
AC069218.2	0
AC069222.1	0.022752953
AC069224.1	0.074295356
AC069228.1	0.077222143
AC069234.1	0
AC069234.2	0
AC069234.3	0
AC069234.4	0.061852687
AC069234.5	0.18377385
AC069235.1	0
AC069236.1	0.020684503
AC069240.1	0
AC069257.1	0.029700824
AC069257.2	0.328816867
AC069257.3	0
AC069262.1	0
AC069271.1	0
AC069272.1	0.074950903
AC069277.1	0.109587494
AC069277.2	0
AC069280.1	0
AC069281.1	0
AC069281.2	0.356106201
AC069282.1	2.519262305
AC069285.1	0
AC069285.2	0
AC069287.1	0
AC069287.2	0
AC069287.3	0
AC069294.1	0
AC069304.1	0
AC069304.2	0
AC069304.3	0
AC069306.1	0
AC069307.1	0.7981349
AC069335.1	0.026995029
AC069360.1	0.376733158
AC069366.1	0.060819349
AC069366.2	0
AC069368.1	0.019955605
AC069421.1	0
AC069431.1	0
AC069431.2	0
AC069437.1	0.024886042
AC069439.1	0
AC069439.2	0.032298235
AC069444.1	0
AC069454.1	0
AC069499.1	0.325425337
AC069499.2	0.066710228
AC069503.1	0.122623088
AC069503.2	0.027835398
AC069503.3	0.087873473
AC069528.1	0
AC069528.2	0.070395876
AC069540.1	0
AC069540.2	0
AC069542.1	0.0228755
AC069542.2	0
AC069544.1	2.85698739
AC069545.1	0
AC069547.1	0.506131258
AC069549.1	0
AC072022.1	0.106624716
AC072026.1	0
AC072039.1	0
AC072039.2	0.087072804
AC072046.1	0
AC072046.2	0
AC072052.1	1.04098477
AC072061.1	0.279472259
AC072062.1	0.010024904
AC073023.1	0
AC073046.1	2.646343436
AC073046.2	0
AC073050.1	0
AC073052.1	0.160609079
AC073052.2	0
AC073055.1	0
AC073062.1	0
AC073063.1	0.293876689
AC073065.1	0.008891594
AC073071.1	0
AC073072.1	0.130779436
AC073072.2	0.183069735
AC073073.1	0.770553564
AC073073.2	0.163101074
AC073082.1	0
AC073089.1	0
AC073091.1	0
AC073091.2	0
AC073094.1	0
AC073107.1	0
AC073107.2	0.374754517
AC073109.1	0.013028276
AC073111.1	0.060674541
AC073111.2	0
AC073114.1	0
AC073115.1	0.047900953
AC073115.2	0.068873803
AC073127.1	0
AC073130.1	0.049772084
AC073130.2	0.055579732
AC073130.3	0.05593351
AC073133.1	0
AC073133.2	0
AC073135.1	0
AC073136.1	0.008836098
AC073136.2	0
AC073137.1	0
AC073143.1	0
AC073150.1	0.035262879
AC073167.1	0.043936736
AC073172.1	0.164408433
AC073172.2	0
AC073174.1	0
AC073176.1	0
AC073176.2	0
AC073188.1	0
AC073188.2	0
AC073188.3	0
AC073188.4	0
AC073188.5	0
AC073188.6	0.00875715
AC073195.1	0.348688353
AC073210.1	0.329525524
AC073210.2	0
AC073218.1	0
AC073218.2	0
AC073254.1	0.81067702
AC073255.1	0
AC073257.1	0
AC073257.2	0.072395759
AC073261.1	0
AC073263.1	0.292332242
AC073263.2	0
AC073263.3	0.014850412
AC073264.1	0
AC073264.2	0
AC073283.1	0.044447629
AC073283.2	0.526981241
AC073283.3	0
AC073284.1	0.410003704
AC073288.1	0
AC073288.2	0.115135424
AC073308.1	0
AC073310.1	0
AC073311.1	0
AC073314.1	0.045998749
AC073316.1	0.332390963
AC073316.2	0.030482425
AC073316.3	0.051900829
AC073320.1	0.041557905
AC073321.1	0.019482651
AC073323.1	0
AC073324.1	0
AC073325.1	0
AC073325.2	0.641089488
AC073326.1	0.0686265
AC073332.1	0.237865344
AC073333.1	0.235956548
AC073333.2	0
AC073335.1	0.035100974
AC073335.2	1.599649622
AC073336.1	0
AC073342.1	0.041102108
AC073342.2	0.049550875
AC073342.3	0
AC073343.1	0.391448651
AC073343.2	0.102007416
AC073346.1	0
AC073346.2	0
AC073347.1	0
AC073348.1	0
AC073349.1	0.119977906
AC073349.2	0.214613005
AC073349.3	0
AC073352.1	0.176967411
AC073352.2	0.029024268
AC073358.1	0
AC073359.1	0.073368447
AC073359.2	0
AC073365.1	1.149148143
AC073367.1	0.731228326
AC073370.1	2.232823104
AC073387.1	0
AC073387.2	0
AC073389.1	0.673143963
AC073389.2	0.031656282
AC073389.3	0.776763908
AC073409.1	0
AC073410.1	0.086530754
AC073410.2	0
AC073413.1	0.121846414
AC073413.2	0
AC073415.1	0.582951471
AC073429.1	0
AC073429.2	0
AC073439.1	0.014364886
AC073464.1	0
AC073464.2	0
AC073464.3	0
AC073465.1	0
AC073465.2	0
AC073476.1	0.406981564
AC073476.2	0
AC073476.3	0.030494584
AC073476.4	0.176967411
AC073486.1	0
AC073487.1	0.240863017
AC073488.1	0
AC073508.1	0
AC073508.2	0.010185175
AC073508.3	4.498638791
AC073517.1	0.09420816
AC073521.1	0
AC073522.1	0
AC073525.1	0
AC073529.1	0.144791518
AC073530.1	0
AC073530.2	0.048818596
AC073534.1	0.167213302
AC073539.1	0
AC073539.2	0
AC073539.3	0
AC073544.1	0.023965493
AC073548.1	0.440067738
AC073551.1	0.030555524
AC073569.1	0.019102929
AC073569.2	2.087615559
AC073569.3	0.018682777
AC073571.1	0
AC073573.1	0
AC073575.1	0
AC073575.2	0.081286466
AC073578.1	0
AC073578.2	0
AC073578.3	0
AC073578.4	0
AC073581.1	0
AC073583.1	0
AC073585.1	0.345406272
AC073587.1	0
AC073591.1	0
AC073592.1	0.029816662
AC073592.10	0.021342803
AC073592.2	0.032670907
AC073592.3	0.006947467
AC073592.4	0
AC073592.5	0.048263839
